 ,Area,X,Y,BX,BY,Width,Height
1,1285.610,1022.098,28.900,1005.405,2.703,35.135,59.459
2,65.741,543.093,10.360,535.135,5.405,16.216,8.108
3,102.264,988.224,26.062,983.784,16.216,10.811,16.216
4,905.771,969.638,94.355,951.351,75.676,37.838,37.838
5,1607.012,1821.536,133.624,1797.297,110.811,51.351,45.946
6,146.092,1522.568,146.892,1513.514,137.838,18.919,16.216
7,1285.610,913.759,161.149,894.595,140.541,40.541,40.541
8,314.098,1528.064,165.902,1516.216,151.351,27.027,27.027
9,2103.725,1446.697,191.075,1421.622,164.865,48.649,54.054
10,43.828,1850.000,173.423,1845.946,170.270,8.108,8.108
11,29.218,2022.973,178.378,2018.919,175.676,8.108,5.405
12,102.264,1861.390,186.486,1854.054,181.081,16.216,10.811
13,36.523,44.054,200.811,40.541,197.297,8.108,8.108
14,87.655,1590.766,228.604,1583.784,224.324,13.514,8.108
15,36.523,818.649,234.865,813.514,232.432,10.811,5.405
16,124.178,884.658,246.820,875.676,240.541,16.216,10.811
17,29.218,78.378,293.243,75.676,289.189,5.405,8.108
18,1073.776,421.612,321.943,400.000,302.703,40.541,40.541
19,80.351,1754.914,314.619,1748.649,308.108,13.514,13.514
20,36.523,1252.703,315.405,1248.649,310.811,8.108,8.108
21,1738.495,516.443,355.950,491.892,332.432,48.649,45.946
22,102.264,2647.683,344.208,2640.541,332.432,13.514,21.622
23,51.132,2662.355,350.772,2656.757,343.243,10.811,13.514
24,51.132,883.205,348.456,878.378,345.946,10.811,5.405
25,189.920,2026.299,367.879,2016.216,359.459,18.919,16.216
26,21.914,1265.315,364.414,1262.162,362.162,5.405,5.405
27,2096.421,1556.065,398.413,1529.730,372.973,54.054,51.351
28,21.914,2074.324,384.234,2070.270,381.081,8.108,5.405
29,51.132,480.502,394.402,475.676,389.189,10.811,8.108
30,43.828,1271.622,408.108,1264.865,402.703,13.514,10.811
31,80.351,2020.270,413.882,2013.514,408.108,13.514,10.811
32,80.351,1644.349,428.624,1637.838,424.324,13.514,8.108
33,701.242,1011.543,447.466,994.595,432.432,32.432,32.432
34,65.741,1988.739,447.598,1983.784,443.243,10.811,8.108
35,3162.893,2637.991,489.692,2608.108,456.757,62.162,67.568
36,29.218,1514.865,461.486,1510.811,459.459,8.108,5.405
37,394.449,1638.488,493.744,1624.324,478.378,32.432,32.432
38,233.747,2464.949,488.851,2451.351,481.081,27.027,13.514
39,255.661,112.625,496.486,102.703,486.486,18.919,18.919
40,175.310,502.590,507.432,491.892,500.000,18.919,13.514
41,51.132,1425.676,505.985,1421.622,502.703,10.811,8.108
42,1446.311,1679.907,538.711,1656.757,516.216,45.946,45.946
43,36.523,337.568,522.432,332.432,518.919,10.811,8.108
44,43.828,290.991,532.883,286.486,529.730,10.811,8.108
45,1278.305,103.483,554.170,81.081,535.135,45.946,37.838
46,21.914,1071.622,537.387,1067.568,535.135,8.108,5.405
47,43.828,1617.117,547.297,1613.514,543.243,8.108,8.108
48,36.523,1113.243,557.027,1108.108,554.054,10.811,8.108
49,36.523,2712.162,568.378,2708.108,564.865,8.108,8.108
50,29.218,712.162,570.270,708.108,567.568,8.108,5.405
51,168.006,2085.135,578.085,2072.973,572.973,29.730,10.811
52,233.747,333.024,586.824,324.324,575.676,21.622,21.622
53,51.132,2181.660,592.857,2178.378,589.189,8.108,8.108
54,416.362,2584.945,608.369,2570.270,594.595,29.730,29.730
55,445.581,1742.556,615.840,1729.730,600.000,27.027,29.730
56,94.960,769.751,608.420,762.162,602.703,16.216,13.514
57,29.218,1218.243,611.486,1213.514,608.108,8.108,5.405
58,284.879,535.863,669.612,524.324,656.757,24.324,24.324
59,2008.766,2197.430,707.189,2170.270,681.081,54.054,51.351
60,153.397,2390.669,717.310,2381.081,710.811,18.919,13.514
61,1000.730,805.514,732.166,786.486,713.514,37.838,37.838
62,124.178,1970.191,733.148,1962.162,727.027,16.216,10.811
63,43.828,708.108,740.090,702.703,737.838,10.811,5.405
64,29.218,2345.946,741.892,2343.243,737.838,5.405,8.108
65,73.046,1469.189,764.324,1464.865,759.459,10.811,10.811
66,51.132,2344.595,783.591,2340.541,778.378,10.811,10.811
67,124.178,1272.099,789.587,1259.459,783.784,24.324,13.514
68,43.828,1275.225,806.306,1267.568,800.000,13.514,13.514
69,182.615,99.730,823.622,91.892,813.514,16.216,24.324
70,160.701,113.022,831.327,102.703,818.919,18.919,21.622
71,21.914,1595.946,833.784,1591.892,829.730,8.108,8.108
72,423.667,2241.799,851.258,2227.027,832.432,35.135,29.730
73,51.132,56.178,865.444,51.351,862.162,10.811,8.108
74,146.092,132.973,871.757,121.622,862.162,21.622,16.216
75,175.310,2527.590,872.860,2516.216,864.865,21.622,16.216
76,58.437,107.432,877.027,100.000,870.270,13.514,10.811
77,21.914,594.144,872.523,591.892,870.270,5.405,5.405
78,73.046,1278.919,910.000,1272.973,905.405,10.811,8.108
79,160.701,1282.678,938.329,1275.676,927.027,16.216,18.919
80,168.006,2552.820,934.489,2543.243,927.027,16.216,16.216
81,29.218,1166.216,936.486,1162.162,932.432,8.108,8.108
82,109.569,2380.811,939.550,2375.676,932.432,10.811,13.514
