 ,Area,X,Y,BX,BY,Width,Height
1,36.523,69.459,122.973,64.865,118.919,8.108,8.108
2,445.579,73.881,227.005,56.757,210.811,32.432,32.432
3,73.046,348.648,247.297,343.243,243.243,10.811,8.108
4,65.741,110.661,275.225,105.405,270.270,10.811,10.811
5,43.827,995.945,427.026,991.890,421.621,8.108,10.811
6,4002.910,282.235,481.332,245.946,445.945,72.973,72.973
7,51.132,987.836,453.474,983.782,448.648,8.108,8.108
8,1154.124,72.973,527.026,54.054,505.405,40.540,43.243
9,109.569,823.332,614.323,816.215,608.107,13.513,10.811
10,43.827,1785.133,611.711,1781.079,608.107,8.108,8.108
11,36.523,1579.187,628.377,1575.673,624.323,8.108,8.108
12,1906.496,376.581,657.113,351.351,632.432,54.054,51.351
13,116.873,1877.193,704.222,1870.268,697.296,13.513,13.513
14,1278.302,1002.987,724.547,978.377,702.702,45.946,40.540
15,58.437,1117.566,718.918,1113.512,713.512,8.108,10.811
16,73.046,120.540,747.296,113.513,743.242,13.513,8.108
17,58.437,1860.808,756.756,1854.051,751.350,13.513,10.811
18,175.310,1663.511,784.796,1648.646,778.377,24.324,16.216
19,1314.825,1156.860,802.071,1135.134,781.080,43.243,40.540
20,73.046,1725.403,788.377,1721.619,783.783,8.108,10.811
21,73.046,1738.106,804.053,1729.727,797.296,16.216,10.811
22,284.879,688.045,812.230,678.377,799.999,18.919,24.324
23,36.523,260.270,834.864,256.756,832.431,8.108,5.405
24,51.132,553.474,837.644,548.648,835.134,10.811,5.405
25,87.655,37.838,841.891,32.432,837.837,10.811,8.108
26,58.437,1949.659,865.877,1945.943,862.161,8.108,8.108
27,80.350,2188.326,872.849,2181.078,867.566,13.513,10.811
28,43.827,347.297,873.873,343.243,870.269,8.108,8.108
29,328.706,1018.707,882.011,1008.107,870.269,21.622,24.324
30,36.523,1218.647,878.107,1213.512,875.674,10.811,5.405
31,36.523,629.459,893.783,624.323,889.188,10.811,8.108
32,197.224,712.762,904.453,702.702,894.593,18.919,16.216
33,109.569,1942.430,906.035,1935.132,899.999,13.513,13.513
34,73.046,2105.402,909.458,2099.997,905.404,10.811,8.108
35,109.569,1158.106,953.782,1151.350,948.647,13.513,10.811
36,65.741,2187.835,955.404,2181.078,951.350,13.513,8.108
37,87.655,236.261,960.809,229.729,954.053,13.513,10.811
38,292.183,448.580,969.255,437.837,956.755,21.622,24.324
39,233.747,1484.457,966.384,1475.674,956.755,18.919,18.919
40,452.884,64.952,984.349,54.054,970.269,24.324,27.027
41,102.264,492.277,982.431,486.486,975.674,13.513,13.513
42,898.463,616.270,992.627,597.296,975.674,37.838,37.838
43,94.960,1861.224,991.994,1854.051,986.485,16.216,10.811
44,284.879,1245.702,1008.072,1237.836,997.296,16.216,21.622
45,36.523,1299.728,1031.620,1297.295,1027.026,5.405,8.108
46,36.523,914.864,1035.404,910.810,1029.728,8.108,10.811
47,1110.296,2163.546,1050.639,2143.240,1032.431,40.540,37.838
48,248.356,1878.376,1052.383,1867.565,1040.539,24.324,21.622
49,189.919,1993.760,1053.949,1986.484,1045.944,16.216,16.216
50,36.523,319.729,1052.701,316.216,1048.647,8.108,8.108
51,861.941,769.994,1076.934,754.053,1059.458,32.432,35.135
52,5456.522,2065.095,1121.014,2021.619,1078.377,86.486,83.784
53,73.046,68.919,1093.512,62.162,1089.188,13.513,10.811
54,36.523,981.890,1099.188,978.377,1094.593,8.108,8.108
55,36.523,1065.674,1113.242,1062.161,1110.809,8.108,5.405
56,58.437,1237.836,1125.336,1232.431,1121.620,10.811,8.108
57,51.132,21.042,1135.327,13.513,1132.431,13.513,8.108
58,36.523,985.674,1135.944,981.080,1132.431,8.108,8.108
59,65.741,2286.333,1149.698,2281.078,1145.944,10.811,8.108
60,73.046,1295.133,1153.242,1289.187,1148.647,10.811,8.108
61,138.787,1946.157,1164.081,1937.835,1156.755,18.919,13.513
62,87.655,1439.187,1177.025,1432.430,1172.971,16.216,10.811
63,3571.940,1737.230,1209.729,1699.998,1172.971,70.270,72.973
64,73.046,1456.214,1190.539,1448.647,1186.485,16.216,8.108
65,65.741,922.671,1199.248,916.215,1194.593,10.811,8.108
66,80.350,1254.912,1201.841,1248.647,1194.593,13.513,13.513
67,116.873,29.730,1207.769,21.622,1202.701,16.216,10.811
68,36.523,894.323,1207.296,889.188,1202.701,10.811,8.108
69,94.960,368.710,1218.190,362.162,1210.809,13.513,13.513
70,168.005,1417.801,1255.874,1410.809,1245.944,13.513,18.919
71,387.143,635.772,1270.651,624.323,1256.755,24.324,27.027
72,138.787,1381.292,1265.076,1372.971,1256.755,18.919,13.513
73,686.631,2191.860,1275.846,2175.673,1262.160,32.432,29.730
74,51.132,1326.832,1277.025,1321.620,1272.971,10.811,8.108
75,124.178,767.169,1288.631,759.458,1281.079,13.513,16.216
76,65.741,1303.752,1285.734,1297.295,1281.079,10.811,8.108
77,146.092,2039.457,1287.836,2032.430,1281.079,13.513,13.513
78,211.833,2060.901,1313.745,2051.348,1305.404,18.919,18.919
79,146.092,1432.295,1315.809,1424.322,1308.106,16.216,16.216
80,51.132,1362.353,1328.376,1356.755,1324.322,10.811,8.108
81,65.741,734.984,1354.803,727.026,1348.647,16.216,10.811
82,36.523,393.243,1366.755,389.189,1362.160,8.108,8.108
83,87.655,158.784,1378.827,151.351,1372.971,13.513,13.513
84,58.437,1815.200,1380.741,1810.808,1375.674,10.811,8.108
85,58.437,1381.755,1382.093,1375.674,1378.376,13.513,8.108
86,36.523,920.269,1386.214,916.215,1381.079,8.108,10.811
87,109.569,1572.700,1391.259,1567.565,1383.782,10.811,13.513
88,1395.175,1648.668,1428.504,1624.322,1408.106,48.649,40.540
89,270.269,1577.609,1439.552,1567.565,1427.025,21.622,24.324
90,58.437,1884.795,1447.971,1881.078,1443.241,8.108,10.811
91,36.523,2025.673,1449.998,2018.916,1445.944,13.513,8.108
92,58.437,88.176,1456.417,83.784,1451.349,8.108,10.811
93,131.482,527.927,1464.863,521.621,1459.457,13.513,10.811
94,146.092,2092.565,1471.079,2083.781,1464.863,18.919,13.513
95,43.827,542.342,1476.124,537.837,1472.971,8.108,8.108
96,36.523,2137.565,1480.268,2132.429,1475.674,8.108,8.108
97,94.960,1245.840,1487.004,1235.133,1481.079,18.919,13.513
98,36.523,574.864,1488.917,570.269,1486.484,8.108,5.405
99,51.132,1769.689,1493.627,1764.862,1489.187,10.811,8.108
100,51.132,1857.333,1494.786,1854.051,1489.187,8.108,10.811
101,94.960,2354.570,1499.062,2345.943,1491.890,16.216,13.513
102,168.005,2150.819,1502.877,2137.835,1494.592,24.324,18.919
103,94.960,760.602,1523.387,754.053,1516.214,13.513,13.513
104,73.046,1992.430,1529.728,1986.484,1524.322,13.513,10.811
105,204.528,1650.480,1542.662,1637.836,1535.133,27.027,16.216
106,146.092,956.485,1560.538,948.647,1551.349,16.216,16.216
107,153.396,1465.957,1562.096,1454.052,1554.052,24.324,16.216
108,36.523,1669.457,1558.106,1664.862,1554.052,8.108,8.108
109,51.132,677.798,1560.809,672.972,1556.755,10.811,8.108
110,197.224,793.042,1567.515,783.783,1556.755,18.919,21.622
111,43.827,1879.727,1562.160,1872.970,1559.457,13.513,5.405
112,189.919,1476.505,1575.050,1462.160,1562.160,24.324,21.622
113,94.960,1945.216,1573.283,1940.538,1567.565,10.811,13.513
114,36.523,740.269,1585.673,735.134,1581.079,10.811,8.108
115,160.701,812.038,1595.821,802.702,1589.187,18.919,13.513
116,94.960,895.529,1597.399,889.188,1591.890,13.513,13.513
117,241.051,1578.581,1611.423,1567.565,1599.998,18.919,24.324
118,204.528,311.776,1608.395,297.297,1602.700,27.027,10.811
119,73.046,1761.889,1614.052,1756.754,1610.809,13.513,8.108
120,43.827,1651.799,1626.124,1645.944,1621.619,10.811,8.108
121,204.528,2117.661,1630.500,2108.105,1621.619,24.324,21.622
122,109.569,1676.844,1631.799,1667.565,1627.025,18.919,10.811
123,182.615,259.513,1639.511,251.351,1632.430,16.216,16.216
124,197.224,2134.081,1646.895,2121.619,1635.133,21.622,21.622
125,65.741,1390.238,1650.598,1383.782,1645.944,10.811,10.811
126,51.132,595.945,1652.700,591.891,1648.646,8.108,8.108
127,116.873,664.188,1667.227,659.459,1659.457,10.811,16.216
128,540.539,1095.323,1693.643,1075.674,1675.673,37.838,35.135
129,36.523,1344.052,1680.268,1340.539,1675.673,8.108,8.108
130,87.655,1994.592,1683.556,1986.484,1678.376,16.216,10.811
131,80.350,792.259,1688.573,786.485,1683.781,10.811,10.811
132,36.523,1294.322,1702.430,1289.187,1697.295,8.108,8.108
133,51.132,2078.955,1702.507,2072.970,1699.998,10.811,5.405
134,73.046,1937.835,1718.916,1932.430,1713.511,10.811,10.811
135,65.741,1020.869,1720.868,1016.215,1716.214,10.811,10.811
136,51.132,1025.288,1731.851,1018.917,1727.025,13.513,8.108
137,365.229,1974.051,1746.970,1962.159,1735.133,24.324,24.324
138,87.655,1739.637,1773.646,1732.430,1767.565,13.513,10.811
139,1176.038,2047.462,1788.490,2027.024,1770.268,40.540,37.838
140,58.437,432.432,1783.106,427.026,1778.376,10.811,8.108
141,87.655,1358.331,1799.997,1351.349,1794.592,16.216,10.811
142,36.523,872.161,1802.970,867.566,1799.997,8.108,5.405
143,43.827,772.972,1816.214,767.566,1813.511,10.811,5.405
144,65.741,831.380,1842.190,824.323,1835.133,13.513,13.513
145,51.132,865.057,1839.959,859.458,1835.133,10.811,8.108
146,36.523,1240.269,1839.187,1235.133,1835.133,10.811,8.108
