 ,Area,X,Y,BX,BY,Width,Height
1,34.683,2327.440,16.066,2322.962,13.169,7.901,5.267
2,208.098,2499.072,42.052,2486.254,34.239,26.337,15.802
3,69.366,2629.267,41.086,2623.209,36.872,10.535,7.901
4,402.323,1465.451,58.079,1451.193,44.774,28.971,28.971
5,1505.244,2535.270,133.320,2512.592,110.617,44.774,47.407
6,159.542,2310.996,134.264,2301.892,123.786,15.802,18.436
7,305.211,1939.214,141.264,1930.534,129.053,15.802,23.704
8,187.288,2055.637,138.857,2049.053,131.687,15.802,15.802
9,215.035,449.053,153.139,439.835,144.856,18.436,15.802
10,166.479,2186.007,160.988,2178.106,152.757,15.802,18.436
11,284.401,990.191,172.125,982.386,155.391,15.802,31.605
12,1262.463,2270.056,193.841,2249.217,155.391,52.675,60.576
13,201.162,2288.587,166.879,2278.189,158.025,18.436,18.436
14,83.239,1945.678,176.241,1938.436,171.193,13.169,10.535
15,173.415,920.388,182.413,908.642,173.827,23.704,15.802
16,104.049,1415.989,180.060,1409.053,173.827,13.169,13.169
17,437.006,2026.959,210.344,2004.279,197.531,44.774,23.704
18,152.605,2500.381,207.347,2494.156,197.531,13.169,21.070
19,228.908,1731.926,212.096,1722.469,202.798,18.436,18.436
20,90.176,2610.344,218.702,2604.773,210.700,10.535,15.802
21,242.781,83.640,232.710,76.379,218.601,15.802,31.605
22,110.986,2551.769,233.251,2544.197,223.868,13.169,18.436
23,110.986,1347.160,232.922,1337.942,226.502,15.802,13.169
24,326.021,2493.567,239.587,2483.621,226.502,21.070,23.704
25,194.225,1204.468,237.601,1195.720,229.136,18.436,15.802
26,270.528,2157.948,246.052,2149.135,229.136,21.070,36.872
27,90.176,2109.933,240.380,2104.361,234.403,13.169,10.535
28,284.401,1929.346,247.604,1917.366,239.671,23.704,15.802
29,117.922,637.598,248.424,632.099,242.304,10.535,15.802
30,34.683,1291.325,247.835,1287.901,244.938,7.901,5.267
31,34.683,1414.584,253.103,1409.053,250.206,10.535,5.267
32,69.366,2182.584,256.263,2175.473,250.206,13.169,10.535
33,55.493,1763.292,263.045,1756.707,258.107,10.535,10.535
34,62.429,2649.107,263.521,2644.279,258.107,10.535,10.535
35,34.683,1329.777,267.325,1327.407,263.374,5.267,7.901
36,450.879,1918.399,279.359,1906.831,263.374,21.070,34.239
37,62.429,190.654,289.566,186.996,284.444,7.901,10.535
38,561.865,235.460,312.716,223.868,294.979,23.704,34.239
39,34.683,554.930,301.037,550.452,297.613,7.901,7.901
40,90.176,2643.570,305.413,2633.744,300.247,18.436,10.535
41,34.683,729.284,306.304,726.913,302.881,5.267,7.901
42,1546.863,546.301,331.421,526.749,305.514,47.407,57.942
43,41.620,2375.637,308.587,2370.370,305.514,10.535,5.267
44,97.113,2077.648,319.436,2070.123,313.416,15.802,13.169
