 ,Area,X,Y,BX,BY,Width,Height
1,50.960,2199.950,16.767,2193.591,13.491,13.491,5.396
2,43.680,343.114,26.532,339.966,21.585,8.094,8.094
3,152.880,378.061,30.900,369.646,24.283,16.189,16.189
4,160.160,2515.896,30.538,2506.575,24.283,18.887,13.491
5,72.800,1483.709,41.821,1478.583,35.076,10.793,13.491
6,116.480,690.556,46.543,685.328,40.472,10.793,13.491
7,232.959,1735.834,52.108,1724.114,40.472,21.585,21.585
8,451.359,838.426,66.322,817.537,48.567,35.076,37.774
9,65.520,2396.701,62.807,2390.555,56.661,13.491,10.793
10,123.760,2585.218,62.295,2571.331,56.661,24.283,10.793
11,160.160,197.946,66.350,188.870,59.359,16.189,13.491
12,189.279,980.879,69.218,974.030,59.359,13.491,18.887
13,36.400,1248.431,63.406,1243.844,59.359,8.094,8.094
14,36.400,2599.661,69.882,2595.614,64.755,8.094,10.793
15,36.400,2491.196,74.199,2487.688,70.152,8.094,8.094
16,87.360,182.799,83.642,178.077,78.246,10.793,10.793
17,152.880,2598.248,92.700,2592.916,83.642,10.793,18.887
18,334.879,2259.636,97.544,2250.252,86.341,18.887,24.283
19,414.959,2362.650,100.754,2352.781,86.341,18.887,29.680
20,997.357,1986.336,115.163,1966.946,89.039,40.472,51.265
21,691.598,37.646,111.320,21.585,97.133,29.680,32.378
22,160.160,2472.358,105.841,2466.103,97.133,13.491,18.887
23,43.680,1593.254,110.174,1589.206,105.228,8.094,8.094
24,342.159,2656.265,114.154,2638.784,105.228,35.076,18.887
25,160.160,836.057,117.737,828.330,110.624,13.491,16.189
26,138.320,1789.366,118.931,1783.473,110.624,13.491,16.189
27,131.040,1620.835,121.267,1613.490,116.020,13.491,10.793
28,94.640,2695.757,125.256,2690.049,118.718,13.491,10.793
29,72.800,2321.752,131.400,2317.705,126.813,8.094,10.793
30,123.760,1911.317,137.526,1904.889,129.511,13.491,16.189
31,407.679,21.778,150.084,5.396,137.605,29.680,21.585
32,145.600,2341.179,142.732,2331.196,137.605,18.887,10.793
33,131.040,1923.626,166.985,1915.682,159.190,13.491,16.189
34,436.799,1957.053,181.450,1942.663,159.190,26.981,40.472
35,167.439,979.485,176.728,971.332,169.983,16.189,16.189
36,320.319,869.231,186.724,858.010,175.379,21.585,24.283
37,116.480,1389.544,184.148,1384.148,178.077,10.793,13.491
38,473.199,1023.655,199.351,1006.407,183.474,32.378,26.981
39,43.680,655.649,190.669,650.253,186.172,10.793,8.094
40,211.119,2213.268,202.128,2207.081,186.172,13.491,29.680
41,65.520,84.992,195.615,80.944,191.568,8.094,8.094
42,349.439,130.242,212.029,113.322,194.266,29.680,32.378
43,174.719,1221.247,210.118,1211.466,202.361,18.887,16.189
44,218.399,251.557,216.301,240.135,207.757,21.585,18.887
45,116.480,958.347,218.718,952.445,210.455,16.189,16.189
46,327.599,732.606,231.950,723.102,218.550,18.887,26.981
47,72.800,1291.331,225.565,1284.316,221.248,13.491,8.094
48,1004.637,217.337,249.520,196.964,226.644,53.963,45.868
49,1041.037,2629.624,259.201,2611.803,234.738,40.472,45.868
50,65.520,1005.958,245.681,1001.011,240.135,10.793,10.793
51,72.800,103.609,249.578,97.133,245.531,13.491,8.094
52,87.360,1999.324,256.324,1991.230,250.927,16.189,10.793
53,65.520,809.893,260.671,804.047,253.625,10.793,16.189
54,334.879,1339.745,260.488,1316.694,253.625,43.170,16.189
55,101.920,726.571,281.571,723.102,267.116,10.793,24.283
56,138.320,2526.953,277.838,2520.066,269.814,13.491,16.189
57,160.160,913.689,288.824,903.878,280.607,21.585,18.887
58,138.320,2704.321,288.772,2695.445,280.607,18.887,16.189
59,618.798,2663.972,311.350,2652.275,288.701,24.283,43.170
60,36.400,986.711,298.145,982.124,294.098,8.094,8.094
61,407.679,1067.164,324.211,1046.880,307.588,37.774,29.680
62,167.439,20.940,352.577,10.793,342.664,21.585,18.887
63,36.400,1741.112,350.489,1737.604,348.060,8.094,5.396
64,262.079,579.576,359.902,569.308,350.759,18.887,18.887
65,36.400,2659.560,354.806,2654.973,350.759,8.094,8.094
66,181.999,901.666,360.634,893.085,353.457,16.189,16.189
67,254.799,1872.704,379.166,1864.417,366.947,16.189,24.283
68,58.240,2198.312,374.705,2193.591,369.646,8.094,10.793
69,94.640,2450.848,400.259,2444.518,393.929,13.491,10.793
70,596.958,214.239,422.095,191.568,404.721,40.472,29.680
71,167.439,34.196,413.930,24.283,407.420,21.585,13.491
72,36.400,209.646,409.848,205.059,407.420,8.094,5.396
73,94.640,1240.627,413.750,1233.051,407.420,13.491,13.491
74,101.920,2721.848,429.968,2714.332,423.609,13.491,13.491
75,385.839,687.237,478.666,669.140,461.383,35.076,29.680
76,196.559,123.065,477.222,113.322,469.477,18.887,16.189
77,575.118,206.066,481.004,188.870,469.477,32.378,24.283
78,465.919,399.536,486.298,385.834,472.175,26.981,26.981
79,36.400,757.369,479.460,752.782,474.873,10.793,8.094
80,1070.157,1482.960,500.212,1448.903,482.968,56.661,43.170
81,611.518,2399.742,508.215,2371.668,485.666,51.265,37.774
82,36.400,44.519,496.728,40.472,493.760,8.094,8.094
83,65.520,1644.219,497.508,1637.773,493.760,13.491,8.094
84,1121.117,2300.290,523.142,2271.837,493.760,59.359,53.963
85,65.520,1439.759,500.805,1432.714,496.458,13.491,8.094
86,524.158,509.687,517.182,491.062,504.553,37.774,24.283
87,181.999,1622.502,509.571,1610.792,504.553,21.585,10.793
88,174.719,2349.521,513.884,2339.290,507.251,18.887,13.491
89,167.439,249.461,536.872,242.833,528.836,13.491,16.189
90,334.879,17.831,546.081,5.396,531.534,26.981,24.283
91,109.200,1988.262,537.740,1980.437,531.534,13.491,13.491
92,116.480,1638.953,547.217,1632.377,539.629,10.793,16.189
93,167.439,684.331,549.307,674.536,542.327,18.887,13.491
94,101.920,1886.388,574.126,1880.606,569.308,10.793,10.793
95,94.640,1192.891,577.922,1184.485,572.006,13.491,10.793
96,94.640,2407.678,576.884,2401.348,572.006,13.491,10.793
97,58.240,1203.372,586.846,1197.976,582.799,10.793,8.094
98,145.600,2388.531,591.433,2379.762,585.497,16.189,13.491
99,211.119,336.384,595.406,323.777,588.195,26.981,13.491
100,181.999,1804.464,600.769,1796.963,590.893,13.491,18.887
101,58.240,453.288,599.325,447.892,593.592,10.793,10.793
102,327.599,2405.095,612.149,2395.951,593.592,18.887,35.076
103,50.960,471.211,605.733,466.779,598.988,8.094,10.793
104,43.680,364.699,609.780,358.853,604.384,10.793,10.793
105,131.040,2421.883,619.973,2414.838,612.479,13.491,16.189
106,968.237,558.668,633.830,539.629,615.177,40.472,35.076
107,43.680,2302.416,618.774,2298.818,615.177,8.094,8.094
108,152.880,2567.669,634.128,2560.538,625.969,16.189,18.887
109,240.239,1616.392,638.438,1605.395,628.667,21.585,18.887
110,291.199,1995.547,640.876,1985.833,628.667,21.585,26.981
111,196.559,1652.613,669.289,1640.471,655.649,24.283,24.283
112,131.040,2436.873,661.345,2431.027,655.649,13.491,13.491
113,946.397,1240.461,680.098,1222.259,658.347,43.170,40.472
114,43.680,292.749,672.737,288.701,669.140,8.094,8.094
115,626.078,2394.100,699.572,2377.064,682.630,35.076,37.774
116,240.239,2409.810,725.514,2398.649,717.706,21.585,16.189
117,283.919,474.147,733.584,461.383,720.404,26.981,24.283
118,211.119,84.805,733.942,72.850,725.801,24.283,21.585
119,36.400,998.583,729.308,995.615,725.801,5.396,8.094
120,349.439,1020.179,740.359,1001.011,728.499,35.076,26.981
121,145.600,2586.575,736.323,2576.727,728.499,16.189,16.189
122,232.959,2296.963,763.069,2285.327,752.782,21.585,21.585
123,626.078,2704.449,783.309,2681.954,760.876,51.265,35.076
124,218.399,240.495,784.530,232.040,771.669,16.189,24.283
125,400.399,750.844,787.147,739.291,774.367,24.283,24.283
126,429.519,1044.342,782.210,1027.993,774.367,32.378,18.887
127,531.438,1438.905,790.759,1424.620,777.065,29.680,29.680
128,94.640,1133.947,788.792,1127.824,782.462,13.491,13.491
129,101.920,2358.948,801.156,2352.781,793.254,10.793,13.491
130,116.480,2612.477,800.337,2606.406,793.254,13.491,13.491
131,363.999,2636.410,808.094,2625.293,795.952,21.585,24.283
132,545.998,2039.706,816.440,2026.306,801.349,26.981,32.378
133,43.680,1846.879,814.390,1842.832,809.443,8.094,8.094
134,50.960,2434.689,821.199,2428.329,814.839,13.491,10.793
135,116.480,578.414,823.946,572.006,817.537,13.491,13.491
136,80.080,1072.021,825.019,1065.767,817.537,10.793,13.491
137,189.279,2098.429,827.604,2088.363,820.236,18.887,13.491
138,101.920,2457.045,831.028,2449.914,825.632,13.491,10.793
139,72.800,2698.143,833.996,2690.049,828.330,16.189,10.793
140,502.318,890.290,853.767,874.198,831.028,29.680,40.472
141,320.319,183.290,859.420,169.983,849.915,26.981,18.887
142,36.400,985.632,858.819,982.124,855.311,8.094,8.094
143,109.200,2668.734,863.856,2663.067,855.311,13.491,16.189
144,276.639,2692.037,864.045,2679.256,855.311,26.981,18.887
145,422.239,1046.600,886.340,1033.389,871.500,24.283,35.076
146,65.520,1175.041,875.548,1170.994,871.500,8.094,8.094
147,181.999,385.133,888.175,377.740,876.897,16.189,24.283
148,101.920,1481.859,882.486,1475.884,876.897,13.491,10.793
149,65.520,2676.108,883.942,2671.162,879.595,10.793,8.094
150,43.680,1342.776,889.038,1338.279,884.991,8.094,8.094
151,363.999,1953.294,896.917,1939.965,884.991,26.981,24.283
152,691.598,2227.232,906.534,2209.779,884.991,29.680,40.472
153,80.080,790.433,902.038,785.160,895.784,10.793,10.793
154,145.600,428.060,916.694,420.910,909.274,16.189,13.491
155,36.400,606.273,911.703,601.686,909.274,8.094,5.396
156,3144.950,2337.185,935.856,2288.026,909.274,86.341,53.963
157,298.479,2641.581,919.442,2627.992,909.274,24.283,18.887
158,80.080,357.995,917.737,353.457,911.972,10.793,10.793
159,262.079,1772.230,927.337,1761.888,914.671,21.585,26.981
160,167.439,275.621,930.449,261.720,920.067,24.283,18.887
161,203.839,1134.280,930.185,1125.126,920.067,21.585,18.887
162,43.680,1742.551,924.564,1737.604,920.067,8.094,8.094
163,269.359,1092.785,937.021,1081.955,925.463,18.887,21.585
164,58.240,147.723,934.232,143.002,930.859,10.793,8.094
165,174.719,2203.709,948.847,2193.591,938.954,18.887,18.887
166,43.680,160.989,944.350,156.492,941.652,10.793,5.396
167,232.959,488.280,961.045,474.873,941.652,24.283,32.378
168,43.680,177.178,952.445,172.681,947.048,8.094,10.793
169,232.959,2704.467,973.187,2692.747,963.237,21.585,18.887
170,509.598,461.267,979.233,445.194,968.633,29.680,24.283
171,181.999,598.070,975.379,585.497,968.633,21.585,16.189
172,87.360,708.937,976.728,704.215,971.332,10.793,10.793
173,240.239,1763.891,986.989,1753.793,971.332,21.585,26.981
174,58.240,419.899,980.101,412.816,976.728,13.491,8.094
175,109.200,675.165,984.013,669.140,976.728,13.491,13.491
176,65.520,397.377,984.373,391.231,979.426,10.793,10.793
177,320.319,1906.790,990.096,1891.398,982.124,32.378,16.189
178,145.600,1560.336,1005.193,1551.432,992.917,18.887,24.283
179,516.878,391.668,1005.590,375.042,995.615,40.472,24.283
180,72.800,573.895,1005.328,569.308,1001.011,10.793,10.793
181,160.160,2731.993,1009.106,2725.125,1001.011,13.491,16.189
182,36.400,131.400,1008.836,126.813,1006.407,8.094,5.396
183,342.159,446.370,1039.905,434.401,1019.898,21.585,35.076
184,43.680,706.014,1033.839,701.517,1030.691,8.094,8.094
185,509.598,1131.794,1059.715,1117.031,1036.087,29.680,45.868
186,36.400,1395.750,1038.515,1392.242,1036.087,8.094,5.396
187,131.040,229.192,1056.473,221.248,1049.578,16.189,13.491
188,181.999,519.608,1059.345,509.949,1052.276,21.585,13.491
189,58.240,2427.992,1055.311,2422.933,1052.276,10.793,8.094
190,58.240,996.627,1058.684,992.917,1054.974,8.094,8.094
191,698.878,298.510,1078.583,280.607,1060.370,37.774,35.076
192,50.960,1927.823,1065.188,1923.776,1060.370,8.094,10.793
193,400.399,498.543,1085.856,488.364,1068.465,24.283,40.472
194,72.800,2551.095,1074.670,2547.047,1068.465,8.094,10.793
195,262.079,231.815,1080.756,218.550,1071.163,24.283,18.887
196,240.239,2497.459,1085.594,2487.688,1073.861,16.189,26.981
197,545.998,2344.201,1103.019,2323.101,1079.257,40.472,40.472
198,80.080,1151.249,1097.041,1146.711,1092.748,10.793,10.793
199,305.759,1448.774,1110.479,1438.110,1092.748,18.887,37.774
200,109.200,1178.099,1103.990,1170.994,1098.144,13.491,10.793
201,36.400,2612.612,1109.207,2609.105,1106.239,8.094,5.396
202,232.959,681.871,1117.200,671.838,1108.937,18.887,16.189
203,36.400,1207.419,1122.697,1203.372,1117.031,8.094,10.793
204,109.200,1229.904,1123.057,1222.259,1117.031,13.491,10.793
205,363.999,2287.540,1132.195,2271.837,1122.428,29.680,18.887
206,174.719,14.390,1134.007,5.396,1127.824,18.887,13.491
207,953.677,141.302,1145.053,121.416,1127.824,40.472,35.076
208,94.640,581.657,1133.116,574.705,1127.824,13.491,10.793
209,94.640,1373.044,1134.154,1367.959,1127.824,10.793,13.491
210,538.718,2651.035,1138.981,2633.388,1127.824,35.076,26.981
211,80.080,1898.880,1135.305,1894.097,1130.522,10.793,10.793
212,116.480,2130.690,1137.099,2126.137,1130.522,10.793,13.491
213,189.279,1587.754,1150.551,1578.414,1141.315,18.887,16.189
214,1688.955,1131.371,1167.296,1108.937,1144.013,45.868,53.963
215,174.719,1460.033,1164.923,1454.299,1152.107,10.793,21.585
216,1499.675,2649.249,1180.647,2614.501,1157.503,78.246,40.472
217,160.160,526.751,1167.928,518.044,1160.202,16.189,16.189
218,211.119,2089.712,1170.017,2080.268,1160.202,21.585,21.585
219,837.197,464.280,1181.001,447.892,1162.900,35.076,35.076
220,58.240,1638.785,1169.308,1635.075,1162.900,8.094,10.793
221,320.319,2467.391,1182.829,2452.612,1170.994,29.680,18.887
222,313.039,16.534,1187.277,5.396,1176.390,21.585,21.585
223,152.880,533.012,1190.588,518.044,1179.089,24.283,21.585
224,58.240,2095.446,1184.485,2091.061,1179.089,8.094,10.793
225,524.158,187.596,1198.126,169.983,1184.485,32.378,26.981
226,36.400,1085.463,1200.944,1081.955,1197.976,8.094,5.396
227,101.920,507.829,1214.357,501.855,1208.768,10.793,10.793
228,196.559,581.950,1218.312,574.705,1208.768,16.189,18.887
229,203.839,2236.279,1228.522,2228.666,1216.863,16.189,21.585
230,451.359,1466.354,1234.575,1443.507,1222.259,37.774,24.283
231,313.039,849.256,1235.593,836.424,1224.957,24.283,21.585
232,80.080,2344.564,1230.721,2339.290,1224.957,10.793,10.793
233,218.399,1803.259,1250.499,1794.265,1241.146,18.887,18.887
234,65.520,255.274,1255.686,250.927,1249.240,8.094,10.793
235,50.960,1836.087,1262.538,1832.039,1257.335,8.094,10.793
236,167.439,2726.357,1279.448,2719.728,1270.826,13.491,18.887
237,152.880,2221.150,1284.252,2212.478,1273.524,16.189,21.585
238,757.118,2538.460,1297.029,2522.764,1281.618,37.774,40.472
239,1470.555,719.523,1315.145,663.743,1289.713,94.435,45.868
240,72.800,1833.388,1298.616,1829.341,1292.411,8.094,10.793
241,225.679,1011.238,1304.639,1003.709,1295.109,18.887,24.283
242,43.680,1026.194,1302.304,1022.596,1297.807,8.094,8.094
243,422.239,1742.442,1322.555,1729.510,1305.901,24.283,29.680
244,138.320,871.145,1315.913,863.406,1308.600,18.887,13.491
245,145.600,912.917,1313.456,898.482,1308.600,21.585,13.491
246,538.718,2493.048,1324.023,2479.594,1308.600,32.378,29.680
247,1412.316,1039.717,1342.604,1017.200,1311.298,51.265,53.963
248,58.240,839.123,1318.043,833.726,1313.996,10.793,8.094
249,43.680,326.925,1326.587,321.079,1322.090,10.793,8.094
250,65.520,855.162,1327.037,849.915,1322.090,10.793,10.793
251,138.320,908.635,1330.540,898.482,1324.788,18.887,10.793
252,65.520,196.515,1335.131,191.568,1330.185,10.793,10.793
253,94.640,650.149,1335.892,644.856,1330.185,10.793,13.491
254,58.240,260.371,1351.095,256.324,1346.374,8.094,10.793
255,50.960,1170.031,1354.661,1165.598,1349.072,8.094,10.793
256,917.277,1851.954,1378.473,1834.737,1349.072,40.472,53.963
257,43.680,186.622,1361.663,180.776,1357.166,10.793,8.094
258,116.480,1346.711,1369.814,1340.977,1362.562,10.793,13.491
259,50.960,150.518,1371.620,145.700,1367.959,8.094,8.094
260,327.599,1405.583,1387.235,1394.940,1376.053,24.283,24.283
261,225.679,77.680,1388.804,67.454,1378.751,21.585,18.887
262,1601.595,750.697,1430.592,725.801,1389.544,45.868,99.831
263,43.680,1546.936,1398.987,1543.338,1394.940,8.094,8.094
264,131.040,2680.605,1409.780,2673.860,1403.035,13.491,13.491
265,131.040,1762.787,1424.170,1756.491,1413.827,13.491,21.585
266,58.240,2433.388,1426.306,2428.329,1421.922,10.793,8.094
267,50.960,824.283,1467.212,820.236,1462.394,8.094,8.094
268,604.238,1468.099,1488.806,1451.601,1470.488,29.680,35.076
269,181.999,2098.346,1478.744,2091.061,1470.488,13.491,16.189
270,80.080,2376.206,1483.120,2371.668,1475.884,10.793,13.491
271,363.999,2322.130,1497.416,2309.611,1481.281,24.283,26.981
272,211.119,343.083,1492.213,331.872,1486.677,24.283,10.793
273,269.359,1242.714,1508.663,1230.353,1497.470,24.283,24.283
274,87.360,2350.308,1516.581,2344.687,1510.960,10.793,10.793
275,181.999,2708.342,1525.476,2698.143,1519.055,18.887,13.491
276,87.360,1914.108,1533.220,1907.587,1527.149,13.491,13.491
277,65.520,1445.156,1538.991,1440.809,1532.545,8.094,10.793
278,101.920,2033.822,1537.364,2023.607,1532.545,18.887,10.793
279,160.160,2426.121,1539.536,2417.536,1532.545,16.189,13.491
280,276.639,829.324,1550.438,820.236,1540.640,18.887,18.887
281,1048.317,2059.695,1578.058,2042.494,1548.734,37.774,51.265
282,131.040,2185.196,1564.773,2177.402,1556.829,13.491,13.491
283,1193.916,1033.948,1584.452,1003.709,1559.527,56.661,45.868
284,393.119,1965.697,1577.814,1956.154,1559.527,21.585,35.076
285,829.917,1996.792,1584.260,1980.437,1559.527,48.567,43.170
286,181.999,1397.584,1583.756,1386.846,1575.716,18.887,16.189
287,844.477,2351.595,1609.326,2331.196,1575.716,40.472,67.454
288,262.079,818.737,1592.504,809.443,1581.112,18.887,21.585
289,58.240,97.470,1589.206,91.737,1583.810,10.793,10.793
290,65.520,1430.466,1592.354,1424.620,1586.508,10.793,10.793
291,254.799,2310.343,1593.716,2298.818,1586.508,24.283,16.189
292,87.360,2187.520,1599.549,2182.798,1591.905,10.793,13.491
293,72.800,629.207,1600.808,623.271,1594.603,10.793,13.491
294,131.040,2716.131,1607.794,2708.936,1599.999,13.491,13.491
295,138.320,1477.801,1611.431,1467.790,1605.395,18.887,13.491
296,43.680,2580.774,1610.792,2576.727,1608.093,8.094,5.396
297,152.880,1943.627,1622.805,1934.569,1613.490,16.189,18.887
298,735.278,1957.877,1650.983,1931.871,1629.679,40.472,45.868
299,72.800,117.369,1638.582,110.624,1632.377,16.189,13.491
300,138.320,849.844,1659.571,839.123,1653.962,18.887,10.793
301,36.400,2391.364,1656.390,2387.857,1653.962,8.094,5.396
302,349.439,1666.666,1676.446,1659.358,1659.358,16.189,32.378
303,94.640,870.981,1675.443,863.406,1667.453,16.189,13.491
304,65.520,1407.082,1692.485,1400.336,1689.038,13.491,8.094
305,349.439,326.532,1704.383,315.683,1691.736,21.585,24.283
306,50.960,2093.952,1696.939,2091.061,1691.736,8.094,10.793
307,458.639,2107.443,1715.998,2093.759,1702.528,32.378,24.283
308,167.439,1726.753,1732.149,1716.019,1718.717,18.887,26.981
309,247.519,2402.617,1739.985,2393.253,1729.510,18.887,21.585
310,65.520,310.436,1739.253,304.890,1734.906,10.793,8.094
311,36.400,1873.321,1740.572,1869.813,1737.604,8.094,5.396
312,36.400,1174.502,1749.206,1170.994,1745.699,8.094,8.094
313,553.278,1700.008,1770.657,1683.641,1748.397,32.378,53.963
314,444.079,1890.669,1764.254,1877.908,1751.095,29.680,24.283
315,203.839,1131.871,1769.115,1122.428,1759.189,18.887,21.585
