 ,Area,X,Y,BX,BY,Width,Height
1,116.611,112.880,11.642,105.287,5.399,16.198,13.498
2,80.170,520.912,14.112,515.636,5.399,10.799,13.498
3,43.729,377.503,13.048,372.553,8.099,10.799,8.099
4,408.138,480.781,38.374,467.042,24.297,26.997,26.997
5,36.441,745.917,34.286,742.407,29.696,8.099,8.099
6,539.325,177.120,45.055,164.679,32.396,26.997,26.997
7,51.017,84.654,42.616,80.990,37.795,8.099,8.099
8,626.783,599.733,55.437,583.127,40.495,32.396,29.696
9,291.527,641.305,56.018,631.721,40.495,21.597,26.997
10,1938.655,228.040,92.712,205.174,56.693,48.594,62.092
11,196.781,302.012,65.042,291.564,56.693,24.297,18.898
12,87.458,84.139,101.912,75.591,97.188,16.198,10.799
13,225.934,132.937,108.988,124.184,99.888,16.198,18.898
14,378.985,164.576,121.537,153.881,110.686,21.597,21.597
15,481.020,441.845,126.680,429.246,113.386,24.297,26.997
16,123.899,108.066,128.552,102.587,118.785,10.799,18.898
17,1180.685,521.651,141.966,491.339,124.184,59.393,35.096
18,36.441,319.370,129.314,315.861,126.884,8.099,5.399
19,3716.971,426.256,189.193,388.751,151.181,70.191,80.990
20,320.680,29.942,170.140,21.597,153.881,16.198,29.696
21,2660.185,332.358,187.553,302.362,159.280,62.092,56.693
22,94.746,197.802,179.943,191.676,172.778,10.799,13.498
23,320.680,657.920,194.621,647.919,180.877,18.898,26.997
24,852.717,209.178,214.969,191.676,197.075,35.096,35.096
25,437.291,61.417,229.831,48.594,215.973,24.297,26.997
26,364.409,609.746,255.010,599.325,229.471,35.096,43.195
27,1377.466,142.389,272.016,116.085,242.970,59.393,59.393
28,371.697,469.715,264.699,458.943,251.069,26.997,26.997
29,43.729,495.838,282.115,491.339,275.366,10.799,10.799
30,444.579,214.490,293.666,199.775,278.065,35.096,35.096
31,502.884,465.027,304.651,450.844,278.065,32.396,40.495
32,123.899,97.108,299.424,89.089,291.564,16.198,16.198
33,1406.618,190.018,331.212,159.280,305.062,62.092,45.894
34,874.581,323.060,344.679,307.762,323.960,35.096,37.795
35,1515.941,502.267,364.870,467.042,334.758,67.492,53.993
36,36.441,7.829,355.006,5.399,348.256,5.399,13.498
37,262.374,281.515,358.605,269.966,348.256,21.597,18.898
38,590.342,94.438,385.868,80.990,372.553,26.997,29.696
39,2164.589,203.352,406.772,161.980,383.352,80.990,51.294
40,123.899,608.456,393.119,602.025,383.352,13.498,18.898
41,43.729,557.930,405.849,553.431,402.250,8.099,8.099
42,182.204,410.403,453.381,404.949,437.345,13.498,29.696
43,80.170,433.541,450.966,429.246,442.745,8.099,16.198
44,72.882,564.769,448.684,558.830,442.745,10.799,10.799
45,123.899,221.928,452.511,207.874,445.444,24.297,10.799
46,714.241,113.606,470.485,99.888,450.844,32.396,35.096
47,51.017,295.227,476.490,288.864,472.441,10.799,8.099
48,211.357,310.135,505.163,299.663,485.939,18.898,35.096
49,983.904,191.466,517.365,172.778,499.438,37.795,35.096
50,51.017,469.163,507.729,464.342,502.137,8.099,10.799
51,247.798,69.477,518.335,59.393,510.236,21.597,16.198
52,87.458,92.913,536.108,89.089,529.134,8.099,13.498
53,116.611,77.953,537.739,67.492,531.834,18.898,10.799
54,517.461,134.356,550.674,118.785,531.834,29.696,35.096
55,211.357,253.815,570.141,242.970,556.130,24.297,21.597
56,65.594,346.607,594.676,340.157,588.526,13.498,13.498
57,51.017,75.012,594.504,70.191,591.226,10.799,8.099
58,247.798,116.641,616.079,105.287,607.424,26.997,16.198
59,546.613,279.415,632.495,267.267,612.823,26.997,37.795
60,167.628,214.623,635.301,207.874,626.322,13.498,16.198
61,51.017,474.948,657.368,469.741,653.318,10.799,8.099
62,80.170,437.959,668.903,431.946,664.117,13.498,8.099
63,182.204,145.296,678.965,137.683,669.516,16.198,18.898
64,2150.012,206.918,696.289,175.478,672.216,62.092,48.594
