 ,Area,X,Y,BX,BY,Width,Height
1,2644.252,186.710,32.328,156.756,5.405,59.459,54.054
2,7.305,2341.886,60.811,2340.535,59.459,2.703,2.703
3,51.132,2188.218,77.799,2183.778,72.973,8.108,10.811
4,7.305,1582.428,77.027,1581.077,75.675,2.703,2.703
5,87.655,1223.646,85.135,1218.916,78.378,10.811,13.513
6,7.305,2414.859,90.540,2413.507,89.189,2.703,2.703
7,51.132,383.976,99.421,381.080,94.594,5.405,10.811
8,7.305,1279.726,109.459,1278.375,108.108,2.703,2.703
9,7.305,1144.592,114.865,1143.240,113.513,2.703,2.703
10,14.609,2043.238,132.432,2040.535,129.729,5.405,5.405
11,21.914,2687.831,132.883,2683.777,129.729,8.108,5.405
12,7.305,1768.914,136.486,1767.563,135.135,2.703,2.703
13,51.132,1685.131,160.038,1678.374,156.756,13.513,8.108
14,43.827,1860.356,168.468,1856.752,164.864,8.108,8.108
15,94.959,1620.266,178.274,1616.212,170.270,10.811,13.513
16,58.437,535.472,185.135,529.728,178.378,13.513,10.811
17,7.305,2528.372,182.432,2527.021,181.081,2.703,2.703
18,116.873,1339.693,205.236,1332.429,199.999,18.919,13.513
19,14.609,1355.402,202.702,1354.051,199.999,2.703,5.405
20,87.655,2038.058,229.053,2032.427,221.621,10.811,13.513
21,7.305,2536.480,247.297,2535.129,245.945,2.703,2.703
22,14.609,2675.669,247.297,2672.966,245.945,5.405,2.703
23,7.305,1855.401,249.999,1854.049,248.648,2.703,2.703
24,7.305,1568.915,263.513,1567.564,262.161,2.703,2.703
25,175.310,1382.542,310.923,1372.969,302.702,18.919,18.919
26,21.914,2308.553,320.269,2305.400,316.215,5.405,8.108
27,51.132,2300.573,328.764,2297.291,324.324,8.108,8.108
28,21.914,1202.249,338.287,1199.997,335.134,5.405,5.405
29,7.305,2639.182,344.594,2637.831,343.242,2.703,2.703
30,7.305,1920.265,387.837,1918.914,386.486,2.703,2.703
31,109.568,1385.852,399.909,1375.672,391.891,16.216,13.513
32,14.609,2459.453,429.729,2456.751,427.026,5.405,5.405
33,109.568,2023.869,457.927,2016.211,451.350,16.216,13.513
34,51.132,1587.834,482.045,1583.780,475.674,8.108,10.811
35,14.609,2494.588,485.134,2491.886,483.783,5.405,2.703
36,7.305,266.216,506.755,264.864,505.404,2.703,2.703
37,7.305,1120.267,506.755,1118.916,505.404,2.703,2.703
38,7.305,2085.130,522.972,2083.778,521.620,2.703,2.703
39,204.528,2596.905,538.126,2589.183,529.728,16.216,16.216
40,29.218,2674.993,531.755,2670.263,529.728,8.108,5.405
41,7.305,2225.670,541.891,2224.319,540.539,2.703,2.703
42,14.609,2310.805,564.863,2308.102,562.161,5.405,5.405
43,7.305,477.026,614.863,475.674,613.512,2.703,2.703
44,168.005,1726.259,634.370,1718.915,627.025,13.513,16.216
45,7.305,1714.861,636.485,1713.509,635.134,2.703,2.703
46,7.305,2390.534,636.485,2389.183,635.134,2.703,2.703
47,51.132,2384.743,644.207,2378.372,640.539,10.811,8.108
48,102.264,2435.322,647.682,2429.724,640.539,10.811,13.513
49,7.305,555.404,655.404,554.053,654.052,2.703,2.703
50,7.305,1158.105,660.809,1156.754,659.458,2.703,2.703
51,21.914,2296.841,664.413,2294.589,662.160,5.405,5.405
52,7.305,2298.643,671.620,2297.291,670.269,2.703,2.703
53,14.609,2121.616,697.296,2118.914,694.593,5.405,5.405
