 ,Area,X,Y,BX,BY,Width,Height
1,124.178,618.997,20.906,610.809,13.513,16.216,13.513
2,43.827,1178.826,28.378,1175.673,24.324,8.108,8.108
3,36.523,581.350,36.486,578.377,32.432,8.108,8.108
4,29.218,172.973,48.649,167.567,45.946,10.811,5.405
5,168.005,1432.605,55.758,1421.618,48.649,21.622,13.513
6,73.046,2198.103,62.162,2191.886,56.757,10.811,10.811
7,87.655,522.296,68.694,516.215,62.162,10.811,13.513
8,51.132,2107.910,74.710,2102.697,70.270,10.811,8.108
9,73.046,928.106,83.784,918.917,78.378,18.919,10.811
10,36.523,857.565,94.324,854.052,89.189,8.108,10.811
11,58.437,2130.738,114.865,2124.319,110.811,13.513,8.108
12,299.487,900.888,132.729,891.890,121.621,18.919,21.622
13,51.132,1882.814,127.992,1878.374,124.324,10.811,8.108
14,65.741,2012.758,150.300,2008.103,145.946,10.811,10.811
15,124.178,1522.333,175.596,1513.510,170.270,18.919,10.811
16,73.046,2127.832,186.756,2121.616,181.081,10.811,10.811
17,146.091,2709.047,189.864,2702.696,183.783,13.513,13.513
18,80.350,2304.785,196.683,2297.291,191.891,13.513,10.811
19,51.132,537.257,205.212,529.728,199.999,13.513,10.811
20,29.218,994.592,205.405,991.889,202.702,5.405,5.405
21,87.655,1338.285,216.891,1332.429,208.108,10.811,13.513
22,29.218,645.269,223.648,640.539,218.918,8.108,8.108
23,1015.335,149.864,267.149,129.729,248.648,43.243,35.135
24,1833.446,2497.985,273.225,2472.967,248.648,51.351,48.649
25,43.827,31.982,258.558,27.027,254.053,10.811,8.108
26,29.218,864.187,273.648,859.457,270.270,8.108,5.405
27,29.218,768.241,293.918,764.863,291.891,8.108,5.405
28,51.132,783.975,315.636,778.376,310.810,10.811,10.811
29,160.700,554.790,325.429,545.945,318.918,18.919,13.513
30,51.132,1085.132,331.852,1081.078,327.026,8.108,8.108
31,36.523,2285.129,348.918,2281.075,343.242,8.108,10.811
32,116.873,1347.125,351.688,1337.834,345.945,16.216,10.811
33,168.005,1650.936,374.088,1643.239,364.864,16.216,16.216
34,292.183,1898.576,388.850,1889.184,375.675,18.919,24.324
35,29.218,2240.535,384.458,2235.129,381.080,10.811,5.405
36,73.046,1138.916,390.269,1132.430,386.486,13.513,8.108
37,58.437,910.471,411.148,905.403,405.404,10.811,10.811
38,131.482,306.756,420.269,297.297,413.512,16.216,13.513
39,80.350,1285.869,422.481,1278.375,418.918,16.216,8.108
40,197.223,1442.789,426.375,1432.429,418.918,18.919,16.216
41,73.046,1633.509,436.215,1627.023,432.431,13.513,8.108
42,29.218,339.864,438.512,335.134,435.134,8.108,5.405
43,36.523,959.187,455.404,954.052,451.350,10.811,8.108
44,87.655,33.784,464.188,27.027,459.458,13.513,10.811
45,657.411,785.884,498.197,770.268,483.783,32.432,27.027
46,146.091,1515.942,510.269,1508.104,502.701,16.216,13.513
47,1000.725,2388.009,522.360,2367.562,502.701,43.243,37.838
48,29.218,1186.483,515.539,1181.078,510.810,10.811,8.108
49,73.046,1907.833,517.026,1902.698,510.810,10.811,10.811
50,58.437,2157.089,522.296,2151.346,516.215,13.513,10.811
51,87.655,899.097,526.125,891.890,521.620,13.513,10.811
52,153.396,2166.854,536.356,2156.751,529.728,21.622,13.513
53,29.218,1356.078,542.566,1354.051,537.836,5.405,8.108
54,94.959,29.002,555.404,21.622,551.350,16.216,10.811
55,138.787,2548.713,561.236,2540.534,554.053,16.216,16.216
56,182.614,1815.293,564.161,1805.401,556.755,18.919,13.513
57,124.178,792.446,567.964,783.782,562.161,16.216,13.513
58,43.827,1708.554,571.170,1705.401,567.566,8.108,8.108
59,693.934,1777.108,595.432,1759.455,572.972,32.432,40.540
60,504.015,2627.588,586.505,2608.101,575.674,37.838,21.622
61,58.437,1139.186,582.769,1132.430,578.377,10.811,8.108
62,58.437,598.985,584.458,591.890,581.080,13.513,8.108
63,277.573,1267.778,594.664,1259.456,581.080,16.216,27.027
64,270.269,2076.218,593.899,2067.562,581.080,21.622,27.027
65,102.264,640.153,591.504,632.431,586.485,16.216,10.811
66,29.218,732.431,589.188,729.728,586.485,5.405,5.405
67,87.655,899.322,593.917,894.592,586.485,10.811,16.216
68,36.523,2420.805,597.026,2416.210,594.593,8.108,5.405
69,43.827,1987.833,601.800,1983.779,597.296,8.108,8.108
70,29.218,2162.832,600.674,2159.454,597.296,5.405,8.108
71,87.655,1322.970,606.755,1313.510,599.998,16.216,13.513
72,116.873,333.783,626.350,324.324,618.917,16.216,16.216
73,131.482,418.317,626.425,410.810,618.917,16.216,13.513
74,58.437,1988.508,631.079,1983.779,627.025,10.811,8.108
75,292.183,232.635,650.201,221.621,637.836,27.027,21.622
76,73.046,1134.862,644.052,1127.024,637.836,16.216,10.811
77,87.655,743.467,657.881,737.836,651.350,10.811,10.811
78,277.573,1055.616,660.454,1043.241,651.350,24.324,18.919
79,175.310,2441.435,661.597,2432.426,654.052,16.216,16.216
80,58.437,854.052,663.174,848.646,656.755,10.811,10.811
81,43.827,1427.023,674.773,1424.321,667.566,5.405,13.513
82,29.218,1017.565,675.674,1013.511,672.971,8.108,5.405
83,109.568,109.639,688.917,102.702,683.782,13.513,10.811
84,29.218,303.378,687.836,299.999,683.782,5.405,8.108
85,160.700,961.054,698.647,951.349,691.890,18.919,13.513
86,146.091,913.376,708.377,905.403,699.998,16.216,16.216
87,168.005,2141.886,718.623,2135.130,710.809,16.216,16.216
88,109.568,1388.735,721.350,1381.078,716.214,16.216,10.811
89,36.523,1422.429,721.350,1418.915,718.917,8.108,5.405
90,36.523,1981.887,724.052,1978.373,718.917,8.108,10.811
91,94.959,2352.697,726.505,2343.237,718.917,16.216,13.513
92,58.437,255.405,726.350,248.648,721.620,13.513,8.108
93,29.218,1333.105,728.377,1329.726,724.322,8.108,8.108
94,43.827,1859.455,729.277,1854.049,724.322,10.811,8.108
95,109.568,909.457,744.953,899.998,737.836,16.216,13.513
96,94.959,1660.391,745.216,1651.347,740.539,18.919,8.108
97,226.442,2228.111,754.968,2218.913,745.944,18.919,16.216
98,36.523,2519.183,749.998,2513.507,745.944,10.811,8.108
99,43.827,357.657,757.205,351.350,754.052,10.811,5.405
100,29.218,374.999,758.106,372.972,754.052,5.405,8.108
101,43.827,2141.886,759.908,2137.832,756.755,10.811,8.108
102,80.350,1186.115,765.969,1181.078,759.458,10.811,13.513
103,94.959,1255.610,763.927,1248.645,759.458,13.513,10.811
104,36.523,977.565,766.755,972.971,762.160,8.108,8.108
105,124.178,165.103,775.276,156.756,767.566,16.216,13.513
106,65.741,2242.187,776.124,2235.129,770.268,13.513,10.811
107,387.142,803.542,789.570,791.890,778.376,24.324,21.622
108,116.873,1607.935,784.964,1599.996,778.376,16.216,13.513
109,87.655,590.764,785.358,583.782,781.079,13.513,8.108
110,745.066,2572.940,798.117,2554.048,783.782,35.135,29.730
111,29.218,31.081,790.539,27.027,786.484,8.108,8.108
112,51.132,376.254,796.716,370.269,791.890,10.811,8.108
113,58.437,1887.833,805.066,1881.076,799.998,13.513,10.811
114,58.437,1222.970,809.120,1216.213,805.403,13.513,8.108
115,182.614,2251.508,815.728,2240.535,808.106,21.622,16.216
116,87.655,614.863,815.538,608.107,810.809,13.513,10.811
117,51.132,1198.646,829.148,1194.592,824.322,8.108,10.811
118,51.132,402.895,835.326,397.296,829.728,10.811,10.811
119,58.437,341.553,838.174,335.134,832.430,13.513,10.811
120,350.619,718.692,844.987,705.404,832.430,24.324,24.324
121,80.350,828.376,837.467,818.917,832.430,16.216,10.811
122,65.741,1473.720,839.487,1470.267,835.133,8.108,10.811
123,306.792,2486.866,846.973,2475.669,837.836,21.622,18.919
124,102.264,386.099,846.330,378.377,840.538,16.216,13.513
125,87.655,1012.835,855.628,1005.403,851.349,16.216,10.811
126,51.132,2599.414,866.214,2594.588,859.457,8.108,10.811
127,109.568,205.135,870.719,191.891,862.160,21.622,16.216
128,29.218,1437.159,868.241,1432.429,864.863,8.108,5.405
129,43.827,1043.691,874.773,1037.835,870.268,10.811,8.108
130,80.350,1503.805,889.310,1497.293,883.782,13.513,10.811
131,58.437,1961.144,897.295,1954.049,891.890,13.513,10.811
132,80.350,1399.137,903.560,1391.888,897.295,13.513,10.811
133,131.482,1925.220,920.568,1916.211,913.511,16.216,13.513
134,43.827,222.972,922.520,216.216,916.214,10.811,10.811
135,65.741,2420.865,924.172,2416.210,916.214,8.108,13.513
136,124.178,875.753,931.397,867.565,924.322,16.216,13.513
137,80.350,228.378,938.941,221.621,935.133,13.513,8.108
138,29.218,2429.724,939.187,2427.021,935.133,5.405,8.108
139,29.218,1652.699,950.673,1648.644,945.944,8.108,8.108
140,182.614,2130.968,953.673,2118.914,945.944,24.324,16.216
141,29.218,2729.723,955.403,2724.317,951.349,10.811,8.108
142,197.223,261.211,962.610,251.351,954.052,18.919,16.216
143,73.046,629.728,959.727,624.323,954.052,10.811,10.811
144,58.437,1576.685,960.808,1570.266,954.052,10.811,13.513
145,43.827,2202.697,967.115,2197.292,962.160,10.811,10.811
146,58.437,2414.859,967.903,2410.805,962.160,8.108,10.811
147,146.091,2602.831,980.673,2594.588,972.971,16.216,16.216
148,73.046,280.810,986.754,275.675,981.079,13.513,10.811
149,204.528,239.189,994.978,229.729,986.484,21.622,16.216
150,29.218,2502.696,988.511,2497.291,986.484,10.811,5.405
151,160.700,2164.122,999.260,2156.751,991.889,16.216,13.513
152,65.741,298.948,998.346,294.594,994.592,10.811,8.108
153,343.315,519.866,1007.387,502.701,994.592,29.730,29.730
154,43.827,876.574,997.745,870.268,994.592,10.811,5.405
155,36.523,582.431,1009.457,578.377,1005.403,8.108,8.108
156,124.178,1963.350,1012.160,1954.049,1005.403,18.919,13.513
157,109.568,1193.060,1019.907,1183.781,1013.511,16.216,13.513
158,94.959,803.636,1027.960,797.295,1021.619,13.513,13.513
159,43.827,1549.996,1027.024,1545.942,1021.619,8.108,10.811
160,43.827,1808.554,1028.826,1802.698,1024.322,10.811,8.108
161,94.959,1598.852,1033.365,1591.888,1027.024,13.513,13.513
162,116.873,2520.264,1040.538,2513.507,1032.430,13.513,16.216
163,204.528,1931.462,1054.631,1918.914,1048.646,24.324,13.513
164,211.832,2285.316,1066.307,2275.670,1059.457,18.919,16.216
165,1351.344,2442.543,1084.212,2418.913,1062.159,45.946,43.243
166,29.218,2225.670,1068.241,2221.616,1064.862,8.108,8.108
167,372.533,642.102,1087.994,632.431,1075.673,21.622,27.027
168,36.523,849.998,1087.835,845.944,1083.781,8.108,8.108
169,29.218,1933.779,1093.916,1929.725,1091.889,8.108,5.405
170,109.568,1695.221,1109.276,1689.185,1102.700,13.513,13.513
171,65.741,878.526,1113.661,870.268,1105.403,13.513,13.513
172,102.264,1635.710,1111.773,1629.726,1105.403,13.513,13.513
