 ,Area,X,Y,BX,BY,Width,Height
1,87.655,14.414,37.838,8.108,32.432,13.514,10.811
2,43.828,309.459,35.135,305.405,32.432,8.108,5.405
3,978.815,94.231,55.224,75.676,37.838,35.135,37.838
4,219.138,118.378,97.568,105.405,89.189,21.622,16.216
5,87.655,305.630,95.270,300.000,89.189,10.811,13.514
6,452.885,243.679,133.784,232.432,118.919,24.324,27.027
7,43.828,429.729,141.892,427.027,137.838,5.405,8.108
8,36.523,156.486,164.054,154.054,159.459,5.405,8.108
9,452.885,394.420,178.117,381.081,164.865,27.027,27.027
10,80.351,157.125,177.764,148.649,172.973,18.919,8.108
11,80.351,300.614,177.027,294.594,172.973,10.811,10.811
12,336.011,78.613,191.833,67.568,181.081,21.622,21.622
13,51.132,189.768,213.320,186.486,208.108,8.108,10.811
14,460.189,389.125,263.513,375.675,248.648,27.027,27.027
15,803.505,225.307,268.992,210.811,251.351,32.432,35.135
16,94.960,25.676,292.204,18.919,286.486,13.514,10.811
17,87.655,466.216,310.811,459.459,302.703,10.811,16.216
18,36.523,73.243,344.054,70.270,340.540,8.108,8.108
19,43.828,177.027,363.063,172.973,359.459,8.108,8.108
20,65.741,391.141,390.841,386.486,386.486,8.108,10.811
21,58.437,418.919,398.311,413.513,394.594,10.811,8.108
22,43.828,198.649,409.009,194.594,402.702,8.108,10.811
23,43.828,498.198,425.675,494.594,421.621,8.108,8.108
24,36.523,491.081,476.486,489.189,470.270,5.405,10.811
25,131.483,100.150,490.540,89.189,483.783,18.919,16.216
26,73.046,92.432,499.729,86.486,491.892,13.514,13.514
27,36.523,145.676,501.892,140.540,497.297,8.108,8.108
28,175.310,151.126,511.036,140.540,502.702,18.919,16.216
29,80.351,30.344,536.240,24.324,529.729,10.811,10.811
30,248.356,356.995,564.149,345.946,551.351,21.622,24.324
31,36.523,398.108,644.594,394.594,640.540,8.108,8.108
32,482.103,97.133,658.722,83.784,645.946,27.027,24.324
33,160.701,144.963,656.511,135.135,648.648,18.919,16.216
34,36.523,307.297,692.702,302.703,689.189,8.108,8.108
35,102.264,260.038,702.509,254.054,694.594,10.811,16.216
36,65.741,150.901,724.474,145.946,718.918,10.811,10.811
37,87.655,211.712,745.945,205.405,737.837,13.514,16.216
38,883.856,178.747,822.972,162.162,802.702,32.432,37.838
39,423.666,508.434,815.004,497.297,802.702,21.622,24.324
40,1745.798,266.307,830.606,243.243,805.405,45.946,51.351
41,43.828,106.306,812.162,102.703,808.108,8.108,8.108
42,146.092,331.216,838.378,324.324,829.729,16.216,16.216
43,36.523,121.892,846.756,118.919,840.540,5.405,10.811
