 ,Area,X,Y,BX,BY,Width,Height
1,21.815,1131.230,6.742,1127.185,5.393,8.090,2.697
2,21.815,1125.836,230.560,1121.791,229.212,8.090,2.697
3,239.967,2049.141,244.942,2041.337,234.605,16.180,21.573
4,36.359,1971.494,261.841,1965.832,258.875,10.786,5.393
5,159.978,2438.597,388.680,2429.649,382.919,18.876,13.483
6,196.337,1298.220,418.724,1288.981,409.885,21.573,16.180
7,50.902,2514.592,452.068,2510.548,447.638,8.090,8.090
8,29.087,402.470,458.424,399.099,453.031,8.090,10.786
9,559.923,767.572,492.552,752.355,479.997,29.663,26.966
10,1803.388,1417.223,515.532,1394.149,488.087,48.539,53.932
11,87.261,1649.654,553.480,1642.238,547.413,13.483,13.483
12,116.348,2214.089,608.761,2208.527,601.345,10.786,16.180
13,29.087,287.189,616.850,283.144,614.828,8.090,5.393
14,152.706,287.703,632.741,280.448,625.614,13.483,16.180
15,116.348,1329.768,634.378,1321.341,628.311,16.180,13.483
16,87.261,476.851,638.648,471.907,633.704,10.786,10.786
17,123.619,672.488,717.379,660.670,709.209,21.573,13.483
18,29.087,975.500,761.793,970.781,757.749,8.090,8.090
19,58.174,995.725,797.524,992.354,792.804,8.090,10.786
20,109.076,2247.088,834.962,2240.886,825.164,13.483,18.876
21,87.261,832.355,863.141,825.164,857.523,13.483,10.786
22,58.174,840.669,879.433,833.254,873.703,13.483,10.786
23,189.065,1241.376,887.082,1232.353,879.096,18.876,16.180
24,65.446,2367.178,884.040,2362.234,879.096,10.786,10.786
25,79.989,2287.096,903.733,2281.335,897.972,13.483,10.786
26,29.087,1970.551,906.736,1965.832,903.366,8.090,5.393
27,79.989,1934.575,954.724,1928.079,949.208,13.483,13.483
28,43.630,757.299,969.882,752.355,965.388,8.090,8.090
29,5010.220,778.971,1068.910,738.872,1027.410,80.898,94.381
30,21.815,1042.241,1073.702,1038.196,1070.556,8.090,5.393
31,130.891,1504.111,1093.627,1493.924,1086.735,18.876,13.483
32,58.174,575.727,1094.488,568.986,1089.432,10.786,10.786
33,21.815,76.853,1097.971,72.809,1094.825,8.090,5.393
34,43.630,2193.695,1113.702,2189.650,1111.005,8.090,5.393
35,239.967,1326.693,1129.759,1315.948,1121.791,21.573,16.180
36,87.261,660.446,1152.578,652.581,1146.061,13.483,10.786
37,21.815,1600.440,1231.004,1596.395,1229.656,8.090,2.697
38,72.717,816.265,1260.937,808.984,1253.925,13.483,13.483
39,101.804,56.244,1269.720,48.539,1264.712,16.180,10.786
40,29.087,850.782,1266.734,846.737,1264.712,8.090,5.393
41,138.163,591.055,1278.692,582.469,1270.105,16.180,16.180
42,247.239,1689.825,1294.454,1679.990,1283.588,21.573,21.573
43,319.956,2140.744,1317.112,2127.628,1305.161,26.966,24.270
44,116.348,1046.118,1324.374,1038.196,1318.644,16.180,10.786
45,50.902,2606.277,1324.230,2602.232,1318.644,8.090,10.786
46,72.717,561.974,1330.509,555.502,1326.734,13.483,8.090
47,87.261,1524.486,1345.386,1518.194,1340.217,13.483,10.786
48,58.174,1138.982,1358.419,1132.578,1353.700,13.483,8.090
49,36.359,2275.672,1358.284,2270.549,1353.700,10.786,8.090
50,21.815,336.627,1369.430,334.380,1367.183,5.393,5.393
51,58.174,1671.901,1387.408,1666.507,1383.363,10.786,8.090
52,36.359,1648.440,1397.655,1644.934,1394.149,8.090,8.090
53,58.174,670.446,1413.363,663.367,1404.936,13.483,16.180
54,36.359,1214.825,1430.014,1210.780,1426.509,8.090,8.090
55,79.989,218.303,1456.539,213.032,1450.778,10.786,10.786
56,130.891,1031.155,1457.819,1024.713,1450.778,13.483,13.483
57,43.630,222.021,1473.250,215.729,1469.655,10.786,8.090
58,116.348,464.492,1494.767,458.424,1488.531,13.483,13.483
59,116.348,1284.262,1498.475,1278.195,1491.227,13.483,16.180
60,101.804,556.851,1505.674,550.109,1499.317,13.483,10.786
61,203.608,1421.212,1512.415,1410.329,1504.711,18.876,16.180
62,79.989,1926.731,1532.780,1919.989,1528.980,13.483,8.090
63,116.348,469.885,1568.250,461.121,1561.339,16.180,13.483
64,974.411,1711.122,1591.686,1690.777,1574.823,40.449,37.753
65,36.359,1140.398,1584.800,1135.274,1582.912,10.786,5.393
66,43.630,559.997,1596.845,555.502,1591.002,8.090,10.786
67,36.359,611.322,1607.452,606.738,1604.485,8.090,5.393
68,87.261,1033.702,1609.878,1024.713,1604.485,16.180,10.786
69,43.630,1347.408,1614.822,1342.914,1609.878,8.090,8.090
70,79.989,497.035,1641.380,490.784,1634.148,10.786,13.483
71,29.087,761.119,1661.114,757.749,1655.721,5.393,10.786
72,21.815,1940.214,1661.564,1936.169,1658.418,8.090,5.393
73,196.337,2114.595,1672.450,2106.055,1663.811,16.180,16.180
74,94.532,623.229,1675.116,617.525,1669.204,10.786,13.483
75,210.880,1119.978,1685.523,1108.308,1674.597,24.270,21.573
76,138.163,2188.160,1679.494,2176.167,1674.597,24.270,10.786
77,1781.573,944.822,1700.600,919.545,1677.294,48.539,48.539
78,29.087,2000.888,1682.013,1995.494,1677.294,10.786,8.090
79,167.250,2377.886,1701.505,2367.627,1696.170,18.876,10.786
80,36.359,1057.882,1728.799,1054.376,1723.136,5.393,10.786
81,36.359,1842.057,1736.889,1836.394,1733.923,10.786,5.393
82,181.793,144.053,1757.060,134.831,1750.102,18.876,13.483
83,43.630,342.021,1773.923,337.077,1768.979,10.786,8.090
