 ,Area,X,Y,BX,BY,Width,Height
1,1028.211,469.155,27.531,450.970,8.101,37.806,37.806
2,809.443,1548.205,39.910,1531.139,21.603,35.105,35.105
3,123.969,1315.661,46.622,1309.705,37.806,13.502,16.203
4,102.092,199.060,54.780,191.730,45.907,13.502,16.203
5,94.800,1043.090,56.190,1036.962,45.907,10.802,18.903
6,1239.687,739.995,80.917,721.013,62.110,40.506,37.806
7,116.676,1486.245,76.793,1479.831,67.511,13.502,18.903
8,72.923,379.949,87.224,375.359,81.013,10.802,10.802
9,51.046,2075.274,90.464,2071.224,86.414,8.101,8.101
10,889.658,1728.336,125.326,1709.367,108.017,37.806,37.806
11,51.046,635.949,130.585,631.899,126.920,8.101,8.101
12,43.754,2548.748,154.824,2546.498,148.523,5.401,13.502
13,568.798,277.451,165.764,264.641,151.224,27.004,29.705
14,1575.132,621.210,188.342,594.093,164.726,51.308,54.008
15,94.800,694.112,196.196,688.608,189.030,10.802,13.502
16,36.461,2558.650,193.080,2554.599,189.030,8.101,8.101
17,43.754,2158.537,234.037,2154.937,229.536,8.101,10.802
18,36.461,1661.570,237.367,1658.059,234.937,8.101,5.401
19,291.691,908.962,254.110,899.241,243.038,21.603,21.603
20,736.520,1433.082,262.409,1415.021,245.738,35.105,35.105
21,65.631,1079.119,262.391,1074.768,256.540,8.101,10.802
22,51.046,84.678,281.808,78.312,278.143,10.802,8.101
23,926.119,1522.134,320.553,1506.835,302.447,32.405,43.207
24,51.046,2170.946,312.285,2165.738,307.848,10.802,8.101
25,123.969,1578.555,335.408,1571.646,329.451,13.502,13.502
26,36.461,1440.675,347.544,1436.624,342.954,8.101,8.101
27,131.261,1615.002,362.607,1606.751,353.755,16.203,18.903
28,1050.088,151.186,398.500,132.321,369.958,37.806,51.308
29,1378.241,925.523,391.926,904.641,369.958,43.207,43.207
30,43.754,689.058,377.609,685.907,372.658,8.101,8.101
31,685.474,1323.781,392.509,1307.004,375.359,32.405,32.405
32,612.551,1771.059,407.828,1755.274,391.561,29.705,29.705
33,488.583,1946.218,415.482,1930.802,399.662,32.405,32.405
34,51.046,543.749,409.500,537.384,405.063,13.502,8.101
35,145.846,527.122,426.262,521.181,415.865,13.502,21.603
36,1618.886,274.397,448.075,251.139,423.966,45.907,48.608
37,1618.886,1657.609,449.839,1633.755,426.667,51.308,43.207
38,36.461,680.776,435.578,677.806,432.068,5.401,8.101
39,36.461,1983.460,438.819,1982.110,432.068,2.700,13.502
40,58.338,1973.671,445.570,1968.608,440.169,13.502,10.802
41,1917.869,859.499,487.827,834.430,459.072,48.608,56.709
42,58.338,118.143,491.814,113.418,486.076,10.802,10.802
43,94.800,2406.388,504.875,2400.675,499.578,10.802,10.802
44,36.461,2612.658,525.232,2608.608,521.181,8.101,8.101
45,1728.270,1856.962,549.194,1833.586,523.882,45.907,51.308
46,102.092,730.271,533.719,726.414,526.582,8.101,13.502
47,36.461,2648.304,537.114,2643.713,534.684,8.101,5.401
48,1706.393,939.251,566.823,918.143,542.785,45.907,48.608
49,51.046,2083.376,587.342,2079.325,580.591,8.101,13.502
50,153.138,2067.044,594.543,2060.422,583.291,13.502,21.603
51,58.338,826.329,602.532,820.928,596.793,10.802,13.502
52,2107.469,1378.528,689.276,1352.911,658.903,51.308,59.409
53,678.182,1853.201,675.236,1838.987,658.903,29.705,32.405
54,1429.287,758.901,705.403,737.215,683.207,43.207,45.907
55,72.923,877.367,691.848,869.536,685.907,13.502,13.502
56,51.046,2576.395,738.180,2570.802,734.515,10.802,8.101
