 ,Area,X,Y,BX,BY,Width,Height
1,51.132,272.780,11.776,267.567,8.108,10.811,8.108
2,116.873,1833.105,15.878,1827.024,10.811,13.513,10.811
3,51.132,163.513,21.815,156.757,16.216,10.811,10.811
4,36.523,1402.971,27.838,1397.295,24.324,10.811,8.108
5,87.655,1142.341,33.784,1135.134,27.027,16.216,13.513
6,65.741,1494.442,38.288,1489.187,32.432,10.811,10.811
7,36.523,195.405,42.973,189.189,37.838,10.811,8.108
8,36.523,928.918,41.892,924.323,37.838,8.108,8.108
9,116.873,1317.904,43.581,1308.106,37.838,18.919,13.513
10,270.269,1664.022,49.196,1654.052,37.838,18.919,21.622
11,197.224,554.304,54.004,543.242,45.946,21.622,16.216
12,109.569,177.207,55.405,170.270,48.649,13.513,13.513
13,65.741,1310.959,63.213,1302.701,56.757,13.513,13.513
14,43.827,759.909,64.414,754.053,59.459,10.811,8.108
15,409.057,2326.975,79.054,2313.510,64.865,27.027,27.027
16,80.350,423.955,76.290,418.918,67.567,10.811,16.216
17,116.873,136.317,81.250,129.730,75.676,13.513,10.811
18,51.132,1255.790,86.679,1251.350,81.081,8.108,10.811
19,175.310,1272.633,100.901,1264.863,91.892,16.216,16.216
20,138.787,462.802,103.627,454.053,94.594,16.216,18.919
21,51.132,2021.040,98.262,2016.213,94.594,10.811,8.108
22,51.132,2358.877,98.649,2354.051,94.594,8.108,8.108
23,65.741,270.120,102.552,262.162,97.297,13.513,10.811
24,36.523,1400.268,103.513,1394.593,97.297,10.811,10.811
25,175.310,1033.557,108.333,1021.620,102.703,21.622,10.811
26,146.092,643.513,117.567,635.134,108.108,16.216,16.216
27,109.569,1155.584,127.297,1148.647,121.621,13.513,10.811
28,138.787,711.592,137.909,705.404,129.730,13.513,16.216
29,65.741,338.588,138.889,332.432,135.135,13.513,8.108
30,73.046,73.513,157.297,67.567,151.351,10.811,10.811
31,58.437,223.986,158.446,218.919,154.054,10.811,10.811
32,36.523,526.215,158.648,521.621,154.054,8.108,8.108
33,620.889,1569.235,193.720,1554.052,178.378,32.432,29.730
34,36.523,1341.349,185.675,1337.836,181.081,8.108,8.108
35,241.051,1925.837,188.657,1916.213,181.081,18.919,16.216
36,65.741,656.305,197.147,651.350,191.892,10.811,10.811
37,51.132,863.126,203.282,856.756,200.000,13.513,8.108
38,73.046,1888.916,205.135,1881.078,200.000,13.513,10.811
39,58.437,1955.740,211.824,1951.349,208.108,8.108,8.108
40,58.437,1006.755,220.946,1002.701,216.216,8.108,10.811
41,102.264,43.243,231.274,37.838,221.621,10.811,16.216
42,51.132,1734.940,227.220,1729.727,224.324,10.811,8.108
43,43.827,466.666,231.081,462.162,227.027,10.811,8.108
44,73.046,1683.511,239.459,1675.673,235.135,13.513,8.108
45,153.396,599.806,254.762,591.891,245.946,16.216,16.216
46,109.569,348.558,258.828,340.540,254.054,16.216,10.811
47,58.437,939.188,265.540,932.431,262.162,13.513,8.108
48,58.437,989.188,268.919,983.782,264.864,10.811,8.108
49,58.437,1813.511,268.581,1808.106,264.864,10.811,8.108
50,138.787,67.639,279.018,59.459,272.973,16.216,13.513
51,138.787,1509.315,284.423,1499.998,278.378,18.919,13.513
52,131.482,1730.028,298.498,1724.322,291.891,10.811,16.216
53,51.132,677.798,316.023,672.972,313.513,10.811,5.405
54,138.787,947.438,323.542,937.836,316.216,16.216,13.513
55,65.741,1301.049,324.774,1294.593,321.621,13.513,8.108
56,51.132,488.995,331.853,483.783,327.027,10.811,8.108
57,153.396,1933.266,346.911,1924.322,337.837,16.216,18.919
58,94.960,470.997,346.257,462.162,340.540,16.216,10.811
59,65.741,948.197,350.000,943.242,345.945,10.811,8.108
60,124.178,1417.407,358.585,1408.106,351.351,16.216,13.513
61,65.741,1204.953,364.114,1197.296,359.459,13.513,10.811
62,277.574,1344.308,375.604,1329.728,364.864,27.027,21.622
63,94.960,163.929,394.282,156.757,386.486,13.513,16.216
64,80.350,1758.351,397.665,1751.349,391.891,13.513,10.811
65,36.523,2439.726,412.702,2435.132,408.108,8.108,8.108
66,109.569,581.531,418.828,575.675,413.513,13.513,10.811
67,36.523,1666.754,421.891,1662.160,416.216,8.108,10.811
68,116.873,119.594,438.851,110.811,432.432,16.216,10.811
69,628.194,33.972,449.277,13.513,435.135,35.135,35.135
70,58.437,2221.618,439.189,2216.213,435.135,10.811,8.108
71,58.437,1885.470,442.567,1878.376,437.837,13.513,10.811
72,65.741,1631.079,445.495,1627.025,440.540,8.108,10.811
73,109.569,630.179,448.918,621.621,443.243,16.216,10.811
74,43.827,1443.692,448.198,1440.538,443.243,8.108,10.811
75,65.741,786.936,455.104,781.080,448.648,10.811,10.811
76,65.741,1338.587,462.912,1332.431,456.756,10.811,10.811
77,94.960,1533.989,465.800,1524.322,456.756,16.216,16.216
78,102.264,1724.129,463.127,1716.214,456.756,16.216,10.811
79,160.701,1430.096,477.272,1421.620,470.270,16.216,13.513
80,102.264,360.810,480.308,354.054,472.972,13.513,13.513
