 ,Area,X,Y,BX,BY,Width,Height
1,51.017,1751.887,21.404,1746.681,16.198,10.799,10.799
2,80.170,1200.736,23.193,1195.950,18.898,10.799,10.799
3,43.729,1266.141,24.297,1263.441,18.898,5.399,10.799
4,131.187,1771.577,26.547,1762.879,18.898,16.198,16.198
5,65.594,2553.729,26.247,2548.480,18.898,10.799,13.498
6,65.594,262.317,26.547,256.468,21.597,13.498,10.799
7,65.594,309.111,28.946,305.062,21.597,8.099,13.498
8,51.017,351.534,25.647,348.256,21.597,8.099,8.099
9,1129.666,792.856,40.173,766.704,24.297,51.294,35.096
10,327.968,866.021,41.785,853.093,32.396,29.696,18.898
11,65.594,1636.744,40.645,1630.595,35.096,13.498,10.799
12,2703.911,2470.070,106.542,2418.896,35.096,110.686,137.683
13,575.765,275.177,52.233,251.068,40.495,43.195,24.297
14,58.305,1822.946,45.557,1816.872,40.495,10.799,10.799
15,182.204,2554.581,51.240,2545.780,43.195,16.198,16.198
16,787.122,1382.176,61.517,1347.131,45.894,67.492,35.096
17,160.340,1612.679,60.988,1606.298,51.294,13.498,18.898
18,174.916,2082.451,58.605,2073.340,51.294,16.198,16.198
19,72.882,2470.460,57.233,2464.790,51.294,13.498,16.198
20,1078.649,1094.603,83.124,1077.165,56.693,35.096,53.993
21,145.763,1267.761,65.062,1260.742,56.693,16.198,16.198
22,51.017,1324.569,63.056,1320.134,56.693,8.099,10.799
23,247.798,1950.108,68.841,1932.957,59.393,32.396,18.898
24,619.494,2618.465,78.084,2599.773,59.393,37.795,37.795
25,94.746,1196.884,69.049,1190.550,62.092,16.198,13.498
26,561.189,1284.670,82.234,1268.841,67.492,29.696,26.997
27,262.374,2453.992,76.790,2445.893,67.492,18.898,24.297
28,1115.090,1219.020,97.461,1185.151,78.290,62.092,43.195
29,65.594,761.754,87.739,755.905,83.689,13.498,8.099
30,408.137,1050.409,104.082,1036.670,91.788,26.997,24.297
31,269.662,935.724,103.207,923.284,94.488,24.297,16.198
32,327.968,446.014,107.776,434.645,97.188,26.997,21.597
33,196.781,1416.072,103.437,1406.523,97.188,24.297,13.498
34,233.221,2609.644,105.962,2597.074,97.188,21.597,18.898
35,204.069,260.903,107.794,251.068,99.887,21.597,16.198
36,36.441,1800.404,103.397,1797.974,99.887,5.399,8.099
37,393.561,476.590,120.785,464.342,102.587,21.597,35.096
38,102.034,498.087,112.036,488.639,107.986,18.898,10.799
39,240.510,519.930,122.589,507.536,113.386,24.297,18.898
40,954.750,2315.454,134.952,2294.712,116.085,43.195,35.096
41,225.933,295.700,131.979,288.864,118.785,16.198,21.597
42,43.729,204.724,131.383,199.775,126.884,8.099,8.099
43,189.492,1085.367,141.732,1074.465,129.584,18.898,21.597
44,612.206,1044.094,151.824,1025.871,132.283,35.096,35.096
45,36.441,2168.638,134.713,2165.128,132.283,8.099,5.399
46,240.510,495.224,144.268,483.239,134.983,24.297,18.898
47,255.086,529.172,150.217,518.335,137.683,21.597,24.297
48,51.017,2601.509,140.961,2594.374,137.683,13.498,5.399
49,204.069,1342.214,156.195,1333.632,145.782,16.198,18.898
50,1858.483,1872.289,195.842,1841.169,151.181,64.792,91.788
51,1231.700,91.477,172.946,53.993,156.580,78.290,35.096
52,43.729,48.144,168.279,43.195,164.679,8.099,8.099
53,459.155,31.218,179.956,18.898,167.379,26.997,29.696
54,72.882,2002.608,176.558,1995.049,170.079,13.498,10.799
55,247.798,2218.327,178.813,2208.323,170.079,21.597,16.198
56,160.340,2397.790,183.822,2386.500,175.478,24.297,13.498
57,72.882,2646.747,180.607,2640.268,175.478,10.799,10.799
58,116.611,1050.168,187.626,1042.069,178.178,13.498,16.198
59,677.800,576.842,199.470,564.229,180.877,26.997,32.396
60,160.340,1757.479,194.253,1749.380,186.277,16.198,16.198
61,72.882,1656.782,193.026,1652.192,188.976,10.799,8.099
