 ,Area,X,Y,BX,BY,Width,Height
1,43.828,277.477,26.577,272.973,21.622,8.108,10.811
2,43.828,1139.640,26.126,1135.135,21.622,8.108,10.811
3,102.264,1550.000,51.351,1543.243,45.946,13.514,10.811
4,51.132,451.544,53.861,445.946,48.649,10.811,10.811
5,211.833,1761.556,61.836,1751.351,48.649,18.919,24.324
6,58.437,241.554,55.068,237.838,51.351,8.108,8.108
7,58.437,2062.162,58.108,2056.757,54.054,10.811,8.108
8,1614.317,1277.785,120.784,1243.243,75.676,67.568,86.486
9,109.569,182.613,85.135,175.676,78.378,13.514,13.514
10,43.828,1766.667,83.784,1762.162,78.378,10.811,10.811
11,197.224,317.167,90.440,310.811,81.081,13.514,18.919
12,43.828,554.054,87.838,548.649,83.784,10.811,8.108
13,80.351,1043.612,88.575,1037.838,83.784,13.514,10.811
14,189.920,1765.489,100.728,1754.054,91.892,24.324,16.216
15,854.638,1361.065,132.444,1348.649,102.703,24.324,59.459
16,606.282,77.255,126.132,64.865,105.405,29.730,35.135
17,138.787,921.550,119.275,913.514,110.811,13.514,16.216
18,153.397,2324.775,116.409,2316.216,110.811,18.919,10.811
19,1234.478,1040.341,145.346,1018.919,113.514,37.838,67.568
20,686.633,1915.842,131.656,1894.595,116.216,37.838,32.432
21,204.529,108.012,131.660,100.000,121.622,16.216,18.919
22,409.058,1796.284,133.784,1783.784,121.622,24.324,27.027
23,65.741,734.685,140.991,729.730,135.135,10.811,10.811
24,109.569,406.216,146.036,400.000,140.541,13.514,13.514
25,160.701,2183.047,156.265,2175.676,145.946,13.514,21.622
26,292.184,242.162,184.122,232.432,172.973,21.622,21.622
27,357.925,355.571,197.159,343.243,183.784,21.622,24.324
28,65.741,2034.384,193.844,2029.730,186.486,8.108,16.216
29,650.110,586.107,204.297,562.162,191.892,51.351,24.324
30,489.408,995.664,208.007,983.784,194.595,27.027,29.730
31,584.368,1183.108,226.284,1170.270,208.108,24.324,37.838
32,73.046,621.622,218.649,616.216,213.514,10.811,10.811
33,58.437,1330.405,218.243,1327.027,213.514,8.108,10.811
34,241.052,76.945,231.736,67.568,221.622,18.919,18.919
35,94.960,18.815,244.802,13.514,237.838,10.811,13.514
36,36.523,859.730,246.757,856.757,243.243,8.108,8.108
37,65.741,1740.090,250.000,1735.135,245.946,10.811,8.108
38,58.437,400.338,257.095,394.595,251.351,10.811,10.811
39,321.402,2036.057,263.575,2027.027,251.351,18.919,24.324
40,730.460,213.081,279.216,197.297,259.459,29.730,40.541
41,51.132,414.479,270.849,410.811,267.568,8.108,8.108
42,1249.087,814.928,295.835,778.378,272.973,78.378,43.243
43,153.397,1252.059,287.323,1243.243,281.081,18.919,13.514
44,36.523,1091.622,291.081,1089.189,286.486,5.405,8.108
45,664.719,634.021,323.953,618.919,310.811,32.432,29.730
46,182.615,25.027,335.514,16.216,327.027,18.919,16.216
47,65.741,178.228,338.288,172.973,332.432,10.811,10.811
48,58.437,1408.446,340.541,1402.703,335.135,10.811,10.811
49,124.178,42.687,347.297,37.838,337.838,10.811,16.216
50,474.799,715.738,370.249,702.703,356.757,29.730,27.027
51,43.828,1223.423,360.360,1218.919,356.757,10.811,8.108
52,102.264,1800.772,388.224,1791.892,383.784,21.622,8.108
53,168.006,1115.570,396.533,1108.108,389.189,16.216,13.514
54,270.270,1395.581,408.291,1381.081,397.297,32.432,21.622
55,226.443,660.026,414.865,651.351,405.405,16.216,18.919
56,1132.213,361.927,442.642,329.730,416.216,62.162,48.649
57,204.529,325.097,432.722,313.514,421.622,21.622,21.622
58,262.966,892.868,434.459,883.784,424.324,16.216,21.622
59,219.138,1261.261,433.423,1251.351,424.324,21.622,18.919
60,197.224,2138.088,437.888,2129.730,429.730,16.216,16.216
61,299.489,80.389,453.032,70.270,443.243,18.919,18.919
62,416.362,1328.284,457.112,1318.919,443.243,18.919,29.730
63,94.960,817.568,451.663,810.811,445.946,13.514,10.811
64,36.523,447.297,482.432,443.243,478.378,8.108,8.108
65,321.402,804.668,494.533,797.297,481.081,16.216,27.027
66,211.833,258.760,493.336,248.649,486.486,18.919,13.514
67,51.132,458.108,494.015,454.054,489.189,8.108,8.108
68,255.661,604.054,503.514,594.595,494.595,18.919,21.622
69,306.793,1297.876,521.429,1289.189,500.000,18.919,43.243
70,262.966,1329.354,518.393,1321.622,502.703,16.216,32.432
71,3462.381,816.211,567.374,783.784,521.622,70.270,81.081
72,1008.035,1726.479,580.768,1702.703,554.054,45.946,54.054
73,175.310,1473.311,566.779,1464.865,556.757,16.216,18.919
74,401.753,648.771,588.968,635.135,578.378,32.432,21.622
75,657.414,96.396,609.580,83.784,586.486,24.324,51.351
76,73.046,353.514,594.324,348.649,589.189,10.811,10.811
77,372.535,1558.956,605.750,1548.649,591.892,21.622,27.027
78,394.449,1438.689,610.861,1418.919,597.297,35.135,27.027
79,43.828,1771.622,605.405,1767.568,602.703,8.108,5.405
80,241.052,242.056,621.990,232.432,610.811,18.919,21.622
81,774.288,380.571,634.727,364.865,618.919,32.432,29.730
82,204.529,21.911,667.085,13.514,659.459,18.919,16.216
83,971.512,1390.012,684.526,1372.973,659.459,35.135,51.351
84,43.828,2085.586,688.288,2081.081,683.784,10.811,8.108
85,189.920,2160.187,704.886,2148.649,689.189,21.622,29.730
86,2315.559,367.026,720.842,337.838,691.892,59.459,56.757
87,102.264,2024.903,698.263,2018.919,691.892,13.514,10.811
88,73.046,2104.865,699.730,2094.595,694.595,18.919,8.108
89,737.765,1877.295,737.637,1859.459,713.514,37.838,43.243
