 ,Area,X,Y,BX,BY,Width,Height
1,102.091,369.957,14.081,364.556,8.101,10.802,10.802
2,43.753,1735.016,12.602,1728.265,8.101,10.802,8.101
3,109.383,840.819,18.993,834.428,13.502,13.502,10.802
4,87.507,391.335,24.079,380.758,18.903,18.903,10.802
5,422.949,49.539,33.802,35.105,24.304,27.004,21.603
6,94.799,242.102,38.948,234.936,32.405,13.502,13.502
7,452.118,2153.144,46.778,2141.428,32.405,21.603,29.705
8,58.338,1453.497,39.494,1447.422,35.105,10.802,8.101
9,1050.081,2720.891,62.766,2695.012,40.506,48.607,43.207
10,72.922,891.136,55.629,885.736,51.308,10.802,8.101
11,36.461,1976.432,55.899,1974.002,51.308,5.401,10.802
12,904.237,1888.286,80.729,1876.787,56.709,24.304,51.308
13,269.813,1828.435,79.881,1820.079,64.810,16.202,29.705
14,1174.049,662.348,112.671,645.399,72.911,32.405,78.312
15,36.461,1180.351,88.844,1174.680,83.713,10.802,8.101
16,284.397,1087.263,98.496,1077.465,89.114,21.603,21.603
17,138.552,1923.760,98.991,1917.293,91.814,13.502,13.502
18,36.461,1793.344,99.105,1787.674,94.514,10.802,8.101
19,51.046,2372.313,102.037,2365.562,97.215,10.802,8.101
20,422.949,2589.929,110.717,2576.194,99.915,29.705,21.603
21,182.306,2526.021,112.175,2516.785,105.316,16.202,13.502
22,131.260,1548.087,114.167,1539.236,108.017,16.202,10.802
23,43.753,1048.660,127.369,1045.060,124.219,8.101,8.101
24,43.753,2334.507,150.323,2330.457,145.822,8.101,8.101
25,196.890,1351.757,171.876,1344.806,162.025,13.502,18.903
26,860.483,2254.113,176.625,2227.841,162.025,48.607,27.004
27,328.150,2205.488,182.878,2192.736,170.126,27.004,24.304
28,51.046,1287.518,194.237,1282.696,191.729,10.802,5.401
29,576.086,1529.716,202.992,1512.231,191.729,35.105,24.304
30,58.338,1980.078,222.784,1976.703,218.733,8.101,10.802
31,5476.466,2620.877,284.595,2581.595,224.134,75.612,132.320
32,123.968,2016.812,253.918,2009.107,248.438,16.202,10.802
33,131.260,1988.704,260.440,1979.403,253.839,16.202,13.502
34,116.676,1306.662,269.197,1301.599,261.940,10.802,13.502
35,145.845,2079.588,290.294,2071.217,280.843,16.202,18.903
36,218.767,2118.204,310.097,2109.023,299.746,18.903,18.903
37,182.306,2724.879,312.654,2713.915,305.147,21.603,16.202
38,218.767,2411.559,333.141,2403.368,324.050,16.202,18.903
39,102.091,366.870,336.201,356.455,332.151,18.903,8.101
40,233.351,2450.372,348.269,2441.174,340.252,16.202,18.903
41,43.753,2511.384,346.103,2505.984,342.952,10.802,8.101
42,1837.642,264.555,398.418,237.636,367.256,56.709,70.211
43,51.046,134.056,389.438,129.620,383.459,8.101,13.502
44,138.552,2047.979,406.128,2038.812,396.961,16.202,16.202
45,153.137,2030.646,414.771,2022.610,405.062,18.903,16.202
46,58.338,1473.751,412.826,1469.025,407.762,8.101,10.802
47,422.949,557.496,443.473,542.783,426.665,24.304,32.405
48,145.845,1008.199,434.091,999.153,426.665,16.202,13.502
49,36.461,35.375,444.758,32.405,440.167,5.401,8.101
50,80.215,410.340,452.074,405.062,445.568,10.802,10.802
51,36.461,234.666,451.779,232.236,448.269,5.401,8.101
52,619.840,2554.003,461.437,2538.388,448.269,32.405,27.004
53,87.507,1304.975,456.145,1298.899,450.969,10.802,10.802
54,1998.072,539.915,489.337,513.079,459.070,54.008,56.709
55,51.046,2004.671,465.821,1998.306,459.070,10.802,10.802
56,43.753,2290.401,465.371,2284.550,461.771,10.802,8.101
57,131.260,1235.139,480.974,1228.688,475.273,13.502,13.502
58,36.461,1252.182,488.505,1247.591,486.074,8.101,5.401
59,36.461,1595.134,489.045,1590.543,486.074,8.101,5.401
60,218.767,1635.370,497.956,1628.349,488.775,13.502,18.903
61,408.365,2339.571,516.165,2327.756,502.277,21.603,29.705
62,444.826,271.569,524.345,261.940,510.378,18.903,27.004
63,1006.328,357.237,568.496,315.948,548.184,89.114,35.105
64,597.963,181.125,573.344,162.025,550.884,35.105,40.506
65,576.086,2063.475,576.094,2044.213,553.585,35.105,37.806
66,415.657,895.329,571.753,880.335,558.986,29.705,21.603
67,87.507,399.886,575.863,394.260,567.087,10.802,16.202
68,102.091,758.816,586.183,753.415,580.589,13.502,10.802
69,1261.556,358.835,614.531,337.552,588.690,40.506,48.607
70,43.753,617.945,608.493,612.994,604.893,10.802,8.101
71,167.721,629.138,617.984,621.095,607.593,13.502,21.603
72,72.922,612.724,621.905,607.593,615.694,10.802,10.802
73,670.885,47.110,637.738,32.405,623.795,29.705,29.705
74,627.132,1378.624,639.747,1361.008,626.496,35.105,29.705
75,627.132,162.213,645.807,145.822,631.897,32.405,32.405
76,109.383,236.106,640.448,232.236,631.897,8.101,18.903
77,43.753,2448.375,645.399,2443.874,639.998,10.802,10.802
78,51.046,404.869,652.150,399.661,648.099,10.802,10.802
79,58.338,2701.088,655.188,2695.012,650.800,10.802,8.101
80,43.753,2326.406,660.701,2322.355,656.200,8.101,8.101
81,182.306,413.433,668.568,402.362,658.901,21.603,24.304
82,175.014,2025.873,677.804,2017.209,669.702,16.202,18.903
83,196.890,255.589,703.458,248.438,685.905,13.502,32.405
84,131.260,406.412,704.358,399.661,699.407,13.502,10.802
85,80.215,933.238,720.642,926.242,715.610,13.502,10.802
86,583.379,246.041,733.871,224.134,718.310,37.806,32.405
87,72.922,987.541,738.293,982.950,734.512,10.802,8.101
88,36.461,1298.089,739.103,1293.498,734.512,8.101,10.802
89,175.014,586.552,753.190,577.888,745.314,16.202,16.202
90,58.338,736.538,755.103,731.812,750.715,10.802,8.101
91,102.091,757.273,762.288,750.715,753.415,13.502,16.202
92,36.461,1429.329,759.086,1425.818,756.116,8.101,5.401
93,153.137,934.922,771.097,928.942,764.217,13.502,16.202
94,131.260,1657.904,787.771,1647.252,777.719,24.304,18.903
95,36.461,941.094,785.010,937.043,780.419,8.101,8.101
96,58.338,520.505,795.272,515.779,791.221,10.802,8.101
97,87.507,1387.337,801.798,1379.911,793.922,13.502,16.202
98,729.223,1640.285,809.746,1617.548,796.622,43.207,27.004
99,36.461,1137.684,806.073,1131.473,802.023,10.802,8.101
100,875.068,1790.982,830.062,1766.070,815.525,54.008,32.405
101,116.676,1024.638,830.377,1018.056,823.626,13.502,16.202
102,123.968,2076.856,831.489,2068.517,826.326,16.202,10.802
103,80.215,2701.273,831.850,2695.012,826.326,13.502,13.502
104,568.794,564.213,863.717,550.884,845.229,32.405,35.105
105,138.552,1467.248,876.568,1458.223,869.533,16.202,13.502
106,262.520,2345.384,882.585,2335.857,869.533,18.903,24.304
107,145.845,2016.264,885.466,2011.808,874.934,10.802,18.903
108,853.191,31.770,913.005,18.903,883.035,32.405,51.308
109,36.461,42.937,886.546,37.806,883.035,10.802,8.101
110,102.091,1365.638,891.522,1358.308,885.736,13.502,10.802
111,5622.311,1857.249,933.511,1795.775,888.436,105.316,89.114
112,58.338,509.365,896.875,504.977,891.136,8.101,10.802
113,838.607,1986.130,927.193,1968.601,901.938,32.405,45.907
114,1407.401,215.522,953.239,191.729,904.638,59.409,89.114
115,240.644,947.640,914.826,931.643,904.638,35.105,21.603
116,51.046,1040.624,928.364,1036.959,923.541,8.101,8.101
117,160.429,2252.267,932.379,2244.043,923.541,16.202,16.202
118,36.461,1029.128,940.014,1023.457,937.043,10.802,5.401
119,80.215,2671.077,942.321,2665.308,937.043,10.802,10.802
120,247.936,375.357,953.325,367.256,939.744,21.603,27.004
121,58.338,54.346,946.157,48.607,942.444,10.802,10.802
122,87.507,2707.164,953.696,2697.713,945.145,16.202,16.202
123,65.630,68.560,956.396,64.810,950.545,8.101,10.802
124,721.931,2664.012,972.381,2643.705,953.246,43.207,37.806
125,58.338,470.885,960.334,467.171,955.946,8.101,10.802
126,102.091,2628.852,964.433,2622.101,958.647,13.502,10.802
127,393.781,367.456,981.500,356.455,966.748,24.304,32.405
128,277.105,726.980,983.448,715.610,974.849,24.304,18.903
129,65.630,294.495,990.602,288.944,985.651,10.802,10.802
130,306.274,2727.417,1004.682,2713.915,988.351,21.603,29.705
131,153.137,408.727,1003.846,399.661,996.453,16.202,13.502
132,233.351,299.830,1013.077,288.944,999.153,18.903,27.004
133,102.091,963.469,1013.234,955.946,1004.554,13.502,18.903
134,58.338,2069.867,1069.364,2063.116,1063.963,13.502,10.802
135,36.461,2056.365,1073.954,2052.314,1069.364,8.101,8.101
136,43.753,2424.071,1072.964,2419.570,1069.364,8.101,8.101
137,160.429,587.340,1086.303,572.488,1077.465,24.304,18.903
138,481.287,2068.394,1100.377,2046.913,1088.267,40.506,21.603
139,255.228,2147.562,1108.828,2127.926,1096.368,37.806,24.304
140,102.091,2213.567,1115.849,2206.238,1104.469,13.502,21.603
141,539.625,2164.710,1122.788,2141.428,1107.169,45.907,32.405
142,43.753,971.699,1122.472,966.748,1115.271,10.802,13.502
143,116.676,962.191,1128.098,955.946,1117.971,13.502,18.903
144,196.890,1014.305,1140.124,1007.254,1131.473,16.202,16.202
145,116.676,2400.161,1142.950,2392.566,1134.174,13.502,16.202
146,342.735,2225.916,1151.382,2214.339,1136.874,24.304,29.705
147,525.041,1895.615,1157.990,1876.787,1144.975,35.105,29.705
148,94.799,2387.269,1152.973,2381.765,1144.975,13.502,18.903
149,196.890,1015.705,1168.929,1007.254,1161.178,16.202,16.202
150,1895.980,1898.256,1222.238,1857.884,1174.680,62.110,81.012
151,233.351,2093.411,1197.211,2084.719,1182.781,18.903,27.004
152,335.443,2418.514,1193.172,2406.068,1182.781,24.304,18.903
153,247.936,816.716,1204.464,807.424,1196.283,18.903,16.202
154,1327.186,622.238,1223.643,602.192,1201.684,40.506,45.907
155,153.137,504.270,1214.350,496.876,1207.085,16.202,13.502
156,845.899,409.485,1228.758,383.459,1209.785,45.907,37.806
157,153.137,1667.762,1220.265,1660.754,1212.486,13.502,13.502
158,65.630,1150.826,1219.537,1144.975,1215.186,10.802,8.101
159,218.767,35.285,1235.529,18.903,1228.688,29.705,13.502
160,36.461,2314.524,1243.000,2311.554,1239.490,5.401,8.101
161,116.676,2345.140,1260.587,2338.558,1252.992,13.502,16.202
162,145.845,547.104,1265.144,540.083,1255.692,13.502,18.903
163,525.041,1381.299,1267.394,1366.409,1255.692,29.705,24.304
164,196.890,1827.330,1268.544,1817.378,1258.393,18.903,18.903
165,167.721,2398.026,1282.520,2387.165,1274.595,21.603,16.202
166,153.137,118.625,1298.192,110.717,1288.097,16.202,16.202
167,123.968,1993.620,1323.917,1984.804,1317.802,16.202,13.502
168,109.383,974.219,1328.873,966.748,1323.203,13.502,13.502
169,116.676,1974.340,1336.029,1965.901,1325.903,16.202,16.202
170,357.319,972.176,1357.564,955.946,1342.105,29.705,24.304
171,102.091,930.099,1352.136,923.541,1344.806,13.502,13.502
172,138.552,2647.329,1355.821,2641.004,1347.506,13.502,18.903
173,65.630,1049.711,1354.557,1042.360,1350.207,13.502,8.101
174,656.301,450.969,1370.460,429.366,1358.308,40.506,29.705
175,58.338,2224.128,1364.721,2219.740,1361.008,8.101,8.101
176,36.461,2364.752,1365.599,2360.161,1361.008,8.101,8.101
177,131.260,1861.485,1369.710,1855.184,1363.709,13.502,13.502
178,240.644,2445.797,1377.825,2438.473,1363.709,13.502,27.004
179,167.721,2656.561,1376.213,2646.405,1366.409,16.202,21.603
180,809.438,2285.535,1383.354,2260.246,1369.110,48.607,27.004
181,196.890,771.968,1394.163,761.517,1385.312,18.903,16.202
182,43.753,755.666,1395.664,750.715,1390.713,10.802,10.802
183,984.451,2514.875,1403.985,2478.979,1390.713,78.312,27.004
184,488.580,195.054,1420.599,183.628,1393.413,21.603,45.907
185,532.333,2646.904,1412.409,2624.802,1396.114,40.506,32.405
186,65.630,2380.714,1405.265,2376.364,1398.814,8.101,10.802
187,160.429,1340.510,1410.720,1334.004,1401.514,13.502,18.903
188,481.287,743.923,1423.241,726.411,1409.616,35.105,32.405
189,94.799,2451.664,1415.120,2443.874,1409.616,13.502,10.802
190,138.552,1943.658,1430.295,1936.196,1420.417,13.502,18.903
191,328.150,618.005,1443.011,607.593,1428.519,21.603,27.004
192,204.182,1912.375,1439.802,1903.791,1428.519,16.202,24.304
193,80.215,2442.524,1454.909,2438.473,1447.422,10.802,13.502
194,87.507,2547.840,1462.949,2541.089,1458.223,16.202,8.101
195,51.046,1420.610,1469.218,1415.017,1466.324,10.802,8.101
196,510.456,1798.437,1484.649,1784.973,1466.324,37.806,35.105
197,109.383,2216.229,1477.756,2208.938,1471.725,13.502,10.802
198,116.676,1539.742,1495.860,1533.835,1490.628,13.502,13.502
199,51.046,135.214,1498.922,129.620,1493.329,13.502,8.101
200,58.338,1995.605,1498.392,1990.205,1493.329,10.802,10.802
201,72.922,2160.331,1510.341,2154.930,1506.831,10.802,8.101
202,51.046,972.342,1515.511,969.448,1509.531,5.401,10.802
203,36.461,2214.609,1521.143,2211.638,1514.932,8.101,10.802
204,700.054,1564.214,1536.620,1547.337,1517.632,40.506,40.506
205,51.046,389.824,1523.998,386.159,1520.333,8.101,8.101
206,153.137,2449.854,1562.575,2441.174,1555.438,16.202,13.502
207,65.630,131.270,1565.190,126.919,1558.138,8.101,13.502
208,36.461,2173.023,1576.771,2168.432,1574.341,8.101,5.401
209,58.338,1319.827,1585.480,1315.101,1579.742,8.101,10.802
210,342.735,2276.017,1596.835,2265.647,1582.442,18.903,29.705
211,36.461,1376.401,1590.813,1371.810,1587.843,8.101,5.401
212,211.475,1854.579,1597.388,1847.083,1587.843,16.202,18.903
213,240.644,1065.313,1607.360,1055.862,1593.244,16.202,27.004
214,36.461,397.771,1598.915,394.260,1595.944,8.101,5.401
215,36.461,1758.779,1598.375,1755.269,1595.944,8.101,5.401
216,350.027,1447.759,1611.809,1431.219,1598.645,27.004,27.004
217,116.676,2223.959,1608.096,2217.039,1601.345,16.202,13.502
218,911.529,760.512,1624.471,742.614,1606.746,40.506,37.806
219,211.475,1556.230,1623.833,1547.337,1614.847,16.202,18.903
220,51.046,592.355,1623.913,585.990,1620.248,10.802,8.101
221,1414.693,1154.803,1674.242,1134.174,1652.653,40.506,43.207
222,138.552,1412.103,1660.825,1406.915,1652.653,10.802,16.202
223,189.598,1633.127,1661.689,1622.948,1652.653,18.903,16.202
224,583.379,1329.312,1685.598,1315.101,1663.455,27.004,43.207
225,65.630,1936.646,1672.306,1930.796,1668.855,10.802,8.101
226,36.461,17.013,1689.649,13.502,1685.058,8.101,8.101
227,109.383,365.726,1695.770,359.155,1687.758,13.502,13.502
228,51.046,1260.514,1692.966,1255.692,1690.459,10.802,5.401
229,102.091,1069.364,1699.910,1061.262,1693.159,16.202,10.802
230,36.461,2502.473,1703.691,2497.882,1701.260,8.101,5.401
231,109.383,1993.175,1738.076,1987.504,1730.965,10.802,13.502
232,255.228,912.855,1748.440,901.938,1739.066,21.603,18.903
233,196.890,732.762,1762.120,721.010,1752.568,24.304,16.202
234,350.027,756.903,1785.817,745.314,1771.471,24.304,27.004
235,306.274,980.636,1806.319,969.448,1795.775,21.603,21.603
236,816.730,2374.194,1816.197,2354.760,1795.775,37.806,37.806
237,51.046,919.491,1807.927,915.440,1801.176,8.101,13.502
238,43.753,1253.892,1807.477,1250.291,1803.876,8.101,8.101
239,153.137,2134.805,1814.613,2125.225,1806.576,16.202,16.202
240,649.009,1499.928,1836.296,1482.527,1822.779,32.405,27.004
241,58.338,2350.035,1832.568,2341.258,1828.180,16.202,8.101
242,102.091,1381.840,1842.453,1374.510,1836.281,13.502,10.802
243,787.561,2707.489,1859.510,2670.709,1841.682,64.810,37.806
244,342.735,2362.948,1870.151,2352.060,1855.184,24.304,29.705
245,102.091,1658.632,1865.793,1652.653,1857.884,10.802,16.202
246,36.461,2506.254,1872.197,2503.283,1868.686,5.401,8.101
247,102.091,2159.559,1877.559,2152.229,1871.386,16.202,10.802
248,167.721,333.971,1886.943,324.050,1874.087,21.603,24.304
