 ,Area,X,Y,BX,BY,Width,Height
1,131.187,2660.667,19.798,2653.768,13.498,13.498,13.498
2,36.441,1054.758,51.024,1050.169,48.594,8.099,5.399
3,218.645,1932.868,93.318,1924.859,80.990,18.898,26.997
4,72.882,16.738,106.637,10.799,102.587,10.799,8.099
5,65.594,29.246,106.637,24.297,102.587,10.799,8.099
6,80.170,1481.256,109.336,1476.715,102.587,10.799,16.198
7,1989.673,746.120,133.970,720.810,107.987,51.294,53.993
8,167.628,1505.062,113.797,1492.913,107.987,24.297,10.799
9,51.017,441.780,116.278,437.345,113.386,10.799,8.099
10,123.899,1055.171,137.445,1050.169,129.584,10.799,16.198
11,357.121,1867.147,146.691,1854.668,132.283,26.997,26.997
12,313.392,175.196,153.975,167.379,140.382,16.198,26.997
13,51.017,1085.843,143.275,1079.865,140.382,10.799,5.399
14,72.882,571.519,150.371,566.929,143.082,8.099,16.198
15,306.103,1364.487,151.567,1352.531,143.082,24.297,18.898
16,65.594,1217.098,156.130,1212.148,151.181,10.799,10.799
17,2638.320,1931.959,180.766,1868.166,151.181,126.884,70.191
18,430.002,1304.921,171.703,1295.838,153.881,24.297,35.096
19,218.645,1133.048,166.479,1123.060,156.580,18.898,18.898
20,196.781,1460.367,168.129,1452.418,156.580,16.198,21.597
21,58.305,909.449,164.004,904.387,159.280,8.099,10.799
22,131.187,594.076,175.478,585.827,167.379,13.498,18.898
23,153.052,1630.146,178.885,1619.798,172.778,18.898,13.498
24,94.746,2365.424,178.905,2359.505,172.778,13.498,13.498
25,65.594,2438.545,183.127,2432.396,175.478,10.799,13.498
26,408.138,1101.944,191.049,1090.664,178.178,24.297,24.297
27,196.781,134.533,194.126,124.184,183.577,18.898,21.597
28,72.882,2387.582,191.946,2381.102,186.277,10.799,10.799
29,787.123,1195.126,204.249,1163.555,188.976,72.891,29.696
30,51.017,649.269,232.749,645.219,229.471,8.099,8.099
31,349.833,1075.647,239.595,1063.667,229.471,24.297,21.597
32,240.510,1415.155,241.374,1406.524,229.471,16.198,24.297
33,488.308,1926.733,242.909,1911.361,232.171,32.396,24.297
34,225.934,460.118,243.536,448.144,237.570,21.597,13.498
35,43.729,2104.387,250.619,2100.337,245.669,8.099,8.099
36,276.951,1553.087,258.883,1544.207,248.369,18.898,21.597
37,72.882,1399.235,264.027,1393.026,259.168,10.799,10.799
38,94.746,77.356,276.923,70.191,269.966,13.498,10.799
39,313.392,1281.178,285.756,1268.841,275.366,21.597,21.597
40,867.293,830.464,302.442,812.598,283.465,37.795,35.096
41,240.510,1014.296,309.929,1004.274,299.663,18.898,18.898
42,204.069,2581.938,321.549,2572.778,313.161,18.898,18.898
43,138.475,1097.271,326.872,1090.664,318.560,13.498,16.198
44,240.510,331.118,342.898,321.260,332.058,18.898,21.597
45,327.968,379.363,344.867,364.454,337.458,26.997,16.198
46,204.069,2086.936,349.799,2078.740,342.857,18.898,13.498
47,72.882,2433.746,351.766,2429.696,345.557,8.099,10.799
48,145.764,236.220,358.110,226.772,350.956,16.198,13.498
49,306.103,60.935,378.531,48.594,369.854,24.297,21.597
50,371.697,1711.189,393.119,1692.688,380.652,32.396,24.297
51,51.017,754.556,388.944,750.506,383.352,8.099,10.799
52,852.717,71.057,420.305,37.795,396.850,53.993,40.495
53,65.594,687.364,401.500,680.315,396.850,13.498,10.799
54,189.493,1918.733,404.742,1911.361,396.850,16.198,16.198
55,174.916,200.450,418.560,194.376,410.349,13.498,16.198
56,65.594,708.361,417.698,701.912,413.048,10.799,8.099
57,65.594,2673.716,417.398,2667.267,413.048,10.799,8.099
58,160.340,597.853,431.946,591.226,423.847,13.498,16.198
59,43.729,31.946,433.296,26.997,426.547,8.099,13.498
60,204.069,2269.452,452.290,2262.317,442.745,16.198,21.597
61,36.441,1583.892,464.612,1579.303,461.642,8.099,5.399
62,736.106,447.302,497.393,423.847,477.840,48.594,35.096
63,276.951,1356.723,494.536,1341.732,483.240,26.997,26.997
64,255.086,1625.081,488.832,1611.699,483.240,26.997,13.498
65,298.815,546.813,540.887,537.233,529.134,18.898,24.297
66,211.357,258.842,539.886,251.069,531.834,18.898,16.198
67,131.187,1145.557,538.433,1136.558,531.834,16.198,13.498
68,357.121,1843.732,550.263,1833.071,537.233,24.297,24.297
69,43.729,436.445,564.679,431.946,558.830,8.099,10.799
70,262.374,1824.522,582.152,1811.474,569.629,24.297,24.297
71,153.052,1437.313,579.463,1428.121,572.328,16.198,13.498
72,43.729,834.646,579.528,828.796,575.028,10.799,8.099
