 ,Area,X,Y,BX,BY,Width,Height
1,210.763,716.125,19.011,709.013,8.088,16.175,18.871
2,58.142,2503.114,20.556,2499.070,13.479,8.088,13.479
3,101.748,2514.475,25.226,2504.461,18.871,18.871,13.479
4,94.480,834.579,26.648,827.632,21.567,13.479,10.783
5,297.976,2510.544,46.783,2499.070,26.959,24.263,32.350
6,50.874,2158.813,47.563,2153.999,43.134,10.783,8.088
7,1264.581,280.014,80.814,261.499,48.526,37.742,70.093
8,421.527,613.635,61.866,598.483,51.221,29.655,21.567
9,610.487,1761.750,62.454,1738.835,51.221,45.830,24.263
10,87.212,23.364,71.216,16.175,64.701,13.479,13.479
11,188.960,1696.634,71.129,1687.613,64.701,18.871,13.479
12,58.142,2480.199,74.473,2474.807,70.093,10.783,8.088
13,610.487,865.438,100.261,849.198,78.180,35.046,48.526
14,130.819,1092.575,83.871,1086.435,78.180,13.479,10.783
15,109.016,1670.450,92.109,1663.351,83.572,16.175,16.175
16,36.339,2469.146,96.782,2466.719,91.660,5.392,10.783
17,130.819,1718.017,101.994,1711.876,94.355,10.783,16.175
18,36.339,245.594,107.026,242.628,102.443,5.392,8.088
19,414.259,962.638,115.804,948.946,102.443,29.655,26.959
20,87.212,1114.292,128.728,1108.002,121.314,10.783,13.479
21,123.551,2279.356,135.031,2272.617,126.706,13.479,13.479
22,58.142,492.670,135.467,487.952,132.098,10.783,8.088
23,501.472,495.629,153.215,477.169,140.185,35.046,26.959
24,864.857,1914.780,165.796,1897.891,140.185,32.350,48.526
25,152.622,341.541,155.398,334.288,148.273,13.479,16.175
26,94.480,2094.586,170.358,2089.298,161.752,10.783,16.175
27,116.283,1854.420,172.536,1843.974,167.144,18.871,13.479
28,65.409,766.076,180.773,760.235,172.536,10.783,16.175
29,145.354,1999.256,184.397,1992.247,175.231,13.479,16.175
30,58.142,345.408,182.982,342.375,177.927,8.088,10.783
31,145.354,741.094,188.980,733.276,180.623,13.479,16.175
32,50.874,2719.168,188.133,2714.739,183.319,8.088,10.783
33,58.142,455.602,193.092,447.514,186.015,13.479,10.783
34,79.945,1442.167,191.039,1436.898,186.015,10.783,10.783
35,36.339,1885.760,192.215,1881.716,186.015,8.088,10.783
36,94.480,2153.688,202.086,2148.607,196.798,10.783,10.783
37,65.409,444.369,203.239,439.427,199.494,10.783,10.783
38,79.945,752.760,211.381,749.451,204.886,8.088,13.479
39,218.031,1062.621,213.692,1054.084,204.886,18.871,18.871
40,290.708,449.940,226.992,434.035,218.365,32.350,16.175
41,283.440,2166.130,228.146,2156.694,218.365,18.871,18.871
42,377.921,1051.129,235.526,1037.909,221.061,26.959,26.959
43,58.142,2192.752,227.464,2189.045,223.757,8.088,8.088
44,138.086,39.800,250.361,29.655,239.932,16.175,21.567
45,181.693,509.896,256.916,498.736,248.020,21.567,18.871
46,43.606,1982.811,254.760,1978.767,250.716,8.088,8.088
47,210.763,1557.050,270.284,1547.428,261.499,18.871,16.175
48,508.739,549.379,278.560,536.478,264.195,29.655,32.350
49,101.748,658.370,273.438,649.704,266.891,16.175,16.175
50,421.527,2189.882,282.648,2180.957,266.891,18.871,37.742
51,116.283,2221.227,303.285,2213.308,296.545,16.175,13.479
52,43.606,252.513,309.126,248.020,304.633,8.088,8.088
53,646.826,1860.770,354.749,1846.670,326.200,29.655,53.917
54,123.551,2337.238,333.257,2329.230,326.200,16.175,13.479
55,65.409,1056.331,355.106,1051.389,350.463,10.783,10.783
56,181.693,270.396,362.810,261.499,353.159,16.175,24.263
57,72.677,2409.837,376.613,2404.714,369.334,10.783,13.479
58,196.228,811.906,386.058,806.065,374.726,13.479,21.567
59,87.212,1080.144,384.386,1072.956,377.422,13.479,10.783
60,50.874,1658.537,381.465,1655.263,377.422,8.088,8.088
61,109.016,2319.974,386.677,2313.055,380.117,13.479,13.479
62,109.016,1027.935,388.834,1021.734,382.813,13.479,13.479
63,36.339,1244.682,389.553,1240.099,385.509,8.088,8.088
64,36.339,887.749,408.963,884.245,404.380,8.088,8.088
65,79.945,815.255,413.571,811.456,407.076,8.088,13.479
66,210.763,339.726,425.901,328.896,417.860,21.567,16.175
67,87.212,2579.721,435.832,2569.162,428.643,21.567,13.479
68,65.409,314.368,438.378,310.025,434.035,10.783,8.088
69,196.228,2287.244,446.665,2278.009,436.731,16.175,18.871
70,712.235,1358.938,452.741,1342.542,439.427,37.742,29.655
71,58.142,1990.899,444.818,1986.855,439.427,10.783,10.783
72,65.409,2099.931,447.664,2094.690,442.122,10.783,10.783
73,58.142,2138.160,446.503,2135.128,442.122,8.088,10.783
74,196.228,1777.126,454.054,1768.489,447.514,18.871,16.175
75,654.093,2252.248,480.194,2240.266,450.210,21.567,56.613
76,501.472,2128.974,465.428,2105.473,452.906,40.438,24.263
77,94.480,1411.080,467.526,1407.243,460.993,10.783,13.479
78,116.283,735.130,471.608,727.884,466.385,13.479,10.783
79,116.283,2579.103,473.630,2571.858,466.385,13.479,13.479
80,36.339,1430.697,472.586,1426.114,469.081,8.088,8.088
81,101.748,1709.373,483.331,1698.397,477.169,18.871,13.479
82,152.622,2407.731,489.814,2402.018,479.865,16.175,18.871
83,72.677,1642.323,508.980,1633.696,501.431,16.175,13.479
84,247.102,1768.410,511.343,1757.706,501.431,18.871,21.567
85,159.890,1954.995,523.856,1946.417,517.607,16.175,13.479
86,203.496,1753.373,535.130,1746.923,522.998,16.175,24.263
87,130.819,2631.766,531.535,2625.776,522.998,13.479,16.175
88,254.370,113.958,592.128,102.443,579.612,24.263,21.567
89,109.016,1512.292,589.407,1506.990,582.308,10.783,13.479
90,196.228,691.989,618.003,682.055,609.266,18.871,16.175
91,79.945,2537.180,632.426,2531.420,628.137,10.783,8.088
92,50.874,605.993,641.424,601.179,638.921,10.783,5.392
93,43.606,1977.419,642.515,1973.375,638.921,8.088,8.088
94,574.149,187.977,663.371,177.927,641.617,21.567,43.134
95,36.339,1331.489,649.974,1329.063,644.312,5.392,10.783
96,79.945,787.561,652.523,781.802,647.008,10.783,10.783
97,421.527,1950.832,673.084,1930.242,660.488,40.438,26.959
98,254.370,2716.241,684.096,2706.652,668.575,21.567,29.655
99,14063.009,95.982,815.240,13.479,714.405,150.969,204.886
100,36.339,2503.114,729.232,2499.070,725.189,8.088,8.088
101,392.456,380.866,767.823,369.334,749.451,24.263,37.742
102,610.487,2271.301,767.328,2251.050,754.843,37.742,24.263
103,159.890,432.074,776.533,423.251,768.322,16.175,16.175
104,537.810,1239.189,793.168,1223.924,779.106,29.655,26.959
105,58.142,472.788,828.305,469.081,822.240,8.088,10.783
106,123.551,2511.201,843.886,2504.461,838.415,16.175,10.783
107,109.016,1932.129,853.961,1924.850,849.198,13.479,10.783
108,734.038,2015.322,881.402,1997.638,859.982,32.350,40.438
109,43.606,240.831,878.853,234.541,876.157,13.479,5.392
110,101.748,1757.513,881.934,1749.618,876.157,16.175,13.479
111,276.173,219.642,896.305,207.582,886.941,24.263,18.871
112,43.606,1451.276,891.434,1447.681,886.941,8.088,8.088
113,247.102,427.374,908.111,417.860,897.724,18.871,21.567
114,58.142,1150.125,905.812,1145.744,900.420,8.088,10.783
115,450.598,1687.744,927.813,1674.134,903.116,24.263,40.438
116,159.890,2371.261,910.101,2364.276,903.116,13.479,13.479
117,36.339,1755.819,915.247,1752.314,911.203,8.088,8.088
118,159.890,1072.220,921.374,1062.172,913.899,18.871,16.175
119,36.339,1321.784,918.482,1315.584,913.899,10.783,8.088
120,65.409,194.252,922.436,188.711,916.595,10.783,13.479
121,36.339,207.851,922.796,202.190,919.291,10.783,5.392
122,43.606,1329.512,927.379,1326.367,921.987,8.088,10.783
123,36.339,1321.784,935.197,1318.280,930.075,8.088,8.088
124,595.952,1045.964,957.428,1029.822,940.858,32.350,32.350
125,218.031,937.353,957.662,927.379,946.250,18.871,21.567
126,174.425,985.115,967.255,975.904,959.729,21.567,13.479
127,79.945,1830.862,971.125,1825.103,965.121,10.783,13.479
128,50.874,946.057,978.408,940.858,973.208,10.783,10.783
129,101.748,1526.246,993.620,1520.470,986.688,10.783,13.479
130,58.142,1829.484,990.732,1825.103,986.688,8.088,8.088
131,479.669,1756.072,1014.954,1736.139,1002.863,45.830,24.263
132,58.142,1154.843,1009.603,1148.440,1005.559,10.783,8.088
133,43.606,1927.546,1013.646,1924.850,1008.255,5.392,10.783
134,261.637,1190.376,1020.087,1178.094,1010.951,21.567,18.871
135,58.142,832.349,1022.071,827.632,1016.342,8.088,10.783
136,116.283,1877.335,1031.001,1868.237,1024.430,16.175,13.479
137,50.874,2717.243,1028.474,2712.043,1024.430,8.088,10.783
138,79.945,1641.416,1032.640,1636.392,1027.126,10.783,10.783
139,254.370,365.983,1038.641,355.855,1029.822,21.567,16.175
140,210.763,1445.404,1044.835,1436.898,1032.517,16.175,24.263
141,94.480,718.656,1057.921,714.405,1051.389,10.783,13.479
142,305.244,2386.678,1065.959,2372.364,1054.084,26.959,24.263
143,72.677,738.398,1068.642,733.276,1062.172,10.783,13.479
144,87.212,2521.086,1072.282,2515.245,1064.868,10.783,16.175
145,283.440,478.102,1083.635,466.385,1070.260,21.567,24.263
146,450.598,1388.546,1081.521,1372.197,1072.956,35.046,21.567
147,414.259,1908.225,1089.864,1895.195,1075.651,24.263,29.655
148,261.637,1128.221,1096.844,1118.785,1089.131,18.871,16.175
149,72.677,1841.548,1097.218,1835.886,1091.827,10.783,10.783
150,196.228,1923.003,1117.537,1914.066,1108.002,16.175,18.871
151,58.142,2010.444,1118.111,2003.030,1113.394,13.479,8.088
152,50.874,1346.201,1124.370,1342.542,1118.785,8.088,10.783
153,138.086,1767.567,1128.221,1763.098,1118.785,10.783,21.567
154,123.551,724.792,1134.723,717.101,1124.177,13.479,18.871
155,94.480,1635.044,1128.221,1628.304,1124.177,13.479,8.088
156,43.606,1328.614,1133.163,1323.671,1129.569,10.783,8.088
157,239.834,1780.294,1145.458,1765.794,1129.569,29.655,24.263
158,94.480,824.625,1138.590,819.544,1132.265,13.479,10.783
159,1395.399,445.633,1160.824,423.251,1137.656,45.830,45.830
160,58.142,1989.214,1146.418,1984.159,1143.048,10.783,8.088
161,58.142,1584.160,1150.125,1579.779,1145.744,8.088,8.088
162,625.023,1207.435,1171.982,1188.878,1148.440,35.046,45.830
