 ,Area,X,Y,BX,BY,Width,Height
1,109.940,1277.923,16.153,1269.711,10.829,16.244,10.829
2,571.687,1976.829,35.611,1960.065,10.829,37.902,40.609
3,249.197,191.739,27.312,184.094,16.244,16.244,21.658
4,307.831,1601.029,52.470,1586.461,32.487,29.780,43.316
5,109.940,12.905,52.070,5.415,46.024,16.244,10.829
6,58.635,32.149,53.807,27.073,48.731,10.829,10.829
7,102.610,175.006,62.461,167.851,56.853,13.536,10.829
8,249.197,2277.612,66.726,2265.987,56.853,21.658,18.951
9,73.293,1744.025,63.892,1738.069,59.560,10.829,10.829
10,65.964,825.267,68.735,820.303,64.975,10.829,8.122
11,36.647,1028.493,73.909,1026.056,70.389,5.415,8.122
12,696.286,1567.211,101.751,1548.560,75.804,37.902,54.145
13,285.844,1761.983,89.930,1748.898,75.804,27.073,24.365
14,190.562,1002.836,93.817,990.862,83.925,24.365,21.658
15,153.916,2484.180,107.582,2477.154,97.462,13.536,18.951
16,65.964,211.017,120.774,205.753,110.998,10.829,18.951
17,300.502,1153.859,138.170,1145.176,116.413,16.244,40.609
18,109.940,108.381,123.903,102.876,119.120,13.536,10.829
19,241.868,2706.575,127.447,2693.736,119.120,24.365,16.244
20,476.406,191.779,138.467,175.973,121.827,32.487,29.780
21,73.293,1489.270,133.198,1478.170,129.949,18.951,5.415
22,51.305,2725.643,156.828,2720.808,151.607,8.122,10.829
23,51.305,199.371,160.309,194.924,154.314,8.122,10.829
24,51.305,2509.061,171.912,2504.227,167.851,8.122,8.122
25,622.992,2232.846,182.104,2214.548,170.558,37.902,24.365
26,51.305,2703.985,174.619,2699.150,170.558,8.122,8.122
27,58.635,2515.394,187.479,2509.641,184.094,10.829,8.122
28,608.334,296.609,201.920,276.142,189.509,40.609,27.073
29,212.550,2416.147,216.442,2406.765,200.338,16.244,29.780
30,535.040,1803.729,220.606,1789.507,205.753,27.073,32.487
31,80.623,2065.279,210.552,2057.527,205.753,13.536,10.829
32,80.623,2677.369,218.182,2672.077,211.167,10.829,13.536
33,674.298,2641.444,262.988,2623.346,249.069,35.195,27.073
34,190.562,2597.003,275.829,2588.152,268.020,18.951,16.244
35,102.610,103.843,277.495,97.462,270.727,13.536,13.536
36,139.257,275.501,298.156,270.727,289.678,10.829,16.244
37,476.406,454.468,303.277,441.285,289.678,29.780,32.487
38,51.305,2277.396,295.286,2274.108,289.678,8.122,10.829
39,175.904,71.517,307.952,64.975,297.800,13.536,18.951
40,131.928,2527.690,302.162,2520.470,297.800,16.244,10.829
41,190.562,2456.433,311.545,2447.374,303.214,18.951,16.244
42,315.161,2428.832,322.260,2420.301,311.336,21.658,24.365
43,102.610,2509.641,324.873,2504.227,319.458,10.829,10.829
44,168.574,2654.716,326.226,2645.005,319.458,18.951,16.244
45,146.586,2743.414,331.776,2731.637,324.873,21.658,13.536
46,740.261,2663.942,353.755,2645.005,332.994,35.195,37.902
47,175.904,167.174,379.356,151.607,368.189,27.073,24.365
48,351.807,2068.017,381.500,2057.527,368.189,24.365,24.365
49,168.574,1469.166,381.313,1461.927,373.604,13.536,16.244
50,205.221,345.371,397.002,338.409,381.725,16.244,27.073
51,51.305,404.737,397.776,400.676,392.554,8.122,10.829
52,36.647,942.943,394.991,939.423,392.554,8.122,5.415
53,219.880,2274.830,403.023,2265.987,395.262,16.244,16.244
54,388.454,1850.318,409.947,1840.945,397.969,18.951,24.365
55,43.976,561.759,406.091,557.698,403.384,10.829,8.122
56,549.699,2440.786,413.689,2420.301,403.384,35.195,21.658
57,153.916,1698.169,419.821,1692.045,411.505,10.829,18.951
58,80.623,699.584,422.211,693.062,416.920,13.536,10.829
59,65.964,181.838,425.493,175.973,419.627,10.829,10.829
60,329.819,165.174,449.798,151.607,438.578,24.365,21.658
61,234.538,1240.861,449.576,1231.809,438.578,18.951,21.658
62,461.747,2531.106,451.491,2517.763,438.578,27.073,24.365
63,43.976,571.234,448.505,565.820,443.993,10.829,8.122
64,36.647,1218.543,449.136,1212.858,443.993,10.829,8.122
65,139.257,1853.840,464.725,1846.359,454.822,16.244,18.951
66,80.623,421.227,466.758,414.213,462.943,13.536,8.122
67,36.647,662.469,465.380,657.867,462.943,8.122,5.415
68,51.305,1838.431,473.192,1832.823,468.358,10.829,8.122
69,153.916,1329.851,495.237,1321.149,487.309,16.244,16.244
70,161.245,28.303,496.538,16.244,490.016,21.658,13.536
71,381.125,1202.758,510.060,1185.785,490.016,29.780,43.316
72,175.904,1102.085,501.861,1093.738,492.723,16.244,18.951
73,535.040,239.445,527.158,227.411,511.674,27.073,29.780
74,263.856,1415.903,531.077,1405.074,519.796,21.658,21.658
75,234.538,1657.358,530.710,1640.607,522.503,32.487,16.244
76,491.065,1179.785,542.081,1164.127,530.625,43.316,21.658
77,469.077,183.756,577.453,170.558,560.405,27.073,40.609
78,227.209,1366.954,580.622,1356.343,573.942,24.365,16.244
79,241.868,530.420,586.206,519.796,576.649,18.951,21.658
80,359.137,1321.121,588.445,1307.612,576.649,27.073,24.365
81,131.928,2016.617,585.072,2008.796,579.356,18.951,10.829
82,3422.793,742.914,634.896,709.305,598.307,64.975,73.096
83,43.976,534.686,618.160,530.625,614.551,8.122,8.122
84,36.647,2016.105,616.446,2011.503,614.551,10.829,5.415
85,579.016,2156.479,629.235,2144.159,614.551,29.780,32.487
86,146.586,2024.633,624.297,2014.210,619.965,21.658,10.829
87,102.610,2278.363,629.054,2271.401,622.673,13.536,10.829
88,51.305,1655.110,641.043,1651.436,636.209,8.122,8.122
89,73.293,2410.555,649.745,2404.057,644.331,13.536,10.829
90,696.286,1247.810,668.767,1234.516,649.745,24.365,37.902
91,542.370,2709.504,671.550,2693.736,655.160,29.780,35.195
92,285.844,2478.577,670.675,2469.032,657.867,21.658,24.365
93,51.305,2685.420,678.945,2677.492,674.111,13.536,8.122
94,51.305,2684.260,688.614,2680.199,684.940,8.122,8.122
95,95.281,1230.872,692.749,1223.687,687.647,13.536,10.829
96,469.077,2708.160,703.848,2691.028,690.354,40.609,27.073
97,278.514,1153.155,709.733,1145.176,693.062,16.244,29.780
