 ,Area,X,Y,BX,BY,Width,Height
1,7.292,1248.941,4.051,1247.591,2.700,2.700,2.700
2,14.584,1263.793,4.051,1261.093,2.700,5.401,2.700
3,21.877,1257.042,9.451,1252.992,8.101,8.101,2.700
4,29.169,455.695,20.928,453.669,16.202,5.401,8.101
5,678.178,1281.927,30.445,1266.494,16.202,29.705,29.705
6,14.584,463.121,21.603,461.771,18.903,2.700,5.401
7,21.877,469.422,22.053,467.171,18.903,5.401,5.401
8,802.146,1114.706,38.248,1099.068,18.903,32.405,35.105
9,21.877,2221.990,24.754,2219.740,21.603,5.401,5.401
10,7.292,463.121,28.354,461.771,27.004,2.700,2.700
11,2063.702,2532.019,62.868,2508.684,35.105,45.907,56.709
12,109.383,1390.623,54.098,1385.312,45.907,13.502,16.202
13,911.529,689.178,67.500,672.403,48.607,35.105,37.806
14,14.584,1404.215,49.958,1401.514,48.607,5.401,2.700
15,36.461,1403.405,57.519,1398.814,54.008,8.101,8.101
16,160.429,1966.024,79.908,1960.500,70.211,13.502,18.903
17,7.292,584.639,74.261,583.289,72.911,2.700,2.700
18,824.022,1289.017,91.754,1271.895,75.612,32.405,32.405
19,685.470,946.552,140.508,928.942,124.219,35.105,29.705
20,116.676,1955.774,135.358,1946.998,126.919,16.202,13.502
21,131.260,706.158,150.023,699.407,140.421,13.502,18.903
22,7.292,1543.286,144.472,1541.936,143.122,2.700,2.700
23,430.242,1951.140,158.752,1938.897,143.122,24.304,29.705
24,1217.803,913.637,191.818,893.837,172.826,40.506,40.506
25,991.744,2592.615,192.782,2573.494,172.826,37.806,37.806
26,824.022,869.426,193.271,853.331,175.527,32.405,35.105
27,145.845,2242.558,183.763,2235.942,175.527,13.502,18.903
28,1888.688,484.338,214.579,461.771,189.029,45.907,51.308
29,7.292,9.451,195.780,8.101,194.430,2.700,2.700
30,1516.784,2023.882,224.160,2001.006,202.531,45.907,45.907
31,306.274,1431.926,227.735,1423.118,216.033,18.903,21.603
32,721.931,2183.039,237.759,2168.432,221.434,29.705,32.405
33,780.269,132.863,239.744,116.118,224.134,32.405,32.405
34,7.292,779.069,233.586,777.719,232.236,2.700,2.700
35,51.046,784.084,239.372,777.719,234.936,13.502,8.101
36,87.507,1662.554,242.362,1658.054,234.936,8.101,13.502
37,7.292,730.462,241.687,729.112,240.337,2.700,2.700
38,7.292,1748.518,241.687,1747.167,240.337,2.700,2.700
39,7.292,725.061,244.387,723.711,243.037,2.700,2.700
40,649.009,2152.700,258.982,2138.727,243.037,27.004,32.405
41,14.584,1749.868,247.088,1747.167,245.738,5.401,2.700
42,51.046,2183.670,288.366,2179.234,283.543,8.101,10.802
43,867.776,1331.043,307.563,1315.101,288.944,32.405,37.806
44,386.488,1068.319,306.752,1055.862,294.345,24.304,24.304
45,109.383,658.091,304.877,650.800,297.045,13.502,16.202
46,87.507,131.195,320.224,124.219,313.248,13.502,13.502
47,685.470,1952.083,333.041,1938.897,315.948,27.004,32.405
48,123.968,753.495,342.555,745.314,334.851,16.202,16.202
49,116.676,65.654,354.260,56.709,345.653,18.903,16.202
50,408.365,443.061,403.567,429.366,388.860,27.004,29.705
51,218.767,2259.076,397.501,2252.145,388.860,13.502,18.903
52,14.584,1374.510,409.113,1371.810,407.762,5.401,2.700
53,845.899,2401.180,435.488,2384.465,418.564,35.105,35.105
54,7.292,1235.439,433.416,1234.089,432.066,2.700,2.700
55,7.292,1243.540,438.817,1242.190,437.467,2.700,2.700
56,7.292,595.441,460.420,594.091,459.070,2.700,2.700
57,21.877,596.341,468.522,594.091,464.471,5.401,8.101
58,2224.131,542.726,501.883,515.779,472.572,51.308,56.709
59,14.584,2395.267,488.775,2392.566,486.074,5.401,5.401
60,65.630,272.592,494.026,267.341,488.775,10.802,10.802
61,21.877,1308.350,501.827,1304.300,499.576,8.101,5.401
62,14.584,1620.248,533.332,1617.548,531.981,5.401,2.700
63,7.292,1667.505,536.032,1666.155,534.682,2.700,2.700
64,7.292,2534.338,536.032,2532.988,534.682,2.700,2.700
65,809.438,992.110,557.830,977.550,537.382,29.705,37.806
66,21.877,198.480,541.433,194.430,540.083,8.101,2.700
67,29.169,393.585,544.808,391.560,540.083,5.401,8.101
68,7.292,2534.338,541.433,2532.988,540.083,2.700,2.700
69,21.877,2082.469,545.934,2079.318,542.783,5.401,5.401
70,444.826,193.788,557.193,180.928,545.483,27.004,24.304
71,1195.926,833.983,574.348,802.023,548.184,54.008,48.607
72,473.995,1255.713,561.790,1242.190,548.184,27.004,27.004
73,7.292,2080.668,552.235,2079.318,550.884,2.700,2.700
74,1494.908,2502.433,575.906,2481.680,553.585,43.207,45.907
75,240.644,149.873,575.393,143.122,558.986,13.502,32.405
76,7.292,157.974,563.036,156.624,561.686,2.700,2.700
77,7.292,1240.840,579.239,1239.490,577.888,2.700,2.700
78,612.547,1449.125,592.323,1433.919,577.888,29.705,29.705
79,14.584,170.126,592.741,167.426,591.391,5.401,2.700
80,167.721,739.972,602.486,734.512,591.391,13.502,21.603
81,7.292,168.776,598.142,167.426,596.791,2.700,2.700
82,14.584,434.767,599.492,432.066,596.791,5.401,5.401
83,14.584,742.614,618.395,739.913,615.694,5.401,5.401
84,138.552,1365.912,626.567,1358.308,618.395,16.202,16.202
85,7.292,2666.658,627.846,2665.308,626.496,2.700,2.700
86,1188.634,2576.136,654.701,2557.291,634.597,37.806,40.506
87,14.584,2665.308,637.298,2662.608,634.597,5.401,5.401
88,2472.067,2433.092,666.568,2400.667,637.298,64.810,59.409
89,123.968,1016.864,655.327,1009.955,648.099,13.502,13.502
90,503.164,2285.000,695.082,2273.748,677.804,21.603,35.105
91,1327.186,549.564,705.149,531.981,680.504,35.105,51.308
92,831.314,1267.323,698.081,1252.992,680.504,29.705,35.105
93,43.753,749.365,687.705,745.314,683.205,8.101,8.101
94,7.292,978.900,689.956,977.550,688.605,2.700,2.700
95,1356.355,971.234,712.154,947.845,691.306,45.907,40.506
96,94.799,2682.653,709.066,2676.110,702.107,10.802,13.502
97,2617.911,870.635,744.829,845.229,712.909,51.308,64.810
98,7.292,1635.100,716.960,1633.750,715.610,2.700,2.700
99,707.346,1650.440,732.800,1633.750,715.610,32.405,32.405
100,51.046,721.203,723.518,715.610,718.310,10.802,10.802
101,14.584,2055.015,726.411,2052.314,723.711,5.401,5.401
102,36.461,2505.713,727.761,2500.583,723.711,10.802,8.101
103,7.292,2507.334,735.863,2505.984,734.512,2.700,2.700
104,7.292,2512.735,738.563,2511.384,737.213,2.700,2.700
105,14.584,2169.782,742.614,2168.432,739.913,2.700,5.401
106,7.292,1945.648,743.964,1944.298,742.614,2.700,2.700
107,2501.236,2485.990,801.562,2460.077,769.618,51.308,64.810
108,7.292,174.177,773.668,172.826,772.318,2.700,2.700
109,7.292,174.177,779.069,172.826,777.719,2.700,2.700
110,1998.072,368.587,815.249,345.653,785.820,45.907,56.709
111,240.644,877.430,804.437,869.533,796.622,18.903,18.903
112,14.584,2273.748,807.424,2271.048,804.723,5.401,5.401
113,7.292,881.685,814.175,880.335,812.824,2.700,2.700
114,21.877,1543.286,815.075,1539.236,812.824,8.101,5.401
115,102.091,2275.870,820.540,2268.347,812.824,13.502,13.502
