 ,Area,X,Y,BX,BY,Width,Height
1,6.895,479.210,3.939,477.897,2.626,2.626,2.626
2,6.895,896.713,9.190,895.400,7.877,2.626,2.626
3,13.790,1331.284,9.190,1328.658,7.877,5.252,2.626
4,6.895,431.945,11.816,430.632,10.503,2.626,2.626
5,6.895,1298.461,14.442,1297.148,13.129,2.626,2.626
6,34.474,547.481,21.269,543.542,18.381,7.877,5.252
7,55.159,424.396,29.540,420.129,26.258,10.503,7.877
8,6.895,1314.216,27.571,1312.903,26.258,2.626,2.626
9,206.846,1189.928,41.138,1181.613,31.510,18.381,18.381
10,20.685,1806.992,34.573,1803.929,31.510,5.252,5.252
11,96.528,1774.482,41.263,1769.794,34.135,10.503,13.129
12,6.895,1088.397,40.700,1087.084,39.387,2.626,2.626
13,6.895,1752.726,40.700,1751.413,39.387,2.626,2.626
14,6.895,1757.977,40.700,1756.664,39.387,2.626,2.626
15,6.895,1088.397,45.952,1087.084,44.639,2.626,2.626
16,6.895,1093.648,45.952,1092.335,44.639,2.626,2.626
17,20.685,1751.851,46.827,1748.787,44.639,5.252,5.252
18,55.159,702.075,53.173,698.465,47.265,7.877,10.503
19,6.895,896.713,48.577,895.400,47.265,2.626,2.626
20,151.687,1968.758,58.245,1961.477,49.890,13.129,18.381
21,6.895,1240.694,53.829,1239.381,52.516,2.626,2.626
22,20.685,1151.416,59.081,1150.103,55.142,2.626,7.877
23,6.895,941.352,59.081,940.039,57.768,2.626,2.626
24,6.895,526.474,61.706,525.161,60.394,2.626,2.626
25,68.949,1290.584,67.483,1286.645,60.394,10.503,13.129
26,27.579,139.824,66.958,136.542,63.019,5.252,7.877
27,48.264,1169.047,69.209,1163.232,65.645,10.503,7.877
28,34.474,1228.615,84.814,1226.252,81.400,5.252,7.877
29,20.685,158.861,90.590,157.548,86.652,2.626,7.877
30,13.790,597.371,89.277,596.058,86.652,2.626,5.252
31,6.895,833.694,87.965,832.381,86.652,2.626,2.626
32,6.895,1852.506,87.965,1851.194,86.652,2.626,2.626
33,6.895,836.319,93.216,835.006,91.903,2.626,2.626
34,6.895,712.906,98.468,711.594,97.155,2.626,2.626
35,55.159,983.693,103.391,979.426,97.155,10.503,13.129
36,13.790,371.552,105.032,370.239,102.406,2.626,5.252
37,27.579,559.297,111.597,556.671,107.658,5.252,7.877
38,6.895,988.616,108.971,987.303,107.658,2.626,2.626
39,6.895,1996.926,111.597,1995.613,110.284,2.626,2.626
40,6.895,1337.848,116.848,1336.535,115.535,2.626,2.626
41,6.895,1482.268,116.848,1480.955,115.535,2.626,2.626
42,6.895,1991.674,116.848,1990.361,115.535,2.626,2.626
43,6.895,108.971,122.100,107.658,120.787,2.626,2.626
44,20.685,299.780,125.601,296.716,123.413,5.252,5.252
45,6.895,1377.235,124.726,1375.923,123.413,2.626,2.626
46,6.895,1424.500,124.726,1423.187,123.413,2.626,2.626
47,20.685,338.291,140.481,336.103,136.542,5.252,7.877
48,6.895,342.668,143.106,341.355,141.794,2.626,2.626
49,6.895,237.635,156.235,236.323,154.923,2.626,2.626
50,48.264,889.961,162.612,884.897,157.548,10.503,10.503
51,6.895,2259.506,164.113,2258.194,162.800,2.626,2.626
52,75.843,1982.603,179.629,1977.232,173.303,10.503,13.129
53,6.895,623.629,177.242,622.316,175.929,2.626,2.626
54,6.895,1400.868,179.868,1399.555,178.555,2.626,2.626
