 ,Area,X,Y,BX,BY,Width,Height
1,13.805,772.413,9.195,769.785,7.882,5.255,2.627
2,6.902,476.847,14.450,475.533,13.136,2.627,2.627
3,89.732,2135.655,22.130,2128.076,15.764,13.136,10.509
4,6.902,2410.506,17.077,2409.192,15.764,2.627,2.627
5,34.512,1051.690,22.332,1048.274,18.391,7.882,7.882
6,6.902,2142.526,43.350,2141.212,42.036,2.627,2.627
7,234.684,1207.378,54.400,1198.028,44.663,18.391,21.018
8,6.902,2171.426,45.977,2170.112,44.663,2.627,2.627
9,6.902,2132.017,48.604,2130.703,47.291,2.627,2.627
10,103.537,2405.777,66.645,2396.056,57.800,15.764,15.764
11,6.902,497.865,66.995,496.551,65.681,2.627,2.627
12,62.122,492.610,75.461,486.042,68.309,13.136,13.136
13,6.902,513.628,77.504,512.315,76.190,2.627,2.627
14,2981.865,2465.271,108.982,2427.583,78.818,81.445,65.681
15,269.196,593.658,111.524,585.878,97.208,15.764,26.273
16,13.805,2331.688,133.990,2330.375,131.363,2.627,5.255
17,6.902,2405.251,156.322,2403.938,155.008,2.627,2.627
18,6.902,2410.506,156.322,2409.192,155.008,2.627,2.627
19,13.805,2409.192,161.576,2406.565,160.263,5.255,2.627
20,1511.640,2594.126,211.098,2561.573,181.281,55.172,55.172
21,13.805,564.860,199.671,562.232,197.044,5.255,5.255
22,6.902,2568.141,224.630,2566.827,223.317,2.627,2.627
23,62.122,1601.895,233.680,1594.743,231.198,13.136,5.255
24,6.902,634.482,235.139,633.168,233.826,2.627,2.627
25,55.220,627.585,244.663,622.659,239.080,7.882,10.509
26,6.902,618.718,245.648,617.405,244.335,2.627,2.627
27,34.512,2063.183,263.514,2059.767,260.098,7.882,7.882
28,303.708,400.656,279.564,391.461,267.980,18.391,21.018
29,6.902,2612.804,298.193,2611.491,296.880,2.627,2.627
30,538.392,1635.062,313.148,1621.016,299.507,28.900,28.900
31,2001.715,1000.323,328.633,974.711,302.134,49.918,55.172
32,531.490,2039.892,319.177,2028.240,302.134,23.645,34.154
33,283.001,1301.997,327.670,1292.609,315.271,18.391,23.645
34,48.317,2062.958,332.348,2057.140,328.407,10.509,7.882
35,6.902,2053.199,334.975,2051.886,333.661,2.627,2.627
36,407.245,1276.779,393.754,1261.082,373.070,31.527,39.409
37,393.441,1405.512,403.284,1395.072,388.834,23.645,34.154
38,1829.153,1334.541,418.294,1303.118,394.088,70.936,44.663
39,13.805,1236.123,412.479,1234.810,409.852,2.627,5.255
40,165.659,1220.579,422.331,1213.791,412.479,15.764,18.391
41,6.902,1377.995,421.674,1376.681,420.361,2.627,2.627
42,110.439,1383.249,429.228,1376.681,422.988,13.136,10.509
43,5390.825,596.102,491.561,564.860,438.751,70.936,112.972
44,6.902,1335.959,440.065,1334.645,438.751,2.627,2.627
45,227.781,1925.578,447.708,1912.641,441.379,23.645,15.764
46,207.074,2171.426,451.362,2164.858,441.379,15.764,21.018
47,6.902,1335.959,445.320,1334.645,444.006,2.627,2.627
48,62.122,227.549,457.872,223.317,451.888,7.882,10.509
49,358.928,1585.194,495.086,1573.725,480.788,23.645,26.273
50,3948.210,496.551,558.223,462.397,488.669,63.054,112.972
51,455.563,1948.985,504.990,1936.286,493.924,26.273,23.645
52,117.342,1849.201,514.865,1844.332,507.060,10.509,15.764
53,41.415,1014.996,515.380,1011.493,509.687,7.882,10.509
54,6.902,1020.688,511.001,1019.375,509.687,2.627,2.627
55,6.902,1580.293,511.001,1578.980,509.687,2.627,2.627
56,13.805,1584.234,516.255,1581.607,514.942,5.255,2.627
57,13.805,1556.648,528.078,1555.335,525.451,2.627,5.255
58,34.512,1571.886,530.443,1568.471,528.078,7.882,5.255
59,20.707,1584.672,533.770,1581.607,530.705,5.255,5.255
60,6.902,1590.802,534.646,1589.489,533.333,2.627,2.627
61,566.002,1966.916,553.421,1954.677,535.960,26.273,34.154
62,317.513,561.204,572.856,551.723,556.978,21.018,28.900
63,6.902,1982.263,560.919,1980.950,559.605,2.627,2.627
64,6.902,1987.518,566.173,1986.204,564.860,2.627,2.627
65,82.830,386.863,579.310,380.952,572.741,10.509,13.136
66,20.707,2220.468,586.316,2217.403,583.250,5.255,5.255
67,69.025,198.620,611.625,191.790,606.896,13.136,10.509
68,186.367,1353.863,620.567,1345.154,612.150,18.391,15.764
69,13.805,706.731,617.405,704.104,614.777,5.255,5.255
70,82.830,196.387,634.482,189.162,630.541,13.136,7.882
71,158.757,1114.470,639.508,1106.074,630.541,18.391,15.764
72,151.854,1291.893,643.319,1284.727,635.796,15.764,13.136
73,262.294,2490.015,662.206,2480.128,651.559,18.391,23.645
74,41.415,2576.023,659.003,2572.082,654.186,7.882,7.882
75,538.392,79.087,676.686,60.427,662.068,36.782,26.273
76,138.049,1927.748,679.539,1923.150,669.950,10.509,18.391
77,89.732,1942.652,677.528,1936.286,672.577,13.136,10.509
78,6.902,660.754,676.518,659.441,675.204,2.627,2.627
79,6.902,773.726,676.518,772.413,675.204,2.627,2.627
80,283.001,1704.736,687.219,1691.952,680.459,23.645,15.764
81,1718.714,1766.100,719.303,1741.870,683.086,52.545,70.936
82,1767.031,1846.221,702.606,1815.433,683.086,65.681,42.036
83,779.979,1016.968,712.695,1000.984,688.341,34.154,44.663
84,6.902,1927.091,692.281,1925.777,690.968,2.627,2.627
85,69.025,1198.291,700.951,1192.773,696.222,10.509,10.509
86,6.902,1932.346,700.163,1931.032,698.850,2.627,2.627
87,6.902,1937.600,700.163,1936.286,698.850,2.627,2.627
88,1380.493,705.326,732.623,675.204,709.359,63.054,42.036
89,117.342,1693.729,723.963,1684.070,717.240,18.391,13.136
90,6.902,1822.001,721.181,1820.687,719.868,2.627,2.627
91,69.025,159.212,747.979,155.008,740.886,10.509,13.136
92,6.902,151.067,747.454,149.753,746.140,2.627,2.627
93,6.902,694.909,750.081,693.595,748.767,2.627,2.627
94,6.902,2368.470,750.081,2367.156,748.767,2.627,2.627
95,13.805,541.214,755.336,538.587,754.022,5.255,2.627
96,6.902,1772.083,757.963,1770.769,756.649,2.627,2.627
97,662.637,111.877,774.739,97.208,759.276,31.527,31.527
98,13.805,84.072,781.608,81.445,780.295,5.255,2.627
99,48.317,2479.190,815.012,2472.246,811.822,13.136,7.882
100,6.902,739.572,839.408,738.258,838.094,2.627,2.627
101,6.902,2226.598,855.171,2225.284,853.858,2.627,2.627
102,138.049,1568.734,869.096,1563.216,861.739,13.136,15.764
103,6.902,1895.564,868.308,1894.250,866.994,2.627,2.627
104,75.927,2570.768,874.995,2566.827,869.621,10.509,10.509
105,6.902,1887.682,873.562,1886.369,872.248,2.627,2.627
106,20.707,2162.668,874.438,2159.603,872.248,5.255,5.255
107,165.659,1127.968,902.133,1119.210,893.266,15.764,18.391
108,6.902,1845.646,902.462,1844.332,901.148,2.627,2.627
109,82.830,2153.035,908.154,2149.094,901.148,7.882,13.136
110,6.902,842.035,907.716,840.721,906.403,2.627,2.627
111,6.902,198.358,912.971,197.044,911.657,2.627,2.627
112,6.902,839.408,912.971,838.094,911.657,2.627,2.627
113,269.196,1094.588,941.130,1082.429,932.675,23.645,15.764
114,6.902,2589.159,944.498,2587.845,943.184,2.627,2.627
115,6.902,2589.159,952.380,2587.845,951.066,2.627,2.627
116,545.295,2560.193,982.144,2548.437,964.202,26.273,36.782
117,131.147,2456.552,992.480,2448.601,985.220,15.764,15.764
118,34.512,147.389,1001.247,141.872,998.357,10.509,5.255
119,27.610,142.529,1007.552,139.244,1003.611,7.882,7.882
120,241.586,1652.130,1011.380,1642.034,1003.611,18.391,18.391
121,890.418,972.542,1024.212,953.693,1006.238,36.782,36.782
122,227.781,2163.623,1026.739,2154.348,1019.375,21.018,18.391
123,6.902,1054.843,1041.706,1053.529,1040.393,2.627,2.627
124,6.902,1890.309,1041.706,1888.996,1040.393,2.627,2.627
125,6.902,200.985,1046.961,199.671,1045.647,2.627,2.627
126,13.805,1685.384,1053.529,1684.070,1050.902,2.627,5.255
127,13.805,2435.465,1052.215,2432.837,1050.902,5.255,2.627
128,20.707,200.985,1054.843,197.044,1053.529,7.882,2.627
129,255.391,1822.427,1064.358,1812.805,1053.529,18.391,21.018
130,20.707,1689.762,1059.221,1686.697,1056.156,5.255,5.255
