 ,Area,X,Y,BX,BY,Width,Height
1,6.925,1727.631,6.579,1726.315,5.263,2.632,2.632
2,6.925,1390.789,9.211,1389.473,7.895,2.632,2.632
3,13.850,1394.736,14.474,1392.105,13.158,5.263,2.632
4,6.925,1388.157,19.737,1386.842,18.421,2.632,2.632
5,13.850,1265.789,27.632,1263.157,26.316,5.263,2.632
6,103.878,1776.227,35.702,1771.052,28.947,13.158,13.158
7,13.850,823.684,47.368,821.052,44.737,5.263,5.263
8,96.953,178.759,67.857,171.053,60.526,18.421,13.158
9,6.925,1653.947,61.842,1652.631,60.526,2.632,2.632
10,13.850,138.158,65.789,136.842,63.158,2.632,5.263
11,6.925,143.421,67.105,142.105,65.789,2.632,2.632
12,41.551,199.123,71.930,194.737,68.421,7.895,7.895
13,242.382,1132.970,90.414,1121.052,76.316,26.316,28.947
14,62.327,423.245,101.901,418.421,97.368,10.526,7.895
15,6.925,2253.947,98.684,2252.631,97.368,2.632,2.632
16,228.532,166.228,115.112,155.263,107.895,21.053,15.789
17,235.457,2406.965,127.786,2397.368,118.421,18.421,18.421
18,339.335,191.380,140.789,178.947,128.947,23.684,23.684
19,6.925,1175.000,130.263,1173.684,128.947,2.632,2.632
20,13.850,1353.947,131.579,1352.631,128.947,2.632,5.263
21,27.701,1691.447,132.895,1686.842,128.947,7.895,7.895
22,256.233,99.822,152.525,89.474,144.737,21.053,15.789
23,6.925,114.474,164.474,113.158,163.158,2.632,2.632
24,6.925,753.947,167.105,752.631,165.789,2.632,2.632
25,6.925,1122.368,169.737,1121.052,168.421,2.632,2.632
26,789.473,741.135,192.544,723.684,178.947,34.211,31.579
27,83.102,876.096,200.439,868.421,194.737,13.158,13.158
28,20.776,910.965,196.930,907.894,194.737,5.263,5.263
29,6.925,869.737,198.684,868.421,197.368,2.632,2.632
30,6.925,885.526,198.684,884.210,197.368,2.632,2.632
31,83.102,1705.263,202.412,1699.999,197.368,10.526,10.526
32,96.953,1338.721,212.594,1334.210,205.263,10.526,13.158
33,6.925,1106.579,211.842,1105.263,210.526,2.632,2.632
34,6.925,1788.157,217.105,1786.842,215.789,2.632,2.632
35,297.784,1428.855,228.243,1418.421,218.421,21.053,21.053
36,277.008,2479.868,232.171,2471.052,221.053,18.421,23.684
37,6.925,1227.631,225.000,1226.315,223.684,2.632,2.632
38,602.493,1122.459,246.990,1107.894,231.579,28.947,31.579
39,34.626,1267.105,236.053,1263.157,231.579,7.895,7.895
40,6.925,403.947,238.158,402.631,236.842,2.632,2.632
41,13.850,402.631,243.421,400.000,242.105,5.263,2.632
42,6.925,1798.684,246.053,1797.368,244.737,2.632,2.632
43,13.850,592.105,250.000,589.473,247.368,5.263,5.263
44,96.953,1665.789,254.323,1660.526,247.368,13.158,13.158
45,408.587,2006.801,261.396,1997.368,247.368,21.053,28.947
46,20.776,375.000,255.702,371.053,252.631,7.895,5.263
47,6.925,3.947,256.579,2.632,255.263,2.632,2.632
48,290.859,1448.684,264.787,1439.473,255.263,21.053,18.421
49,159.280,1334.839,271.567,1326.315,257.895,18.421,26.316
50,6.925,314.474,261.842,313.158,260.526,2.632,2.632
51,408.587,2063.358,272.770,2049.999,260.526,28.947,26.316
52,921.052,139.899,292.907,123.684,271.053,31.579,44.737
53,6.925,348.684,277.631,347.368,276.316,2.632,2.632
54,62.327,1319.444,281.140,1313.157,276.316,10.526,10.526
55,6.925,1351.315,277.631,1350.000,276.316,2.632,2.632
56,34.626,1230.263,283.421,1226.315,278.947,7.895,7.895
57,117.728,1249.458,285.062,1244.736,278.947,10.526,13.158
58,13.850,719.737,286.842,718.421,284.210,2.632,5.263
59,13.850,1218.421,286.842,1215.789,284.210,5.263,5.263
60,13.850,1328.947,285.526,1326.315,284.210,5.263,2.632
61,304.709,1437.200,299.581,1426.315,286.842,18.421,26.316
62,27.701,713.158,295.395,707.894,292.105,10.526,5.263
63,6.925,722.368,293.421,721.052,292.105,2.632,2.632
64,6.925,1253.947,293.421,1252.631,292.105,2.632,2.632
65,671.745,2327.305,306.497,2310.526,294.737,34.211,28.947
66,6.925,296.053,298.684,294.737,297.368,2.632,2.632
67,6.925,727.631,298.684,726.316,297.368,2.632,2.632
68,6.925,1356.578,298.684,1355.263,297.368,2.632,2.632
69,990.304,2450.174,319.645,2434.210,300.000,34.211,42.105
70,6.925,446.052,306.579,444.737,305.263,2.632,2.632
71,124.654,2228.362,313.450,2221.052,305.263,15.789,15.789
72,6.925,1267.105,309.210,1265.789,307.895,2.632,2.632
73,131.579,1475.831,315.859,1468.421,307.895,15.789,15.789
74,6.925,2343.420,311.842,2342.104,310.526,2.632,2.632
75,6.925,835.526,317.105,834.210,315.789,2.632,2.632
76,13.850,653.947,326.316,652.631,323.684,2.632,5.263
77,6.925,701.316,327.631,700.000,326.316,2.632,2.632
78,6.925,409.210,330.263,407.895,328.947,2.632,2.632
79,131.579,1085.110,340.097,1078.947,334.210,13.158,13.158
80,55.402,886.184,342.105,881.579,336.842,10.526,10.526
81,235.457,1124.071,346.904,1115.789,336.842,15.789,18.421
82,6.925,1282.894,338.158,1281.579,336.842,2.632,2.632
83,20.776,417.105,343.421,413.158,342.105,7.895,2.632
84,6.925,419.737,348.684,418.421,347.368,2.632,2.632
85,6.925,425.000,348.684,423.684,347.368,2.632,2.632
86,6.925,890.789,348.684,889.473,347.368,2.632,2.632
87,6.925,896.052,348.684,894.737,347.368,2.632,2.632
88,13.850,1128.947,359.210,1126.315,357.895,5.263,2.632
89,20.776,1327.631,361.842,1323.684,360.526,7.895,2.632
90,13.850,2010.526,363.158,2007.894,360.526,5.263,5.263
91,13.850,857.894,384.210,855.263,381.579,5.263,5.263
92,6.925,1014.473,382.895,1013.158,381.579,2.632,2.632
93,429.363,2288.836,399.957,2276.315,386.842,23.684,26.316
94,27.701,2455.920,389.474,2452.631,386.842,7.895,5.263
95,13.850,1726.315,392.105,1723.684,389.474,5.263,5.263
96,408.587,1478.211,404.438,1463.157,392.105,31.579,26.316
97,13.850,2455.262,396.052,2452.631,394.737,5.263,2.632
98,34.626,258.158,401.842,255.263,397.368,5.263,7.895
99,34.626,1504.473,405.526,1499.999,402.631,10.526,7.895
100,851.800,885.761,427.332,865.789,410.526,36.842,34.211
101,13.850,271.053,414.474,268.421,413.158,5.263,2.632
102,27.701,1493.421,423.026,1489.473,418.421,7.895,7.895
103,6.925,256.579,425.000,255.263,423.684,2.632,2.632
104,6.925,698.684,425.000,697.368,423.684,2.632,2.632
105,13.850,1007.894,427.631,1005.263,426.316,5.263,2.632
106,6.925,703.947,430.263,702.631,428.947,2.632,2.632
107,6.925,906.579,432.895,905.263,431.579,2.632,2.632
108,83.102,994.956,436.184,986.842,431.579,15.789,10.526
109,6.925,1006.579,432.895,1005.263,431.579,2.632,2.632
110,6.925,1009.210,438.158,1007.894,436.842,2.632,2.632
111,6.925,901.315,443.421,900.000,442.105,2.632,2.632
112,83.102,2155.043,446.272,2149.999,442.105,10.526,10.526
113,644.044,1377.886,459.861,1363.157,444.737,26.316,31.579
114,6.925,1069.736,456.579,1068.421,455.263,2.632,2.632
115,6.925,1077.631,456.579,1076.315,455.263,2.632,2.632
116,242.382,144.774,471.391,136.842,460.526,15.789,21.053
117,921.052,638.138,481.015,615.789,460.526,42.105,42.105
118,13.850,571.052,471.052,568.421,468.421,5.263,5.263
119,6.925,756.579,469.737,755.263,468.421,2.632,2.632
120,83.102,579.824,476.316,573.684,471.052,13.158,10.526
121,34.626,469.210,481.842,465.789,478.947,7.895,5.263
122,6.925,638.158,503.947,636.842,502.631,2.632,2.632
123,6.925,2001.315,519.737,1999.999,518.421,2.632,2.632
124,6.925,493.421,538.158,492.105,536.842,2.632,2.632
125,34.626,684.473,542.368,678.947,539.474,10.526,5.263
126,27.701,1076.315,544.737,1071.052,542.105,10.526,5.263
127,152.354,1584.569,551.674,1576.315,542.105,15.789,15.789
128,20.776,1932.894,564.473,1928.947,563.158,7.895,2.632
129,110.803,1255.592,571.217,1250.000,565.789,10.526,13.158
130,48.476,1200.564,584.774,1197.368,578.947,7.895,10.526
131,145.429,1580.889,588.784,1573.684,581.579,15.789,13.158
132,13.850,2285.526,594.737,2284.210,592.105,2.632,5.263
133,6.925,2327.631,606.579,2326.315,605.263,2.632,2.632
134,13.850,636.842,619.737,634.210,618.421,5.263,2.632
135,463.989,1437.804,634.544,1423.684,621.052,26.316,28.947
136,214.681,931.876,632.810,921.052,623.684,21.053,15.789
137,6.925,1367.105,630.263,1365.789,628.947,2.632,2.632
138,110.803,1947.368,642.105,1942.105,631.579,10.526,18.421
