 ,Label,Area,X,Y,BX,BY,Width,Height
1,20231005-B-S-SP-down-I_01-1.tif,96.036,2749.445,35.020,2742.441,29.898,16.308,10.872
2,20231005-B-S-SP-down-I_01-1.tif,1507.032,1357.524,54.586,1334.528,32.616,46.206,43.488
3,20231005-B-S-SP-down-I_01-1.tif,7.387,2762.826,36.693,2761.467,35.334,2.718,2.718
4,20231005-B-S-SP-down-I_01-1.tif,81.262,2220.959,62.637,2212.435,54.360,16.308,16.308
5,20231005-B-S-SP-down-I_01-1.tif,790.453,488.792,76.446,470.210,59.796,35.334,29.898
6,20231005-B-S-SP-down-I_01-1.tif,7.387,2746.518,66.590,2745.159,65.231,2.718,2.718
7,20231005-B-S-SP-down-I_01-1.tif,7.387,221.515,69.308,220.156,67.949,2.718,2.718
8,20231005-B-S-SP-down-I_01-1.tif,7.387,229.669,74.744,228.310,73.385,2.718,2.718
9,20231005-B-S-SP-down-I_01-1.tif,494.956,2221.542,93.162,2209.717,76.103,24.462,35.334
10,20231005-B-S-SP-down-I_01-1.tif,29.550,624.456,82.219,622.417,78.821,5.436,8.154
11,20231005-B-S-SP-down-I_01-1.tif,325.046,2311.456,96.982,2296.692,78.821,32.616,35.334
12,20231005-B-S-SP-down-I_01-1.tif,22.162,221.515,82.898,217.438,81.539,8.154,2.718
13,20231005-B-S-SP-down-I_01-1.tif,7.387,2325.231,85.616,2323.872,84.257,2.718,2.718
14,20231005-B-S-SP-down-I_01-1.tif,36.937,599.314,96.488,595.237,92.411,8.154,8.154
15,20231005-B-S-SP-down-I_01-1.tif,96.036,2603.510,109.451,2598.388,103.283,10.872,10.872
16,20231005-B-S-SP-down-I_01-1.tif,29.550,1201.347,114.155,1198.629,111.437,5.436,5.436
17,20231005-B-S-SP-down-I_01-1.tif,7.387,259.567,126.386,258.208,125.027,2.718,2.718
18,20231005-B-S-SP-down-I_01-1.tif,36.937,1114.643,135.084,1111.653,130.463,5.436,8.154
19,20231005-B-S-SP-down-I_01-1.tif,14.775,298.978,139.976,296.260,138.617,5.436,2.718
20,20231005-B-S-SP-down-I_01-1.tif,66.487,2766.752,169.270,2761.467,163.079,10.872,10.872
21,20231005-B-S-SP-down-I_01-1.tif,7.387,1232.603,167.156,1231.244,165.797,2.718,2.718
22,20231005-B-S-SP-down-I_01-1.tif,66.487,62.363,175.914,57.078,168.515,10.872,13.590
23,20231005-B-S-SP-down-I_01-1.tif,36.937,2557.890,173.135,2554.900,168.515,5.436,8.154
