 ,Label,Area,X,Y,BX,BY,Width,Height
1,20231005-B-S-SP-left-I_00-1.tif,3005.022,1281.510,32.018,1237.223,2.707,78.511,62.267
2,20231005-B-S-SP-left-I_00-1.tif,21.988,1644.668,4.061,1640.607,2.707,8.122,2.707
3,20231005-B-S-SP-left-I_00-1.tif,7.329,1631.131,12.183,1629.778,10.829,2.707,2.707
4,20231005-B-S-SP-left-I_00-1.tif,65.964,1529.759,15.792,1521.487,13.536,18.951,8.122
5,20231005-B-S-SP-left-I_00-1.tif,14.659,1784.092,18.951,1781.385,16.244,5.415,5.415
6,20231005-B-S-SP-left-I_00-1.tif,14.659,1539.084,21.658,1537.730,18.951,2.707,5.415
7,20231005-B-S-SP-left-I_00-1.tif,7.329,1620.302,20.305,1618.949,18.951,2.707,2.707
8,20231005-B-S-SP-left-I_00-1.tif,1026.105,2047.007,39.352,2027.747,18.951,37.902,40.609
9,20231005-B-S-SP-left-I_00-1.tif,21.988,1004.849,28.426,1001.691,24.365,5.415,8.122
10,20231005-B-S-SP-left-I_00-1.tif,7.329,1241.284,39.255,1239.931,37.902,2.707,2.707
11,20231005-B-S-SP-left-I_00-1.tif,1451.206,1110.993,66.342,1088.323,46.024,43.316,43.316
12,20231005-B-S-SP-left-I_00-1.tif,520.382,1024.436,68.463,1009.812,54.145,27.073,27.073
13,20231005-B-S-SP-left-I_00-1.tif,7.329,1438.915,58.206,1437.561,56.853,2.707,2.707
14,20231005-B-S-SP-left-I_00-1.tif,395.783,1697.008,72.545,1678.509,62.267,35.195,27.073
15,20231005-B-S-SP-left-I_00-1.tif,850.201,1547.276,89.807,1529.609,70.389,37.902,37.902
16,20231005-B-S-SP-left-I_00-1.tif,7.329,1677.155,74.450,1675.801,73.096,2.707,2.707
17,20231005-B-S-SP-left-I_00-1.tif,293.173,1778.272,91.912,1765.141,75.804,27.073,29.780
18,20231005-B-S-SP-left-I_00-1.tif,21.988,457.078,83.474,454.822,81.218,5.415,5.415
19,20231005-B-S-SP-left-I_00-1.tif,7.329,1685.277,85.279,1683.923,83.925,2.707,2.707
20,20231005-B-S-SP-left-I_00-1.tif,14.659,1702.874,86.633,1700.167,83.925,5.415,5.415
