 ,Area,X,Y,BX,BY,Width,Height
1,NaN,1809.210,NaN,1807.894,NaN,2.632,NaN
2,NaN,1303.508,NaN,1294.736,NaN,15.789,NaN
3,NaN,943.421,NaN,942.105,NaN,2.632,NaN
4,NaN,1265.883,NaN,1255.263,NaN,18.421,NaN
5,NaN,1261.842,NaN,1260.526,NaN,2.632,NaN
6,NaN,1196.052,NaN,1192.105,NaN,7.895,NaN
7,NaN,1189.473,NaN,1186.842,NaN,5.263,NaN
8,NaN,1372.076,NaN,1368.421,NaN,7.895,NaN
9,NaN,1243.421,NaN,1242.105,NaN,2.632,NaN
10,NaN,1386.501,NaN,1376.315,NaN,21.053,NaN
11,NaN,1503.947,NaN,1497.368,NaN,13.158,NaN
12,NaN,1759.210,NaN,1755.263,NaN,7.895,NaN
13,NaN,1756.578,NaN,1755.263,NaN,2.632,NaN
14,NaN,1209.210,NaN,1207.894,NaN,2.632,NaN
15,NaN,969.737,NaN,968.421,NaN,2.632,NaN
16,NaN,1435.150,NaN,1431.578,NaN,7.895,NaN
17,NaN,1824.999,NaN,1823.684,NaN,2.632,NaN
18,NaN,1348.684,NaN,1347.368,NaN,2.632,NaN
19,NaN,1674.999,NaN,1673.684,NaN,2.632,NaN
20,NaN,867.105,NaN,865.789,NaN,2.632,NaN
21,NaN,2615.880,NaN,2594.736,NaN,47.368,NaN
22,NaN,2264.473,NaN,2263.157,NaN,2.632,NaN
23,NaN,996.052,NaN,994.737,NaN,2.632,NaN
24,NaN,1751.315,NaN,1749.999,NaN,2.632,NaN
25,NaN,740.789,NaN,739.473,NaN,2.632,NaN
26,NaN,1900.263,NaN,1894.736,NaN,10.526,NaN
27,NaN,951.315,NaN,942.105,NaN,15.789,NaN
28,NaN,1022.368,NaN,1018.421,NaN,7.895,NaN
29,NaN,1693.420,NaN,1692.105,NaN,2.632,NaN
30,NaN,461.842,NaN,457.895,NaN,7.895,NaN
31,NaN,457.895,NaN,455.263,NaN,5.263,NaN
32,NaN,1117.105,NaN,1113.158,NaN,7.895,NaN
33,NaN,1069.736,NaN,1068.421,NaN,2.632,NaN
34,NaN,2601.795,NaN,2584.210,NaN,36.842,NaN
35,NaN,1764.473,NaN,1760.526,NaN,7.895,NaN
36,NaN,252.631,NaN,250.000,NaN,5.263,NaN
37,NaN,2097.180,NaN,2086.841,NaN,18.421,NaN
38,NaN,511.842,NaN,510.526,NaN,2.632,NaN
39,NaN,1788.157,NaN,1786.842,NaN,2.632,NaN
40,NaN,1540.789,NaN,1539.473,NaN,2.632,NaN
41,NaN,1490.789,NaN,1489.473,NaN,2.632,NaN
42,NaN,1479.073,NaN,1465.789,NaN,28.947,NaN
43,NaN,1527.631,NaN,1526.315,NaN,2.632,NaN
44,NaN,740.967,NaN,721.052,NaN,39.474,NaN
45,NaN,1778.410,NaN,1760.526,NaN,34.211,NaN
46,NaN,385.869,NaN,376.316,NaN,18.421,NaN
47,NaN,2030.262,NaN,2028.947,NaN,2.632,NaN
48,NaN,1348.684,NaN,1347.368,NaN,2.632,NaN
