 ,Area,X,Y,BX,BY,Width,Height
1,109.938,2401.603,31.855,2395.918,27.073,13.536,10.829
2,87.951,293.962,37.450,286.969,32.487,13.536,10.829
3,285.839,1642.781,46.544,1632.473,35.194,21.658,18.951
4,7.329,2605.730,52.791,2604.376,51.438,2.707,2.707
5,29.317,2100.827,57.529,2095.413,54.145,10.829,5.415
6,7.329,2478.489,66.328,2477.135,64.974,2.707,2.707
7,14.658,2474.428,71.742,2471.721,70.389,5.415,2.707
8,557.020,2637.540,97.069,2620.620,81.218,29.780,32.487
9,7.329,645.680,90.693,644.326,89.339,2.707,2.707
10,7.329,642.972,96.107,641.619,94.754,2.707,2.707
11,190.559,1550.630,109.956,1540.426,102.876,18.951,13.536
12,7.329,2716.727,128.594,2715.373,127.241,2.707,2.707
13,7.329,929.941,142.131,928.587,140.777,2.707,2.707
14,58.634,2491.010,157.021,2485.257,151.606,10.829,10.829
15,183.230,432.456,169.853,422.331,162.435,18.951,16.244
16,102.609,1325.200,186.994,1318.432,181.386,13.536,10.829
17,7.329,559.047,185.447,557.694,184.093,2.707,2.707
18,21.988,1337.833,191.764,1334.675,189.508,5.415,5.415
19,197.889,1330.714,205.099,1321.139,194.922,16.244,18.951
20,51.304,2690.815,219.868,2685.594,213.873,10.829,10.829
21,14.658,2693.715,232.824,2691.008,230.116,5.415,5.415
22,146.584,2455.071,247.037,2447.355,240.945,16.244,13.536
23,989.444,2356.502,262.393,2339.065,243.653,37.902,40.609
24,183.230,2531.226,283.233,2520.451,276.140,18.951,13.536
25,146.584,2318.220,304.701,2309.286,295.090,16.244,16.244
26,14.658,2469.013,297.798,2466.306,295.090,5.415,5.415
27,29.317,2623.327,318.779,2617.912,316.748,10.829,5.415
28,73.292,2618.724,337.053,2615.205,330.285,8.122,13.536
29,7.329,2708.605,331.638,2707.252,330.285,2.707,2.707
30,7.329,2714.020,331.638,2712.666,330.285,2.707,2.707
31,7.329,2624.680,342.467,2623.327,341.114,2.707,2.707
32,183.230,1429.591,363.259,1421.307,354.650,16.244,16.244
33,7.329,2714.020,372.247,2712.666,370.893,2.707,2.707
34,7.329,2462.245,377.662,2460.892,376.308,2.707,2.707
35,43.975,2418.929,389.844,2414.868,387.137,8.122,5.415
36,351.802,1045.168,412.461,1031.463,403.380,24.365,18.951
37,14.658,2447.355,404.734,2444.648,403.380,5.415,2.707
38,14.658,2441.941,410.149,2439.234,408.795,5.415,2.707
39,161.243,1832.932,423.808,1824.688,411.502,16.244,24.365
40,7.329,1357.687,415.563,1356.333,414.209,2.707,2.707
41,2543.236,2624.095,440.997,2590.840,414.209,73.096,54.145
42,263.852,1454.621,429.099,1442.965,422.331,24.365,18.951
43,21.988,1467.782,434.514,1464.623,430.453,5.415,8.122
44,124.597,1819.671,452.031,1811.151,446.697,16.244,10.829
45,7.329,1961.404,458.879,1960.050,457.526,2.707,2.707
46,65.963,562.958,467.903,557.694,460.233,10.829,13.536
47,7.329,553.633,464.294,552.279,462.940,2.707,2.707
48,14.658,2022.317,467.001,2019.610,465.647,5.415,2.707
49,43.975,545.060,472.867,541.450,468.355,8.122,10.829
50,7.329,1882.893,480.537,1881.540,479.184,2.707,2.707
51,117.267,1392.373,493.227,1386.113,487.305,13.536,10.829
52,7.329,2232.129,494.073,2230.775,492.720,2.707,2.707
53,7.329,1189.837,513.024,1188.483,511.671,2.707,2.707
54,14.658,2704.544,522.500,2701.837,519.792,5.415,5.415
55,58.634,1718.428,536.374,1713.690,530.621,8.122,10.829
56,205.218,985.826,545.705,977.318,538.743,18.951,16.244
57,43.975,1617.583,544.609,1613.522,541.450,8.122,8.122
58,425.094,2655.954,557.087,2642.278,546.865,27.073,21.658
59,7.329,1715.044,550.926,1713.690,549.572,2.707,2.707
60,197.889,428.397,560.551,419.624,552.279,16.244,16.244
61,80.621,2689.654,562.247,2685.594,554.987,8.122,13.536
62,7.329,1317.078,575.291,1315.724,573.937,2.707,2.707
63,476.399,812.155,591.243,798.639,576.645,32.487,27.073
64,7.329,1130.278,577.998,1128.924,576.645,2.707,2.707
65,14.658,852.784,588.827,850.077,587.474,5.415,2.707
66,124.597,860.349,595.834,852.784,590.181,13.536,10.829
67,21.988,1179.008,593.339,1174.947,590.181,8.122,5.415
68,7.329,848.723,594.242,847.370,592.888,2.707,2.707
69,29.317,1287.975,605.071,1285.945,601.010,5.415,8.122
70,7.329,1281.884,605.071,1280.530,603.717,2.707,2.707
71,403.107,661.923,638.739,649.740,628.082,27.073,21.658
72,14.658,430.453,633.497,427.746,630.790,5.415,5.415
73,263.852,2704.845,640.265,2696.423,630.790,18.951,21.658
74,146.584,1018.603,639.182,1009.805,633.497,18.951,10.829
75,285.839,404.526,659.702,395.259,647.033,16.244,24.365
76,58.634,913.697,657.862,909.637,652.448,8.122,10.829
77,29.317,2373.583,670.045,2368.845,665.984,8.122,8.122
78,175.901,1672.969,682.791,1664.960,674.106,16.244,16.244
79,21.988,1215.105,699.825,1212.849,695.764,5.415,8.122
80,7.329,713.361,699.825,712.007,698.471,2.707,2.707
81,7.329,1736.702,699.825,1735.348,698.471,2.707,2.707
82,43.975,1739.409,705.690,1735.348,701.178,8.122,8.122
83,29.317,1729.257,710.654,1724.519,706.593,8.122,8.122
84,95.280,2193.603,716.485,2187.459,712.007,13.536,10.829
85,14.658,2691.008,713.361,2688.301,712.007,5.415,2.707
86,117.267,2259.201,725.713,2252.433,720.129,13.536,10.829
87,29.317,802.700,726.220,798.639,722.836,8.122,8.122
88,7.329,2316.054,724.190,2314.700,722.836,2.707,2.707
89,7.329,2321.468,729.604,2320.115,728.251,2.707,2.707
90,124.597,2454.442,737.567,2447.355,730.958,13.536,13.536
91,14.658,1708.276,740.433,1705.568,739.080,5.415,2.707
92,190.559,1918.400,752.304,1911.320,741.787,13.536,21.658
93,7.329,1541.780,753.970,1540.426,752.616,2.707,2.707
94,234.535,2385.935,763.107,2376.967,752.616,18.951,18.951
95,161.243,1702.246,760.615,1694.739,755.323,16.244,10.829
96,73.292,1732.641,767.506,1727.227,763.445,10.829,8.122
97,7.329,1122.156,767.506,1120.802,766.152,2.707,2.707
98,7.329,2600.315,767.506,2598.962,766.152,2.707,2.707
99,7.329,1964.111,783.749,1962.757,782.396,2.707,2.707
100,21.988,1864.845,821.651,1862.589,817.590,5.415,8.122
101,36.646,2742.175,823.817,2739.739,820.297,5.415,8.122
102,403.107,645.680,840.257,633.497,828.419,24.365,24.365
103,7.329,2378.321,829.773,2376.967,828.419,2.707,2.707
104,14.658,2371.552,832.480,2368.845,831.126,5.415,2.707
105,14.658,2398.625,835.187,2395.918,833.833,5.415,2.707
106,190.559,1812.088,847.057,1803.030,839.248,18.951,18.951
107,29.317,588.827,852.784,584.766,850.077,8.122,5.415
108,21.988,1428.075,872.186,1424.014,869.028,8.122,5.415
109,29.317,2101.504,902.868,2098.120,898.808,5.415,8.122
110,205.218,2344.093,909.056,2333.651,901.515,21.658,13.536
111,7.329,737.726,905.576,736.372,904.222,2.707,2.707
112,117.267,763.107,914.205,755.323,909.637,16.244,10.829
113,21.988,738.628,914.600,736.372,912.344,5.415,5.415
114,205.218,2385.862,925.783,2376.967,917.758,18.951,16.244
115,29.317,871.735,930.618,869.028,925.880,5.415,8.122
116,7.329,894.747,932.648,893.393,931.295,2.707,2.707
117,7.329,2164.448,932.648,2163.094,931.295,2.707,2.707
118,73.292,2188.271,941.853,2182.045,936.709,13.536,10.829
119,2521.249,968.527,980.670,939.416,952.953,56.852,56.852
120,87.951,118.217,970.098,113.705,963.782,10.829,13.536
121,7.329,642.972,965.135,641.619,963.782,2.707,2.707
122,139.255,727.040,981.236,720.129,974.611,13.536,13.536
123,73.292,800.534,978.401,795.932,974.611,10.829,8.122
124,29.317,2537.372,978.671,2533.987,974.611,5.415,8.122
125,153.913,2233.547,986.020,2225.361,980.025,16.244,16.244
126,7.329,2064.279,986.793,2062.926,985.440,2.707,2.707
127,190.559,1844.159,1031.359,1835.517,1023.341,16.244,18.951
128,153.913,1960.501,1033.461,1954.636,1026.048,13.536,16.244
129,168.572,1282.708,1050.119,1275.115,1042.292,16.244,16.244
130,7.329,2605.730,1043.645,2604.376,1042.292,2.707,2.707
131,36.646,1174.135,1072.342,1169.533,1069.364,8.122,5.415
132,14.658,431.807,1077.486,430.453,1074.779,2.707,5.415
133,7.329,2194.227,1076.133,2192.874,1074.779,2.707,2.707
134,476.399,916.446,1089.877,901.515,1077.486,29.780,24.365
135,813.542,1928.722,1102.107,1911.320,1082.901,35.194,35.194
136,58.634,1216.910,1107.604,1212.849,1101.851,10.829,10.829
137,21.988,2648.143,1106.815,2644.985,1104.559,5.415,5.415
138,21.988,1201.568,1109.522,1199.312,1107.266,5.415,5.415
139,7.329,1208.788,1114.034,1207.434,1112.680,2.707,2.707
140,29.317,1388.820,1120.802,1386.113,1118.095,5.415,5.415
141,14.658,1708.276,1139.753,1705.568,1137.046,5.415,5.415
142,73.292,2658.521,1143.814,2653.107,1139.753,10.829,8.122
143,21.988,2588.584,1168.179,2585.425,1164.118,5.415,8.122
144,29.317,2603.022,1166.825,2598.962,1164.118,8.122,5.415
145,14.658,1291.359,1169.533,1288.652,1166.825,5.415,5.415
146,73.292,1334.404,1175.489,1329.261,1169.533,10.829,13.536
147,36.646,1209.329,1176.301,1204.727,1172.240,8.122,8.122
148,87.951,2666.643,1184.874,2658.521,1177.654,16.244,16.244
149,681.617,879.930,1209.778,863.613,1193.898,32.487,29.780
150,21.988,1936.136,1196.154,1932.978,1193.898,5.415,5.415
151,29.317,2748.537,1221.647,2745.153,1218.263,5.415,8.122
152,36.646,2368.033,1226.656,2363.431,1223.678,8.122,5.415
153,1092.052,465.638,1250.396,446.697,1229.092,37.902,40.609
