 ,Area,X,Y,BX,BY,Width,Height
1,6.925,1264.473,3.947,1263.157,2.632,2.632,2.632
2,533.240,1940.447,16.080,1923.683,2.632,34.211,26.316
3,6.925,503.947,6.579,502.631,5.263,2.632,2.632
4,200.831,582.259,12.931,573.684,5.263,18.421,15.789
5,6.925,498.684,9.211,497.368,7.895,2.632,2.632
6,13.850,394.737,11.842,392.105,10.526,5.263,2.632
7,6.925,238.158,17.105,236.842,15.789,2.632,2.632
8,13.850,173.684,22.368,171.053,21.053,5.263,2.632
9,228.532,1854.106,33.054,1842.104,26.316,26.316,13.158
10,34.626,1888.157,33.421,1884.209,28.947,7.895,7.895
11,422.437,2325.646,42.990,2315.788,28.947,21.053,28.947
12,69.252,1690.788,43.947,1686.841,39.474,7.895,10.526
13,6.925,1343.420,43.421,1342.104,42.105,2.632,2.632
14,138.504,1349.210,50.789,1342.104,42.105,13.158,15.789
15,90.028,806.376,49.494,800.000,44.737,15.789,10.526
16,13.850,1907.894,48.684,1905.262,47.368,5.263,2.632
17,55.402,209.539,54.276,205.263,50.000,7.895,7.895
18,6.925,201.316,53.947,200.000,52.632,2.632,2.632
19,6.925,2240.788,61.842,2239.472,60.526,2.632,2.632
20,457.063,790.948,79.705,776.315,68.421,28.947,21.053
21,83.102,1978.508,91.886,1973.683,84.210,7.895,15.789
22,20.776,2488.156,92.544,2484.209,89.474,7.895,5.263
23,6.925,172.368,93.421,171.053,92.105,2.632,2.632
24,48.476,413.722,101.316,410.526,94.737,7.895,10.526
25,249.307,1898.171,109.503,1889.473,97.368,18.421,23.684
26,13.850,2507.893,103.947,2505.262,102.632,5.263,2.632
27,6.925,1464.473,125.000,1463.157,123.684,2.632,2.632
28,6.925,222.368,140.789,221.052,139.474,2.632,2.632
29,76.177,1427.152,145.813,1423.683,139.474,7.895,13.158
30,6.925,225.000,146.053,223.684,144.737,2.632,2.632
31,48.476,1897.555,150.188,1892.104,144.737,10.526,10.526
32,6.925,2096.051,167.105,2094.736,165.789,2.632,2.632
33,6.925,917.105,169.737,915.789,168.421,2.632,2.632
34,41.551,664.473,173.684,660.526,171.053,7.895,5.263
35,41.551,31.579,176.316,26.316,173.684,10.526,5.263
36,96.953,918.233,178.195,913.157,173.684,13.158,10.526
37,6.925,748.684,177.631,747.368,176.316,2.632,2.632
38,6.925,1780.262,188.158,1778.946,186.842,2.632,2.632
39,1038.780,731.298,219.526,713.157,194.737,39.474,47.368
40,27.701,1780.262,197.368,1776.315,194.737,7.895,5.263
41,41.551,1983.332,207.017,1978.946,202.631,7.895,10.526
42,6.925,977.631,214.474,976.315,213.158,2.632,2.632
43,6.925,974.999,219.737,973.684,218.421,2.632,2.632
44,6.925,753.947,230.263,752.631,228.947,2.632,2.632
45,20.776,1224.999,231.140,1221.052,228.947,7.895,5.263
46,48.476,92.293,261.090,86.842,257.895,10.526,7.895
47,1412.741,2427.527,316.795,2402.630,294.737,47.368,42.105
48,83.102,1910.306,306.579,1905.262,300.000,10.526,13.158
49,41.551,1803.508,310.965,1799.999,307.895,7.895,7.895
50,27.701,2196.709,314.473,2192.104,310.526,7.895,7.895
51,6.925,2203.946,317.105,2202.630,315.789,2.632,2.632
52,6.925,2546.051,338.158,2544.735,336.842,2.632,2.632
53,6.925,1367.104,340.789,1365.789,339.473,2.632,2.632
54,96.953,2165.788,346.240,2157.893,342.105,15.789,10.526
55,27.701,1894.078,359.868,1892.104,355.263,5.263,7.895
56,55.402,2161.183,359.539,2155.262,355.263,10.526,7.895
57,34.626,1462.368,377.105,1457.894,373.684,7.895,7.895
58,304.709,1248.205,393.421,1236.841,384.210,23.684,18.421
59,6.925,1717.104,398.684,1715.788,397.368,2.632,2.632
60,20.776,1102.192,410.965,1099.999,407.894,5.263,5.263
61,6.925,1977.630,409.210,1976.315,407.894,2.632,2.632
62,6.925,9.211,411.842,7.895,410.526,2.632,2.632
63,6.925,14.474,414.473,13.158,413.158,2.632,2.632
64,6.925,1988.157,414.473,1986.841,413.158,2.632,2.632
65,6.925,14.474,419.737,13.158,418.421,2.632,2.632
66,110.803,419.737,424.835,413.158,418.421,13.158,13.158
67,6.925,67.105,427.631,65.789,426.316,2.632,2.632
68,6.925,1303.947,432.894,1302.631,431.579,2.632,2.632
69,6.925,1298.683,435.526,1297.368,434.210,2.632,2.632
70,27.701,275.658,447.368,273.684,442.105,5.263,10.526
71,34.626,1211.315,444.473,1207.894,442.105,7.895,5.263
72,6.925,2143.420,453.947,2142.104,452.631,2.632,2.632
73,27.701,2144.736,460.526,2142.104,457.894,5.263,5.263
74,6.925,2224.999,459.210,2223.683,457.894,2.632,2.632
75,48.476,1393.420,465.225,1386.841,460.526,13.158,10.526
76,242.382,1217.405,473.947,1210.526,463.158,15.789,21.053
77,13.850,2144.736,467.105,2142.104,465.789,5.263,2.632
78,353.185,294.092,490.531,284.210,481.579,21.053,21.053
79,13.850,1605.262,510.526,1602.631,507.894,5.263,5.263
80,6.925,880.263,525.000,878.947,523.684,2.632,2.632
81,152.354,2224.042,540.909,2215.788,531.579,15.789,18.421
82,27.701,390.131,546.052,386.842,542.105,5.263,7.895
83,6.925,1482.894,543.421,1481.578,542.105,2.632,2.632
84,34.626,756.578,549.210,752.631,544.737,7.895,7.895
85,6.925,311.842,551.315,310.526,550.000,2.632,2.632
86,20.776,309.210,556.579,305.263,555.263,7.895,2.632
87,6.925,869.736,559.210,868.421,557.894,2.632,2.632
88,48.476,2518.608,574.624,2513.156,571.052,10.526,7.895
89,83.102,573.903,578.289,568.421,573.684,10.526,10.526
90,166.205,2351.863,601.973,2344.735,594.736,18.421,13.158
91,6.925,2361.841,609.210,2360.525,607.894,2.632,2.632
92,69.252,2225.788,621.579,2221.051,615.789,10.526,10.526
93,34.626,1744.473,635.000,1742.104,628.947,5.263,10.526
94,6.925,2406.578,630.263,2405.262,628.947,2.632,2.632
95,761.772,2209.975,655.239,2194.736,634.210,28.947,57.895
96,6.925,2406.578,635.526,2405.262,634.210,2.632,2.632
97,13.850,292.105,648.684,289.474,647.368,5.263,2.632
98,6.925,2617.104,653.947,2615.788,652.631,2.632,2.632
99,83.102,64.912,659.210,57.895,655.263,13.158,7.895
100,124.654,2229.823,694.005,2223.683,686.842,13.158,13.158
101,41.551,69.298,697.368,63.158,694.736,10.526,5.263
102,13.850,1353.947,705.263,1352.631,702.631,2.632,5.263
103,6.925,2524.998,706.579,2523.683,705.263,2.632,2.632
104,13.850,310.526,709.210,307.895,707.894,5.263,2.632
105,408.587,133.251,724.375,121.053,710.526,23.684,26.316
106,69.252,313.158,716.579,307.895,713.157,10.526,7.895
