Radii(nm)	Raw	1kp	2kp	4kp	8kp	8ks
1.	768567570378926	648314485969531	379811386049806	151807792561142	286557222730111	278194109121655
2.	481705909938421	683944761658020	178421700922047	3.94461395588827e12	200533262707211	2.30002313069914e13
3.	9.44240302205824e10	690296201015480	2.03872145286284e13	6.1678691371639e10	8.44317804966298e13	4.81111415975947e11
4.	4.10107118874051e12	577615102555359	1.22180559657161e13	2.56283561900546e10	1.04582883082869e13	2.13984922629958e11
5.	1.21988873021304e12	169260268874357	1.65322139205174e12	1.28689785331828e10	4.96221613668877e12	1.08202361119261e11
6.	6.75094762748279e11	7.90403163914437e12	9.50728116795799e11	7.26606694620337e9	2.8016137985031e12	6.17244723235571e10
7.	3.97361984439806e11	2.18300868775376e12	6.00495690979104e11	4.44067143732342e9	1.74329403601552e12	3.82471940485594e10
8.	2.46697954267863e11	8.92140184953492e11	4.06818265337605e11	2.87193029319044e9	1.16079538530339e12	2.51915745097005e10
9.	1.59751728617727e11	4.33786239332871e11	2.91838675822156e11	1.94649658095678e9	8.14574837932575e11	1.73867715708982e10
10.	1.07105928688307e11	2.37181844407275e11	2.20029869070889e11	1.36341065459069e9	5.97066763480338e11	1.24605740672442e10
11.	7.40007751323874e10	1.41948294723506e11	1.73813096218918e11	9.80065014351643e8	4.54811589722508e11	9.21455210873159e9
12.	5.24893804652002e10	9.13802940951889e10	1.43762407853954e11	7.19326492219003e8	3.5928933462823e11	7.00027695695297e9
13.	3.81467129325867e10	6.24488030334599e10	1.24558202493755e11	5.37729115659761e8	2.94782977200188e11	5.41562188869664e9
14.	2.83862219723778e10	4.6380441441523e10	1.12555933634548e11	4.08969875275929e8	2.53016082195903e11	4.11894782014023e9
15.	2.16569239639246e10	3.70295723810004e10	1.15933523001433e11	3.15082504814208e8	2.30666047633398e11	3.16980867410938e9
16.	1.7001947810671e10	3.07682228345547e10	1.38607639349302e11	2.45550158881698e8	2.28848230429468e11	2.46265312349457e9
17.	1.37970748197477e10	2.53947053762906e10	1.42324254896297e11	1.93387239089421e8	2.50123161288999e11	1.92727869623516e9
18.	1.15783991375715e10	1.92797669510733e10	8.75259028752318e11	1.53829161514515e8	2.85668640084856e11	1.63721646823549e9
19.	9.95855396497754e9	1.60168261689065e10	2.65464136071047e13	1.23554876957299e8	3.10026935537058e11	1.45469921801402e9
20.	8.66368829816238e9	1.34317183846587e10	3.54049305205919e12	1.00206058751199e8	3.26452765813327e11	1.3214409063284e9
21.	7.60050952754427e9	1.21524275956593e10	1.70178135938533e11	8.21450776209585e7	3.59332609531396e11	1.22901142972807e9
22.	6.81652594932545e9	1.20861350529158e10	4.13515105939734e10	6.8404375003022e7	3.4001394384118e11	1.17259340380119e9
23.	6.43455369276582e9	1.81587542932803e10	1.71430803125893e10	5.77265628249767e7	6.50853751251651e11	1.14724568780906e9
