Radii(nm)	Raw	1kp	2kp	4kp	4ks
1.	221610009380306	9.47867159488084e13	281421196300847	1.40867482755595e15	443802394210624
2.	527737259811844	6.07947794325324e13	2.98914311726255e13	1.31794153310628e15	671811722418762
3.	1.56806031371802e15	142997143456671	2.15554664300336e11	776011998394813	1.62190488528422e15
4.	3.42324799690274e15	209490286249506	2.48589459210792e11	745792876959479	3.48025395965862e15
5.	4.73435434102134e15	220944883083055	1.42228856877556e11	963554316352023	4.29558855199332e15
6.	211140474271646	8.53300598190943e13	8.84071534991563e10	364688227091018	257315141174665
7.	7.89888260860857e10	3.42882178183589e10	3.17507017855936e11	579680127448056	6.67029140430547e10
8.	4.88961202395846e9	7.82732144947926e11	541239273969090	6.64019391120014e8	1.22413487949854e9
9.	1.20474459327668e9	8.00144988765581e11	4.00944393526269e9	3.77752496857435e10	4.46060027475014e8
10.	4.85209995631897e8	1.63713339388094e11	5.29737566649099e9	2.15434642934896e10	2.04048368876231e8
11.	2.31537827058962e8	6.08553338145728e10	1.68737944506707e9	1.09401604802944e10	9.73983252640194e7
12.	1.18433864405044e8	3.00271256146534e10	6.75095274734601e8	5.70470345397605e9	5.01455812937462e7
13.	6.46715178083921e7	1.50634646710704e10	3.11469968106291e8	3.10164196601375e9	2.74625437016565e7
14.	3.72895830101416e7	8.63601940056477e9	1.56986453891522e8	1.76116153958906e9	1.5854960369206e7
15.	2.25479158968046e7	5.14330947787255e9	8.53482847981249e7	1.04274763287425e9	9.59180584773402e6
16.	1.42327838683278e7	3.15253901147176e9	4.93622825333191e7	6.42488916104133e8	6.05574254435687e6
17.	9.3497144077361e6	2.0417640432829e9	3.00805943945907e7	4.11234890440966e8	3.97855802004822e6
18.	6.37814442800097e6	1.4384157713786e9	1.91668312520115e7	2.73093517487292e8	2.71446191052134e6
19.	4.5111730552358e6	1.04624494534331e9	1.27043712067471e7	1.87966785524978e8	1.92028348738481e6
20.	3.3040031408452e6	7.85206702234875e8	8.73018466041001e6	1.34001354305805e8	1.40675011487633e6
21.	2.50309715706974e6	6.08578846383606e8	6.20212085517673e6	9.889795461045e7	1.06596260900253e6
22.	1.95957142105284e6	4.86064188166329e8	4.54394934442574e6	7.55267399021927e7	834561.013536667
23.	1.58363250538085e6	4.00356672819552e8	3.42549331640839e6	5.96580102947642e7	674329.821741487
24.	1.31981887468848e6	3.38868975288556e8	2.65146548769279e6	4.87171685993916e7	561654.934109724
25.	1.1331565247571e6	2.94730817617745e8	2.10300830467389e6	4.11041998677283e7	481626.314153534
26.	1.00121821598218e6	2.63927259279623e8	1.70558647969153e6	3.58103327589764e7	424653.42057303
27.	909468.096199724	2.43768638377055e8	1.41098728245972e6	3.21913435994355e7	384477.641212629
28.	848485.140355234	2.33508651861702e8	1.18920008072246e6	2.98384814201069e7	356981.628621257
29.	812291.478596511	2.32970352797917e8	1.01966816346674e6	2.84992285091471e7	339464.807161083
30.	797354.631474782	2.43788670792434e8	888192.782042276	2.80322588989274e7	330199.048373719
31.	802021.293014839	2.70402808674579e8	784939.283811697	2.83825463437734e7	328158.527597691
32.	826253.743250076	3.22458969129117e8	702986.880948281	2.95731156764771e7	332863.560581276
33.	871612.415687677	4.19028096717705e8	637394.885826192	3.17098027740663e7	344305.848513696
34.	941485.858580325	5.70557265508985e8	584590.800740565	3.50027164179653e7	362941.00636191
35.	1.0416301216373e6	8.08638547166227e8	541818.687588779	3.98119280805299e7	389749.174607787
36.	1.18117163613067e6	1.32065615070938e9	507304.975113346	4.67350669984658e7	426380.58702294
37.	1.37437435632914e6	2.52247703865347e9	479652.541286382	5.67788306166662e7	475425.945936762
38.	1.64378433412515e6	1.26401720289334e10	457788.907437216	7.16992566136339e7	540891.312057649
39.	2.02599796442653e6	3.44525727061389e11	440919.193920168	9.47556507129054e7	629034.761187183
40.	2.58269791640907e6	4.22555845006262e9	428462.193429468	1.32522776876072e8	749885.337635432
41.	3.42325854523291e6	1.30813670131097e9	420006.261115999	1.99910038571539e8	920134.218179365
42.	4.75450724286263e6	6.76745081957152e8	415279.748056092	3.37432152934701e8	1.16899185163375e6
43.	7.00166933753234e6	3.89720783981368e8	414132.605882748	6.98588259545722e8	1.55103437458862e6
44.	1.11420336456011e7	2.51216268951778e8	416527.156793872	2.52790791529045e9	2.17740974471628e6
45.	1.98089690781658e7	1.72303170620204e8	422537.084125706	4.47523239882542e11	3.30269500653839e6
46.	4.20855151821688e7	1.22126131379462e8	432354.62304733	1.85046422506597e12	5.61791476108335e6
47.	1.27176561687615e8	9.16204800001946e7	446192.28517248	2.82958618463519e9	1.15848960745604e7
48.	1.17498420241259e9	7.22174650209522e7	464579.98625469	9.97615090089549e8	3.6236429382976e7
49.	3.42285178255657e12	5.93682849019806e7	488246.427099457	5.37527990002404e8	1.78319794998985e12
50.	2.67380633287644e8	5.05895186163148e7	518143.856547162	3.54086395969423e8	2.20752723164368e12
51.	1.06074892451958e8	4.44773778348436e7	555580.329835523	2.64133465446768e8	4.4423208563474e7
52.	6.45868947977377e7	4.021090760201e7	602354.649131928	2.1552005998692e8	1.63378725266631e7
53.	4.88329984643315e7	3.72977868049386e7	660959.00618365	1.8900053077963e8	9.17065151340593e6
54.	4.25781616829624e7	3.54415235842249e7	734889.297051653	1.76555081176468e8	6.29639288888951e6
55.	4.1512404623141e7	3.44711222874314e7	829131.821825231	1.75060074972887e8	4.90598305624481e6
56.	4.47457135836686e7	3.43046051389815e7	950948.276160757	1.84342149781232e8	4.19342302189961e6
57.	5.33754738950658e7	3.4932728070437e7	1.11108576431155e6	2.07120649386274e8	3.86514325766085e6
58.	7.13308621949611e7	3.63452040065742e7	1.32559737965982e6	2.50798190486096e8	3.8090242355009e6
59.	1.10194347713198e8	3.86852378790085e7	1.62116913892219e6	3.33414051195403e8	4.00119920821014e6
60.	1.90519050310268e8	4.21799917606934e7	2.04213714803788e6	5.04092535761309e8	4.48624699342959e6
61.	1.97798266644758e8	4.7118695208034e7	2.66575783840566e6	9.35280493303197e8	5.40179963379762e6
