 ,Label,Area,X,Y,BX,BY,Width,Height,3501.786,,distance from edge (nm),diamater(nm)
1,0.14;100%;1P;I05-1.tif,114.796,1089.881,8.532,1082.143,3.571,14.286,10.714,,,2411.905,14.286
2,0.14;100%;1P;I05-1.tif,12.755,2701.786,5.357,2700,3.571,3.571,3.571,,,800,3.571
3,0.14;100%;1P;I05-1.tif,12.755,1837.5,8.929,1835.714,7.143,3.571,3.571,,,1664.286,3.571
4,0.14;100%;1P;I05-1.tif,12.755,741.071,12.5,739.286,10.714,3.571,3.571,,,2760.715,3.571
5,0.14;100%;1P;I05-1.tif,76.531,772.619,15.476,767.857,10.714,10.714,10.714,,,2729.167,10.714
6,0.14;100%;1P;I05-1.tif,63.776,838.214,17.5,832.143,14.286,10.714,7.143,,,2663.572,10.714
7,0.14;100%;1P;I05-1.tif,12.755,1391.071,16.071,1389.286,14.286,3.571,3.571,,,2110.715,3.571
8,0.14;100%;1P;I05-1.tif,25.51,2194.643,17.857,2192.857,14.286,3.571,7.143,,,1307.143,3.571
9,0.14;100%;1P;I05-1.tif,12.755,2591.071,16.071,2589.286,14.286,3.571,3.571,,,910.715,3.571
10,0.14;100%;1P;I05-1.tif,12.755,112.5,23.214,110.714,21.429,3.571,3.571,,,3389.286,3.571
11,0.14;100%;1P;I05-1.tif,153.061,1012.798,27.976,1007.143,21.429,14.286,14.286,,,2488.988,14.286
12,0.14;100%;1P;I05-1.tif,38.265,1167.262,24.405,1164.286,21.429,7.143,7.143,,,2334.524,7.143
13,0.14;100%;1P;I05-1.tif,12.755,666.071,26.786,664.286,25,3.571,3.571,,,2835.715,3.571
14,0.14;100%;1P;I05-1.tif,12.755,2005.357,26.786,2003.571,25,3.571,3.571,,,1496.429,3.571
15,0.14;100%;1P;I05-1.tif,12.755,2598.214,26.786,2596.429,25,3.571,3.571,,,903.572,3.571
16,0.14;100%;1P;I05-1.tif,535.714,3060.799,41.156,3042.857,28.571,35.714,32.143,,,440.987,35.714
17,0.14;100%;1P;I05-1.tif,25.51,3328.571,32.143,3325,28.571,7.143,7.143,,,173.215,7.143
18,0.14;100%;1P;I05-1.tif,38.265,1331.548,37.5,1328.571,32.143,7.143,10.714,,,2170.238,7.143
19,0.14;100%;1P;I05-1.tif,12.755,269.643,37.5,267.857,35.714,3.571,3.571,,,3232.143,3.571
