 ,Label,Area,X,Y,BX,BY,Width,Height,Width,X
1,0.14;100%;1P;I02-1.tif,207.764,1652.64,10.181,1641.083,3.852,23.114,15.409,23.114,1652.64
2,0.14;100%;1P;I02-1.tif,14.84,2032.092,9.631,2030.166,7.705,3.852,3.852,3.852,2032.092
3,0.14;100%;1P;I02-1.tif,14.84,3492.117,9.631,3490.191,7.705,3.852,3.852,3.852,3492.117
4,0.14;100%;1P;I02-1.tif,267.125,2529.04,28.464,2515.557,15.409,26.966,23.114,26.966,2529.04
5,0.14;100%;1P;I02-1.tif,59.361,435.311,23.114,431.458,19.262,7.705,7.705,7.705,435.311
6,0.14;100%;1P;I02-1.tif,74.201,612.132,24.27,608.665,19.262,7.705,11.557,7.705,612.132
7,0.14;100%;1P;I02-1.tif,267.125,2107.212,29.106,2087.951,19.262,38.523,15.409,38.523,2107.212
8,0.14;100%;1P;I02-1.tif,89.042,1639.799,34.671,1633.378,26.966,11.557,15.409,11.557,1639.799
9,0.14;100%;1P;I02-1.tif,14.84,2459.698,28.892,2457.772,26.966,3.852,3.852,3.852,2459.698
10,0.14;100%;1P;I02-1.tif,29.681,2592.603,28.892,2588.751,26.966,7.705,3.852,7.705,2592.603
11,0.14;100%;1P;I02-1.tif,14.84,911.071,36.597,909.145,34.671,3.852,3.852,3.852,911.071
12,0.14;100%;1P;I02-1.tif,178.083,359.228,47.191,350.56,38.523,15.409,15.409,15.409,359.228
13,0.14;100%;1P;I02-1.tif,103.882,1129.552,44.302,1124.874,38.523,11.557,11.557,11.557,1129.552
14,0.14;100%;1P;I02-1.tif,74.201,2590.677,42.761,2581.046,38.523,19.262,7.705,19.262,2590.677
15,0.14;100%;1P;I02-1.tif,89.042,3013.789,44.944,3008.652,38.523,11.557,11.557,11.557,3013.789
16,0.14;100%;1P;I02-1.tif,29.681,2403.84,44.302,2399.988,42.375,7.705,3.852,7.705,2403.84
17,0.14;100%;1P;I02-1.tif,281.965,3669.12,59.305,3655.84,46.228,23.114,30.818,23.114,3669.12
18,0.14;100%;1P;I02-1.tif,44.521,3655.198,73.836,3651.988,69.342,7.705,7.705,7.705,3655.198
19,0.14;100%;1P;I02-1.tif,14.84,206.098,75.12,204.172,73.194,3.852,3.852,3.852,206.098
20,0.14;100%;1P;I02-1.tif,29.681,3557.606,77.046,3555.68,73.194,3.852,7.705,3.852,3557.606
21,0.14;100%;1P;I02-1.tif,44.521,1513.315,84.109,1510.105,80.898,7.705,7.705,7.705,1513.315
22,0.14;100%;1P;I02-1.tif,14.84,2317.163,82.825,2315.237,80.898,3.852,3.852,3.852,2317.163
23,0.14;100%;1P;I02-1.tif,14.84,2398.061,82.825,2396.135,80.898,3.852,3.852,3.852,2398.061
24,0.14;100%;1P;I02-1.tif,59.361,202.246,88.603,196.468,84.751,11.557,7.705,11.557,202.246
25,0.14;100%;1P;I02-1.tif,14.84,703.046,86.677,701.12,84.751,3.852,3.852,3.852,703.046
26,0.14;100%;1P;I02-1.tif,14.84,2005.126,86.677,2003.2,84.751,3.852,3.852,3.852,2005.126
27,0.14;100%;1P;I02-1.tif,14.84,572.068,90.529,570.142,88.603,3.852,3.852,3.852,572.068
28,0.14;100%;1P;I02-1.tif,29.681,2141.883,96.308,2138.031,92.455,7.705,7.705,7.705,2141.883
29,0.14;100%;1P;I02-1.tif,103.882,2519.134,99.335,2511.705,92.455,15.409,11.557,15.409,2519.134
30,0.14;100%;1P;I02-1.tif,44.521,162.439,104.654,157.945,100.16,7.705,7.705,7.705,162.439
31,0.14;100%;1P;I02-1.tif,14.84,1176.88,105.938,1174.954,104.012,3.852,3.852,3.852,1176.88
32,0.14;100%;1P;I02-1.tif,44.521,1826.636,112.359,1822.141,107.865,7.705,7.705,7.705,1826.636
33,0.14;100%;1P;I02-1.tif,74.201,124.43,115.184,119.422,111.717,11.557,7.705,11.557,124.43
34,0.14;100%;1P;I02-1.tif,14.84,1989.717,113.643,1987.791,111.717,3.852,3.852,3.852,1989.717
35,0.14;100%;1P;I02-1.tif,207.764,2068.414,119.697,2057.132,111.717,19.262,15.409,19.262,2068.414
36,0.14;100%;1P;I02-1.tif,118.722,1759.06,134.831,1752.8,127.126,11.557,15.409,11.557,1759.06
37,0.14;100%;1P;I02-1.tif,59.361,1978.16,130.978,1972.381,127.126,11.557,7.705,11.557,1978.16
38,0.14;100%;1P;I02-1.tif,44.521,2055.206,135.473,2049.428,130.978,11.557,7.705,11.557,2055.206
39,0.14;100%;1P;I02-1.tif,44.521,929.048,138.041,924.554,134.831,7.705,7.705,7.705,929.048
40,0.14;100%;1P;I02-1.tif,14.84,1970.455,136.757,1968.529,134.831,3.852,3.852,3.852,1970.455
41,0.14;100%;1P;I02-1.tif,14.84,1985.865,140.609,1983.938,138.683,3.852,3.852,3.852,1985.865
42,0.14;100%;1P;I02-1.tif,148.403,3219.373,146.002,3212.825,138.683,15.409,15.409,15.409,3219.373
43,0.14;100%;1P;I02-1.tif,14.84,1970.455,144.462,1968.529,142.535,3.852,3.852,3.852,1970.455
44,0.14;100%;1P;I02-1.tif,14.84,1978.16,144.462,1976.234,142.535,3.852,3.852,3.852,1978.16
45,0.14;100%;1P;I02-1.tif,133.562,1585.225,159.871,1575.594,150.24,15.409,23.114,15.409,1585.225
46,0.14;100%;1P;I02-1.tif,1216.902,2240.962,168.28,2199.668,150.24,73.194,38.523,73.194,2240.962
47,0.14;100%;1P;I02-1.tif,14.84,3052.954,152.166,3051.028,150.24,3.852,3.852,3.852,3052.954
48,0.14;100%;1P;I02-1.tif,14.84,1565.963,156.018,1564.037,154.092,3.852,3.852,3.852,1565.963
49,0.14;100%;1P;I02-1.tif,14.84,1777.84,156.018,1775.914,154.092,3.852,3.852,3.852,1777.84
50,0.14;100%;1P;I02-1.tif,14.84,414.123,159.871,412.197,157.945,3.852,3.852,3.852,414.123
51,0.14;100%;1P;I02-1.tif,44.521,1445.257,162.439,1440.763,157.945,7.705,7.705,7.705,1445.257
52,0.14;100%;1P;I02-1.tif,14.84,1558.258,159.871,1556.332,157.945,3.852,3.852,3.852,1558.258
53,0.14;100%;1P;I02-1.tif,29.681,1506.252,169.502,1502.4,165.649,7.705,7.705,7.705,1506.252
54,0.14;100%;1P;I02-1.tif,103.882,2772.836,170.877,2765.957,165.649,11.557,11.557,11.557,2772.836
55,0.14;100%;1P;I02-1.tif,667.812,3420.978,181.529,3405.44,165.649,30.818,30.818,30.818,3420.978
56,0.14;100%;1P;I02-1.tif,311.646,606.738,180.416,593.255,169.502,30.818,23.114,30.818,606.738
57,0.14;100%;1P;I02-1.tif,14.84,2209.298,171.428,2207.372,169.502,3.852,3.852,3.852,2209.298
58,0.14;100%;1P;I02-1.tif,29.681,1564.037,177.206,1560.185,173.354,7.705,7.705,7.705,1564.037
59,0.14;100%;1P;I02-1.tif,14.84,2059.058,175.28,2057.132,173.354,3.852,3.852,3.852,2059.058
60,0.14;100%;1P;I02-1.tif,103.882,2510.879,179.683,2504,173.354,11.557,11.557,11.557,2510.879
61,0.14;100%;1P;I02-1.tif,29.681,2839.151,177.206,2835.298,173.354,7.705,7.705,7.705,2839.151
62,0.14;100%;1P;I02-1.tif,74.201,3353.434,179.132,3347.655,173.354,11.557,11.557,11.557,3353.434
63,0.14;100%;1P;I02-1.tif,44.521,1577.52,180.416,1571.741,177.206,11.557,7.705,11.557,1577.52
64,0.14;100%;1P;I02-1.tif,14.84,1473.508,182.985,1471.582,181.058,3.852,3.852,3.852,1473.508
65,0.14;100%;1P;I02-1.tif,133.562,2704.106,189.405,2696.615,181.058,15.409,15.409,15.409,2704.106
66,0.14;100%;1P;I02-1.tif,29.681,3301.428,202.246,3297.575,200.32,7.705,3.852,7.705,3301.428
67,0.14;100%;1P;I02-1.tif,14.84,1804.806,206.098,1802.88,204.172,3.852,3.852,3.852,1804.806
68,0.14;100%;1P;I02-1.tif,460.048,1993.196,224.117,1976.234,208.025,34.671,30.818,34.671,1993.196
69,0.14;100%;1P;I02-1.tif,14.84,857.138,225.36,855.212,223.434,3.852,3.852,3.852,857.138
70,0.14;100%;1P;I02-1.tif,118.722,3384.734,229.212,3378.474,223.434,11.557,11.557,11.557,3384.734
71,0.14;100%;1P;I02-1.tif,14.84,2070.615,229.212,2068.689,227.286,3.852,3.852,3.852,2070.615
72,0.14;100%;1P;I02-1.tif,14.84,2217.003,229.212,2215.077,227.286,3.852,3.852,3.852,2217.003
73,0.14;100%;1P;I02-1.tif,29.681,2582.972,234.991,2581.046,231.138,3.852,7.705,3.852,2582.972
74,0.14;100%;1P;I02-1.tif,252.285,1508.858,246.661,1498.548,234.991,19.262,23.114,19.262,1508.858
75,0.14;100%;1P;I02-1.tif,44.521,3571.731,238.201,3567.237,234.991,7.705,7.705,7.705,3571.731
76,0.14;100%;1P;I02-1.tif,59.361,271.588,243.658,265.809,238.843,11.557,7.705,11.557,271.588
77,0.14;100%;1P;I02-1.tif,178.083,2113.954,244.622,2103.36,238.843,23.114,11.557,23.114,2113.954
78,0.14;100%;1P;I02-1.tif,44.521,2220.855,244.622,2215.077,242.695,11.557,3.852,11.557,2220.855
79,0.14;100%;1P;I02-1.tif,14.84,2363.391,244.622,2361.465,242.695,3.852,3.852,3.852,2363.391
80,0.14;100%;1P;I02-1.tif,29.681,3320.689,252.326,3316.837,250.4,7.705,3.852,7.705,3320.689
81,0.14;100%;1P;I02-1.tif,14.84,687.637,256.178,685.711,254.252,3.852,3.852,3.852,687.637
82,0.14;100%;1P;I02-1.tif,133.562,2717.803,263.883,2712.025,258.105,11.557,11.557,11.557,2717.803
83,0.14;100%;1P;I02-1.tif,74.201,1425.739,266.965,1421.502,261.957,7.705,11.557,7.705,1425.739
84,0.14;100%;1P;I02-1.tif,59.361,1110.428,279.292,1105.612,273.514,11.557,11.557,11.557,1110.428
85,0.14;100%;1P;I02-1.tif,44.521,3566.595,281.861,3563.385,277.366,7.705,7.705,7.705,3566.595
86,0.14;100%;1P;I02-1.tif,74.201,251.556,285.456,246.548,281.218,11.557,7.705,11.557,251.556
87,0.14;100%;1P;I02-1.tif,89.042,2436.585,289.565,2430.806,281.218,11.557,15.409,11.557,2436.585
88,0.14;100%;1P;I02-1.tif,29.681,870.622,286.997,866.769,285.071,7.705,3.852,7.705,870.622
89,0.14;100%;1P;I02-1.tif,14.84,3565.311,290.849,3563.385,288.923,3.852,3.852,3.852,3565.311
90,0.14;100%;1P;I02-1.tif,29.681,2109.138,296.628,2107.212,292.775,3.852,7.705,3.852,2109.138
91,0.14;100%;1P;I02-1.tif,14.84,3557.606,294.702,3555.68,292.775,3.852,3.852,3.852,3557.606
92,0.14;100%;1P;I02-1.tif,29.681,2785.218,302.406,2781.366,300.48,7.705,3.852,7.705,2785.218
93,0.14;100%;1P;I02-1.tif,44.521,357.623,312.679,354.412,308.185,7.705,7.705,7.705,357.623
94,0.14;100%;1P;I02-1.tif,14.84,2817.963,310.111,2816.037,308.185,3.852,3.852,3.852,2817.963
95,0.14;100%;1P;I02-1.tif,8399.595,2951.528,362.382,2900.788,312.037,104.012,104.012,104.012,2951.528
96,0.14;100%;1P;I02-1.tif,74.201,1389.527,320.127,1382.978,315.889,11.557,7.705,11.557,1389.527
97,0.14;100%;1P;I02-1.tif,29.681,2800.628,325.52,2796.775,323.594,7.705,3.852,7.705,2800.628
98,0.14;100%;1P;I02-1.tif,89.042,3665.471,333.867,3659.692,327.446,11.557,11.557,11.557,3665.471
99,0.14;100%;1P;I02-1.tif,14.84,3526.788,337.077,3524.861,335.151,3.852,3.852,3.852,3526.788
100,0.14;100%;1P;I02-1.tif,14.84,1635.305,340.929,1633.378,339.003,3.852,3.852,3.852,1635.305
101,0.14;100%;1P;I02-1.tif,29.681,1221.182,348.634,1217.329,346.708,7.705,3.852,7.705,1221.182
